SessionId;Position;Recommendations;Scores
199;0;85571,5680,3171,376524,53224,10517,381002,78786,234568,42602,42271,3170,85714,155103,54767,63798,374790,32979,33070,64109,381811,53223,85771,10584,32982,375761,12987,10998,255623,24758,67199,293211,8619,5679,64107,74232,8138,173031,380977,18887,76133,14578,12726,30700,378120,47736,379496,71734,55025,379049;12.466441,11.149555,10.449179,10.446973,10.199379,9.884542,9.756254,9.668715,9.609642,9.151175,9.019214,8.886882,8.846068,8.828537,8.795497,8.794958,8.791962,8.780891,8.775591,8.73186,8.714422,8.585147,8.50638,8.358669,8.122396,7.6783724,7.4780426,7.417368,7.398282,7.2785087,7.0616817,6.9287195,6.8130817,6.723854,6.7093287,6.697896,6.6929374,6.658566,6.5948257,6.477389,6.36774,6.266061,6.2617683,6.143547,6.0856547,6.081508,6.075811,6.052045,6.0107245,5.988755
200;0;16486,712,25863,72996,68493,25862,181507,72482,40531,5658,5325,16712,1866,3585,79583,131605,248755,79278,246593,19514,711,13226,126690,90515,31203,57609,14347,68642,13200,58599,14851,177190,380144,29580,14315,65203,1431,164309,90120,254497,37007,31781,32821,3583,47123,29668,5428,75681,51311,58524;9.700081,8.651827,8.13767,8.085518,7.9209337,7.8436027,7.774005,7.585273,7.567179,7.4416914,7.4081373,7.3742013,7.261375,7.235095,7.22229,7.1938467,7.149419,7.1253552,7.0903683,7.0776443,6.936674,6.874424,6.735778,6.642803,6.634629,6.6314955,6.6269135,6.602072,6.597538,6.5903587,6.556075,6.5109744,6.5070505,6.4998937,6.4824944,6.4660616,6.4596596,6.409789,6.3811054,6.3751354,6.37328,6.3184395,6.28702,6.2744923,6.193039,6.1769776,6.1665926,6.153834,6.125843,6.121045
203;0;36271,6848,90306,126673,36094,13748,14082,36706,19831,25833,13931,36083,14889,6308,13805,6501,7100,6723,90479,58636,13851,68955,14118,36411,14004,69098,90448,14123,19701,90787,47189,36272,36765,14894,58240,57991,13804,47311,36155,90184,25834,6367,36313,6460,14649,176018,6762,13620,58174,6749;14.062493,13.173124,12.104225,11.788491,11.623087,11.486473,11.359623,11.303414,11.116064,11.022204,11.021591,10.963644,10.881081,10.808885,10.67802,10.552968,10.509247,10.480618,10.47222,10.39526,10.333548,10.219784,10.208754,10.208094,10.141083,10.138404,10.113462,10.075266,10.065956,10.065719,10.06209,10.049824,10.046059,10.016378,9.986752,9.960957,9.960245,9.937798,9.936193,9.925842,9.891207,9.872635,9.838678,9.838415,9.828278,9.8166275,9.804167,9.780271,9.767489,9.756384
203;0;25833,25834,126673,58636,58637,25911,375418,176018,6848,380570,14649,14894,375966,176017,382099,376512,377629,386891,205007,90448,164656,206513,382697,375334,58677,36765,58671,203481,14896,90306,7345,90479,14895,14889,25518,14650,36271,7100,379860,380761,383891,80254,378508,7122,6501,90842,36810,14648,377537,7386;19.422274,18.159744,17.562588,16.139576,15.966987,15.782379,15.780392,15.526509,15.495834,15.365118,14.714012,14.700112,14.677992,14.656776,14.639725,14.595884,14.528576,14.434451,14.385083,14.361631,14.335887,14.20797,14.192472,14.142896,14.135817,14.075302,14.018119,13.9861355,13.973545,13.937427,13.925108,13.881764,13.855749,13.73355,13.682924,13.632246,13.46559,13.448507,13.426834,13.425011,13.409273,13.36677,13.336031,13.265554,13.25313,13.227323,13.204268,13.201875,13.166908,13.161617
203;0;25833,25834,126673,58636,58637,25911,375418,6848,176018,380570,14894,14649,375966,176017,382099,376512,377629,90448,164656,386891,205007,206513,58677,375334,382697,36765,90306,58671,14896,90479,7345,14895,203481,14889,36271,25518,14650,7100,379860,80254,6501,383891,36706,90842,378508,7122,14648,380761,6723,36810;20.08678,18.741583,18.25159,16.769938,16.565147,16.356274,16.304443,16.251583,16.135181,15.810078,15.304281,15.285442,15.1950445,15.173774,15.070955,15.04257,14.943549,14.922308,14.820282,14.805605,14.757163,14.713892,14.684575,14.644974,14.626698,14.615378,14.606926,14.527356,14.486107,14.464611,14.429487,14.411076,14.391162,14.373974,14.203226,14.187566,14.15502,14.064041,13.897469,13.840424,13.831537,13.788448,13.769659,13.750719,13.747641,13.741621,13.738214,13.699184,13.693232,13.691122
205;0;375650,375426,379018,380240,377548,376426,376774,375870,376212,378436,391425,376543,381813,4144,375868,375867,13189,23661,375561,126039,390292,376192,376402,375781,55241,380253,376739,377297,165975,133133,376650,393639,385147,378409,379667,379495,377669,377312,375081,377185,79304,67816,377677,375425,390823,383347,376213,76852,376620,381615;15.744587,15.378233,14.454226,12.960452,11.656832,11.502619,11.437587,11.220418,11.120446,11.101799,11.067024,11.022567,10.546364,10.538956,10.534491,10.504465,10.481037,10.363432,10.154566,9.996992,9.986667,9.974014,9.897251,9.884653,9.790593,9.659689,9.626847,9.614435,9.592319,9.570468,9.501177,9.494421,9.324366,9.31616,9.309683,9.268293,9.262089,9.2552395,9.235967,9.228045,9.211928,9.206855,9.181971,9.156255,9.11129,9.108319,9.107031,9.05678,9.037918,9.014828
205;0;375426,375650,379018,391425,376426,376774,377548,380240,376212,375870,378436,393639,390292,376543,375781,379667,381615,165975,381813,375651,375901,376650,385147,375561,376192,390823,377677,4144,375868,381367,79304,375867,377185,380253,383029,126039,23661,376739,383878,379394,13189,376402,379495,377297,381703,377669,386899,76852,67816,465754;18.460873,18.254402,16.160908,16.14158,14.594974,14.459429,14.394302,14.393419,13.897037,13.689092,13.58865,13.474787,13.048752,12.8868265,12.433174,12.42345,12.405689,12.266012,12.251992,12.131657,12.117714,11.994856,11.968035,11.946175,11.809262,11.716147,11.71085,11.695163,11.64166,11.623627,11.579203,11.51744,11.467817,11.463707,11.422695,11.38908,11.383904,11.305826,11.303315,11.244156,11.1985445,11.150905,11.054923,10.970396,10.890861,10.879656,10.850578,10.844179,10.764322,10.763136
209;0;38035,10296,1145,172033,30031,124435,21608,147235,39102,80476,577,15962,3407,203746,60826,48867,28201,39817,3106,1144,47944,374,8570,1160,37057,14997,60799,38644,10976,42987,57673,7568,89876,52879,646,576,26604,33838,27842,14468,147589,7,19507,379480,253382,375458,17389,376075,32564,5930;11.426088,10.551426,10.279188,9.955032,9.898153,9.708958,9.706342,9.630041,9.608227,9.470344,9.427364,9.332216,9.256799,9.073123,9.055257,8.902039,8.8631,8.785967,8.686938,8.680071,8.667004,8.642136,8.585758,8.517304,8.3993435,8.266505,8.068498,8.012826,8.003307,7.9827347,7.9615455,7.939496,7.9363694,7.8728466,7.8548155,7.837411,7.7172947,7.68787,7.5684214,7.5583944,7.5361905,7.5176287,7.498278,7.4716086,7.425003,7.326149,7.291748,7.2725906,7.1699953,7.123302
209;0;10296,52879,3407,3106,1145,39102,379480,10976,147235,28201,172033,42987,21608,17389,57673,38035,376989,39817,1144,124435,14468,60826,89876,79316,376075,68846,90319,203746,20072,15962,33838,379921,16343,2643,30031,1160,48867,21454,5930,19507,169447,71204,26604,577,253382,131153,80476,646,2870,155556;15.619301,13.517937,13.490092,13.190323,13.1612015,12.899568,12.510923,12.473379,12.323775,12.31275,12.084912,12.062453,12.027293,11.946882,11.808196,11.463585,11.3692465,11.263242,11.226566,11.220831,11.152902,11.131704,11.08322,11.057323,11.028598,11.008688,10.968629,10.904852,10.75585,10.749851,10.473833,10.443656,10.433209,10.303307,10.234371,10.197142,10.091498,10.081776,10.017666,9.972058,9.954562,9.933236,9.930717,9.918936,9.917124,9.800713,9.769842,9.763695,9.75709,9.751269
214;0;10237,36359,36382,35655,79615,7132,35992,6074,47310,36186,34853,34738,13721,5524,57589,46253,36438,34668,36049,35508,6471,4825,30594,79301,5351,19072,68476,69045,13895,90454,86495,6498,14085,32197,45512,25401,6212,397245,35840,34337,11676,25039,36608,34567,9525,57985,4106,68867,24387,33798;11.320324,9.647101,9.28284,9.199512,9.1003685,9.03097,8.977821,8.976154,8.93801,8.899756,8.841917,8.753679,8.646677,8.617329,8.533209,8.47083,8.4254,8.378187,8.205659,8.192788,8.155991,8.151385,8.087974,8.074765,8.056274,8.011128,8.009217,7.9996767,7.978714,7.9687996,7.9041886,7.8828597,7.8795166,7.872151,7.8489017,7.833912,7.8257136,7.810348,7.806733,7.795192,7.7512803,7.751197,7.7263365,7.7095017,7.691464,7.6703978,7.6693954,7.656907,7.644228,7.6391087
