SessionId;Position;Recommendations;Scores
199;0;376524,85571,10517,5680,234568,53224,78786,381002,64107,42271,53223,374790,32979,42602,3171,24758,54767,85714,381811,32982,3170,33070,10998,375761,49067,383375,59954,139320,30700,64109,10584,85771,380977,379049,4954,18887,132215,71734,63798,378120,74232,49062,1159,12987,36956,255623,67199,375877,81522,384774;-10.756206,-12.21132,-12.882095,-12.918536,-12.976792,-13.057007,-13.164215,-13.252818,-13.4549,-13.786872,-13.981435,-14.09279,-14.106848,-14.123433,-14.1915455,-14.226338,-14.230467,-14.587456,-14.591809,-14.599012,-14.664957,-14.782349,-14.926463,-14.968306,-15.073465,-15.125815,-15.174091,-15.416781,-15.446474,-15.481829,-15.489961,-15.56632,-15.783926,-15.848404,-15.943403,-15.977557,-16.084415,-16.089201,-16.097137,-16.164288,-16.199482,-16.2729,-16.500282,-16.518326,-16.53482,-16.589811,-16.682608,-16.695965,-16.705202,-16.722765
200;0;25862,68493,25863,181507,79583,126351,29167,58599,19108,79696,8554,11976,131605,69003,168060,65203,133457,50749,5428,50889,19514,90120,32821,68092,171275,8454,8980,112921,6279,24683,13005,170808,72996,377181,3210,89716,16220,49562,18941,79330,96966,378499,1093,6208,175803,135433,36702,3395,377252,195966;-12.9385395,-13.544159,-13.651361,-14.246537,-14.773458,-14.821437,-14.82828,-14.890533,-15.073677,-15.088069,-15.2767105,-15.311973,-15.314595,-15.423182,-15.493062,-15.543025,-15.54496,-15.577668,-15.731778,-15.735184,-15.763314,-15.781592,-15.803986,-15.900401,-15.935276,-16.01016,-16.015793,-16.017899,-16.094053,-16.098768,-16.099035,-16.123442,-16.128033,-16.144796,-16.162867,-16.170984,-16.201399,-16.20784,-16.222918,-16.24168,-16.27368,-16.282482,-16.287992,-16.32873,-16.330177,-16.373398,-16.373652,-16.384142,-16.399063,-16.416681
203;0;36271,68815,90306,6848,19831,57991,47189,36313,13892,19701,47311,247822,57994,6508,36196,13851,36647,68834,14650,13805,68955,6501,7100,126258,58671,36611,14276,14721,13931,6307,6308,6372,14357,69098,90311,6723,47231,14649,47433,36389,6369,36703,14019,58677,36267,375418,29657,203480,14118,90479;-14.8513565,-15.152604,-15.284292,-15.447044,-15.845145,-15.91555,-16.233095,-16.391413,-16.851301,-17.000599,-17.161129,-17.291737,-17.347145,-17.360342,-17.390707,-17.439243,-17.511402,-17.538876,-17.646746,-17.856617,-17.858969,-18.035849,-18.065495,-18.078606,-18.163137,-18.189205,-18.21694,-18.25934,-18.266445,-18.277496,-18.284317,-18.291044,-18.29133,-18.291718,-18.368446,-18.369507,-18.374212,-18.383753,-18.386326,-18.458776,-18.50075,-18.574553,-18.60344,-18.632475,-18.642677,-18.650768,-18.66141,-18.664724,-18.66489,-18.681736
203;0;25834,19831,25833,380570,36611,68815,47189,126673,90306,129084,6848,36313,14721,13892,36765,375418,14650,247822,36271,14685,382697,80254,14649,14357,209952,6307,13805,133584,13836,6508,36703,90311,206513,20317,19701,7206,379860,14800,14276,47487,126258,203480,25875,58637,58671,68955,128958,14228,14666,57994;-13.75485,-14.262415,-14.639411,-14.895724,-14.9254055,-15.0020485,-15.004589,-15.034748,-15.098889,-15.291671,-15.312565,-15.365855,-15.407867,-15.449842,-15.617178,-15.674629,-15.704556,-15.752703,-15.793795,-15.901821,-15.981352,-16.005104,-16.061594,-16.080189,-16.112099,-16.121082,-16.145779,-16.154192,-16.21782,-16.221857,-16.301207,-16.343464,-16.381445,-16.417048,-16.420881,-16.426058,-16.437754,-16.521032,-16.543718,-16.561863,-16.572369,-16.572401,-16.584736,-16.587118,-16.601086,-16.615566,-16.64882,-16.729025,-16.783182,-16.786196
203;0;25834,19831,36611,25833,380570,126673,129084,47189,14721,68815,90306,36765,14650,36313,6848,375418,13892,80254,14685,209952,247822,382697,13836,14649,14357,133584,7206,36703,14800,20317,36271,6307,58637,379860,206513,25875,6508,13805,90311,128958,126258,126605,203480,213925,25518,47487,6893,58671,58591,376512;-13.558354,-14.253891,-14.547979,-14.635148,-14.819214,-15.084269,-15.140329,-15.349491,-15.375439,-15.376578,-15.472249,-15.48232,-15.578668,-15.579269,-15.5980625,-15.606164,-15.648542,-15.727981,-15.793403,-15.918573,-15.942713,-15.974844,-16.0938,-16.13666,-16.201485,-16.206612,-16.216797,-16.238234,-16.271528,-16.287659,-16.314484,-16.323568,-16.332891,-16.361189,-16.39357,-16.422174,-16.46854,-16.483946,-16.528471,-16.572933,-16.580706,-16.581116,-16.588373,-16.641895,-16.67668,-16.683516,-16.697922,-16.701614,-16.709276,-16.730871
205;0;375870,23661,375426,4144,379018,375650,376402,375868,375867,376426,376774,64599,126039,375425,55241,378409,380240,377185,376620,130953,391425,377573,376212,13189,378825,376543,377297,379684,381813,173253,375315,126038,381703,74933,385147,375081,390823,17908,199993,14504,376739,126037,388024,376199,375651,229794,34715,379707,378436,226989;-11.565224,-12.268411,-12.285886,-12.58882,-12.861527,-12.995568,-13.280283,-13.772233,-13.854162,-13.985658,-14.034505,-14.109156,-14.118894,-14.152975,-14.208332,-14.225196,-14.517473,-14.669951,-14.690805,-14.701849,-14.73737,-14.98883,-15.077511,-15.091715,-15.489215,-15.517642,-15.611373,-15.7323,-15.749643,-15.78014,-15.809895,-15.9179735,-16.00324,-16.003922,-16.056513,-16.064709,-16.1966,-16.261356,-16.272127,-16.272757,-16.286133,-16.365002,-16.365211,-16.414694,-16.41795,-16.478384,-16.513508,-16.552706,-16.557201,-16.576054
205;0;375870,375426,4144,23661,375650,379018,376402,375868,376426,64599,375867,126039,376774,378409,375425,130953,391425,376620,377573,55241,377185,380240,376212,378825,13189,377297,376543,390823,173253,379684,375315,381703,381813,74933,385147,376739,375651,229794,376199,375081,378436,226989,126037,17908,388024,126038,199993,197270,376192,378028;-10.354172,-10.935193,-11.39701,-11.45402,-11.628433,-11.839137,-12.153212,-12.515632,-12.584719,-12.5864935,-12.588791,-12.6778345,-12.76564,-12.801745,-13.081478,-13.177553,-13.19634,-13.269638,-13.30467,-13.352807,-13.592553,-13.609685,-13.690952,-13.893747,-13.89665,-14.142398,-14.298972,-14.383516,-14.435737,-14.464836,-14.601855,-14.607391,-14.607739,-14.618377,-14.725018,-14.781577,-14.834575,-14.848795,-14.851207,-14.98907,-15.072999,-15.093349,-15.098424,-15.117836,-15.122684,-15.131783,-15.206556,-15.270205,-15.284685,-15.295202
209;0;10296,1145,30031,374,1160,68931,39102,21608,203746,80476,1144,124435,48867,20518,60826,14997,14323,8570,37057,15962,38035,646,41965,29625,577,376989,172033,42987,7498,169447,7,32564,379480,52879,137036,90319,20072,33838,2643,47944,60799,36226,147589,17913,28201,135,13989,30577,27566,128858;-13.586323,-13.785189,-13.89664,-13.943854,-14.383663,-14.69046,-14.846468,-14.882786,-15.140954,-15.243152,-15.28835,-15.401196,-15.419514,-15.681195,-15.738604,-15.815968,-15.895418,-15.903986,-15.930231,-15.995857,-16.028845,-16.03691,-16.188318,-16.42004,-16.518633,-16.52108,-16.527988,-16.59296,-16.605898,-16.63448,-16.800251,-16.807728,-16.812424,-16.827024,-16.895134,-16.995178,-17.01303,-17.031113,-17.148277,-17.152004,-17.173733,-17.18118,-17.20734,-17.22966,-17.243118,-17.27878,-17.342588,-17.359358,-17.406507,-17.413784
209;0;10296,68931,1160,374,203746,21608,72439,39102,42987,52879,1145,28201,376989,124435,41965,80476,48867,379480,8570,15962,9013,2643,32564,30031,20072,169447,10741,3407,89876,1144,60826,17913,90319,35153,131153,10976,3106,8342,2521,33838,37057,147235,172033,128858,29625,41905,14997,646,14323,60799;-11.882769,-12.604864,-13.343788,-13.852636,-13.860212,-13.986135,-14.009645,-14.280722,-14.413736,-14.490116,-14.740914,-14.760447,-14.790527,-14.847516,-14.879184,-14.884177,-14.899833,-14.952017,-14.970656,-14.9862585,-15.006027,-15.087304,-15.115217,-15.1766,-15.31047,-15.313006,-15.34873,-15.360831,-15.402701,-15.42059,-15.43053,-15.439776,-15.465007,-15.493475,-15.549851,-15.597376,-15.602093,-15.604876,-15.612739,-15.625826,-15.658741,-15.661805,-15.685261,-15.6897135,-15.780993,-15.782118,-15.785666,-15.793615,-15.818046,-15.871656
214;0;46253,4825,36186,35508,36382,6074,24417,35861,25185,79181,35655,13037,79301,79615,13577,36438,6694,13721,35782,10237,387661,25604,68476,34738,6736,131025,34853,4181,36032,6693,175558,13238,7132,11676,14085,35806,6036,5626,13038,35840,6498,36049,86495,6212,14326,36359,57985,5994,143136,87021;-13.924221,-14.187377,-14.291127,-14.41086,-14.760926,-14.876262,-14.907493,-14.983389,-14.992795,-15.015618,-15.078652,-15.178092,-15.213173,-15.278038,-15.305077,-15.317991,-15.321571,-15.3447075,-15.351593,-15.365438,-15.399525,-15.4678755,-15.495459,-15.517583,-15.5457945,-15.590757,-15.605817,-15.705936,-15.775383,-15.800703,-15.813029,-15.86273,-15.894803,-15.9055395,-15.943095,-15.961311,-16.000355,-16.020826,-16.021198,-16.044443,-16.047607,-16.055279,-16.068989,-16.071602,-16.109802,-16.113737,-16.144072,-16.209963,-16.249306,-16.255842
