SessionId;Position;Recommendations;Scores
199;0;85571,42602,234568,3171,3170,63798,53224,10584,78786,12987,381002,64109,64107,376524,374790,381811,85714,32982,53223,5680,54767,33070,379049,10517,18887,42271,5679,71702,375877,8138,8619,139320,7113,155103,17731,378120,392785,376542,14248,10998,47544,13112,375898,375761,30700,376000,378639,24758,67199,32979;13.24867,12.604422,11.987431,11.002145,10.323301,10.195156,9.630342,9.500059,9.487028,9.100969,9.060097,9.049023,8.799301,8.784754,8.784579,8.669386,8.600449,8.411249,8.317589,8.311568,7.71663,7.583412,7.381703,7.24961,7.214503,7.127151,7.0437064,6.921273,6.8006406,6.776352,6.738955,6.46204,6.425605,6.290099,6.144152,6.081026,6.0732155,6.070035,6.024479,6.0039663,5.9985085,5.952061,5.913269,5.8942604,5.852488,5.8084626,5.730342,5.7219887,5.7152534,5.71037
200;0;16486,90515,14315,13200,712,19666,57609,378499,246593,40531,72482,13471,47275,3585,89497,126351,375888,131605,166233,126690,380144,25478,79278,126390,68854,387762,1445,131379,378723,711,5325,4913,14189,147759,10340,375883,380651,16712,5679,36178,248755,8554,31203,380147,114022,8732,22634,374788,8400,3875;7.7925706,7.033539,7.0232944,6.9121037,6.6521645,6.3996964,5.9628344,5.8549457,5.7392063,5.6152105,5.515988,5.4383636,5.396292,5.3591166,5.2950745,5.2792354,5.138583,5.0764666,5.0337677,5.03297,5.0025425,4.981391,4.96538,4.928046,4.9141846,4.895463,4.8805103,4.8569713,4.836198,4.7993784,4.775982,4.750837,4.6704054,4.6138186,4.556676,4.551898,4.546816,4.5445933,4.531574,4.52458,4.5182586,4.458391,4.4513726,4.432848,4.3948946,4.389862,4.389297,4.359483,4.3280344,4.251919
203;0;36271,14357,69098,126673,36706,14649,6848,14082,90306,14280,6460,90184,25833,25834,14286,57991,7100,19831,377629,13748,90311,379043,13847,14019,6307,90787,131308,14889,36094,14895,128683,383891,6308,57994,47487,206513,14276,7122,25911,13851,13782,6723,57976,25429,14285,36765,14118,6462,58240,13805;12.40063,8.77059,8.424986,8.132699,8.01097,7.9164004,7.866822,7.844131,7.7335677,7.682,7.6558123,7.650134,7.587638,7.5036097,7.5035167,7.4453306,7.2710557,7.177946,7.1570616,7.128161,7.073657,7.0174456,7.002475,6.9847775,6.9553576,6.9486117,6.8853955,6.86746,6.8655396,6.846594,6.832186,6.830636,6.8106713,6.791363,6.789264,6.7118545,6.699667,6.6948967,6.6862335,6.659508,6.6268497,6.6194987,6.5799828,6.5669518,6.559914,6.557821,6.5565014,6.46714,6.457145,6.451677
203;0;25833,126673,25834,14649,25911,7100,36271,58637,6848,90306,176018,378915,206513,382697,79717,6723,7345,36706,176017,377629,375418,375334,58636,14895,80257,14896,14721,131616,7122,7225,375966,14280,14894,80254,19831,380570,164656,58677,13805,6844,13748,381717,90448,128958,58591,376432,90787,379043,68955,126566;13.383873,11.66532,11.263834,10.280328,9.691593,9.498222,9.260793,9.141883,8.858662,8.805098,8.797411,8.767524,8.61461,8.591146,8.590831,8.5434,8.51544,8.4551115,8.411417,8.339939,8.301788,8.289593,8.223893,8.018104,7.9952974,7.930037,7.806177,7.799294,7.7427692,7.729319,7.7091856,7.662167,7.6603284,7.6114206,7.501993,7.367298,7.3597074,7.2341585,7.2270055,7.0953455,7.0918927,7.0895844,7.079826,7.071892,7.055457,7.038081,7.002328,6.9992833,6.941153,6.891748
203;0;25833,126673,25834,14649,25911,7100,58637,36271,176018,378915,6848,90306,382697,206513,79717,6723,7345,176017,36706,375418,377629,375334,58636,80257,14895,14896,14721,131616,375966,7225,7122,14894,80254,14280,19831,380570,164656,58677,13805,128958,381717,376432,6844,90448,13748,58591,379043,90787,404590,68955;14.114124,12.250466,11.856174,10.788488,10.183403,9.960117,9.6241455,9.563033,9.26994,9.258068,9.251097,9.205251,9.058819,9.045257,9.021723,8.951906,8.936219,8.856915,8.824569,8.749683,8.726612,8.724709,8.63741,8.415384,8.383476,8.344964,8.216799,8.192465,8.127276,8.125594,8.109623,8.041454,8.017621,7.9794607,7.829398,7.768943,7.7580323,7.6008763,7.567643,7.458599,7.4584837,7.433529,7.4224176,7.389747,7.3844743,7.380028,7.3110332,7.301233,7.2939253,7.2572584
205;0;375650,375426,379018,376426,391425,4144,376402,375867,378350,376212,375425,375870,375561,380240,126039,23661,126038,157275,130953,133133,381813,77497,376739,375868,383347,376543,376192,376774,377185,393639,385147,376620,40908,252937,3688,379743,375898,378436,13189,69013,6939,378825,376975,390292,377297,377669,378409,376976,377548,376542;13.232431,12.5933075,12.514398,12.383028,9.865089,9.704714,9.172291,8.821108,8.582424,8.562674,8.410496,8.133037,8.1149025,7.948886,7.947319,7.7682443,7.6520767,7.4387383,7.4217386,7.352739,7.301957,7.2918663,7.2496877,7.2406473,7.236873,7.22394,7.204769,7.1851025,7.133979,7.0985303,7.0345936,6.9393597,6.880805,6.8769665,6.8233304,6.8191776,6.811266,6.784218,6.7104774,6.6901364,6.6632338,6.609569,6.5731583,6.503587,6.4844165,6.4770765,6.406743,6.378146,6.2815933,6.2783647
205;0;375650,375426,376426,379018,391425,4144,376402,380240,376212,375870,375561,375867,378350,375425,126038,383347,126039,133133,393639,376739,376774,252937,6939,23661,33886,385147,77497,375868,376620,376192,378825,390292,375888,378436,157275,376975,54767,3688,130953,377185,381813,3171,379743,376543,40908,377669,7101,375898,376624,393096;14.344309,13.793555,12.455501,12.30774,11.306864,9.613571,9.258717,8.967119,8.770923,8.519262,8.370199,8.212845,7.969981,7.8314104,7.6556654,7.6400924,7.5721807,7.414402,7.365604,7.2941556,7.28564,7.266426,7.117639,7.072659,7.039097,6.9652605,6.945689,6.911436,6.8740616,6.6794853,6.609173,6.5974226,6.575633,6.561414,6.560189,6.537296,6.526185,6.5158076,6.5100183,6.4767313,6.439601,6.4381166,6.432029,6.429595,6.3970356,6.347246,6.2648544,6.2510037,6.2486224,6.2128015
209;0;124435,30031,38035,172033,1145,374,39102,3407,57673,1160,36226,21608,37057,72226,30815,203746,48867,80476,10296,8570,147589,28201,47944,60799,89876,15962,14997,243465,2643,1144,7,38644,42987,60826,20518,73719,33838,646,17389,26604,20072,137036,577,37221,576,82388,7499,147235,14323,17913;11.013689,10.820607,10.643849,9.571915,9.270339,8.994034,8.928353,8.597067,8.410376,8.404167,8.272691,8.221294,7.8690805,7.752819,7.741778,7.7025213,7.578616,7.4865584,7.293229,7.2660837,7.119814,7.065614,7.005681,7.0020447,6.975963,6.9487934,6.936078,6.9010925,6.856314,6.8335323,6.8169527,6.7636995,6.7456875,6.6670456,6.643217,6.579043,6.5378485,6.494404,6.439664,6.423075,6.394311,6.38451,6.2719917,6.2108774,6.07277,6.0632744,6.0534854,5.9876065,5.772099,5.7215614
209;0;10296,1145,124435,57673,3407,39102,30031,28201,38035,21608,203746,1160,172033,1144,374,33838,80476,3106,2643,646,15962,60826,89876,72226,17389,36226,48867,37057,35153,26604,20072,147589,42987,30815,82388,60799,57917,8570,376075,243465,22615,86501,47944,137036,376989,197108,17913,13713,7,73719;10.072556,9.910174,9.848587,9.289785,9.231365,9.131971,9.113939,8.97463,8.925611,8.797567,8.520618,8.147694,7.9872627,7.9785624,7.9116445,7.81864,7.7754908,7.449581,7.4054937,7.361028,7.3040247,7.3035183,7.2954483,7.2849283,7.2415752,7.227651,7.2036605,7.072936,6.81026,6.7925644,6.743701,6.697906,6.676511,6.659167,6.53852,6.5184746,6.4857655,6.37817,6.242141,6.1980505,6.17572,6.174381,6.171835,6.167764,6.163436,6.1541686,6.1433954,6.1325293,6.07044,6.066754
214;0;10237,4825,36359,36049,13895,35655,131201,6694,6693,13630,6729,11103,86495,6074,13721,6212,36438,14382,34668,35508,6498,23407,36382,5626,68476,69045,34853,6828,19509,33798,30594,13037,34738,13674,90595,36782,204988,13237,20207,47074,6471,6822,203498,33886,11344,47310,79301,36608,13238,46253;9.491791,8.195824,8.188224,7.981223,7.5614915,7.5021667,7.3661146,7.337611,7.2983675,7.2730627,7.1941376,7.166396,7.158475,7.131258,7.0320435,6.9270744,6.771089,6.718776,6.4289827,6.415435,6.4057636,6.288373,6.235963,6.2288103,6.1285925,6.0988503,6.062354,6.0564957,6.0215235,5.9837766,5.8893714,5.8812895,5.856458,5.8303957,5.8133745,5.7578163,5.7569356,5.7381306,5.7093945,5.6904097,5.665909,5.6212792,5.5903683,5.5835905,5.4968944,5.481887,5.42719,5.4060025,5.4028955,5.3713694
214;0;10237,4825,36359,36049,13895,35655,131201,6694,6693,13630,6729,11103,86495,6074,13721,6212,36438,14382,34668,35508,6498,23407,36382,5626,68476,69045,34853,6828,19509,33798,30594,13037,34738,13674,90595,36782,204988,13237,20207,47074,6471,6822,203498,33886,11344,47310,79301,36608,13238,46253;10.936698,9.443451,9.434693,9.19618,8.712555,8.644199,8.487436,8.454594,8.409376,8.3802185,8.289279,8.257316,8.24819,8.216827,8.10251,7.9815626,7.8018312,7.7415557,7.4076476,7.3920364,7.3808928,7.2456336,7.185245,7.177004,7.0615306,7.0272593,6.9852076,6.9784584,6.938162,6.894669,6.785893,6.7765813,6.7479696,6.7179403,6.6983275,6.634312,6.6332974,6.6116295,6.578519,6.556645,6.528414,6.4769897,6.4413733,6.433564,6.33367,6.316378,6.2533555,6.2289424,6.225363,6.1890373
215;0;36031,176017,176018,14441,25911,35980,14280,79911,13931,35981,13804,14444,58636,58637,14894,6308,6848,13835,79520,36411,90787,47296,36809,14082,36083,36768,6061,14445,13930,14895,14123,36706,36094,14889,36155,7100,6943,6248,14026,13851,14896,36410,14299,375966,6135,25715,126673,213925,36810,6460;12.119099,10.301407,10.254095,9.846474,9.4340725,9.328076,9.265818,9.264765,9.184441,9.135296,9.026533,9.023451,8.918134,8.911756,8.844221,8.745874,8.662584,8.631201,8.542698,8.355787,8.34978,8.315696,8.222465,8.179325,8.173223,8.162531,8.136624,8.103305,8.029519,8.024274,8.015368,7.981181,7.9745,7.873934,7.778502,7.7735896,7.7427144,7.72593,7.706352,7.6798954,7.5712132,7.560332,7.5424476,7.537009,7.5074406,7.375382,7.361167,7.2702103,7.268811,7.2674756
215;0;13748,79717,6848,36094,6308,36271,36031,36083,7100,90306,13804,128683,126673,13931,13930,90311,14280,36706,25833,6248,13836,36411,13805,14082,25911,19701,13835,13851,14894,47160,47296,57991,35981,6460,13329,13620,36363,206513,176018,35980,46907,58637,58636,13557,14276,79520,5643,176017,36155,14441;10.888346,9.319733,9.305495,9.29277,9.282843,9.279944,9.183344,9.064098,9.060417,8.9224415,8.880489,8.769544,8.6947,8.317596,8.308813,8.3024235,8.284731,8.249333,8.237406,8.2191725,8.189515,8.004783,7.9701314,7.9437,7.898415,7.8749466,7.818659,7.758152,7.744515,7.7318177,7.723954,7.640141,7.62778,7.6180363,7.4672227,7.424708,7.4119096,7.386566,7.381413,7.3470044,7.3253093,7.322729,7.2765417,7.273823,7.2164326,7.208809,7.1839643,7.156956,7.120596,7.114011
