SessionId;Position;Recommendations;Scores
199;0;85571,10517,376524,5680,78786,234568,32979,42602,10998,53224,381002,24758,3171,132215,42271,32982,85771,63798,18887,54767,374790,10584,64109,381811,85714,3170,12987,64107,155103,33070,193903,375761,173031,81522,379049,383375,71726,8619,375865,375877,67334,42457,380977,8138,255623,50857,35716,293211,57717,67131;14.355489,13.533165,12.740493,12.408281,12.155364,11.656571,11.601353,11.125065,11.053517,11.017526,11.015711,10.870935,10.858528,10.569838,10.5064,10.479704,10.425417,10.401074,10.371138,10.36334,10.298567,10.002428,9.9332,9.811981,9.808192,9.723654,9.668102,9.618047,9.579439,9.484317,9.374685,9.120495,9.04739,8.981899,8.875692,8.71283,8.655697,8.497751,8.463545,8.429731,8.417301,8.406958,8.336968,8.292301,8.243788,8.230574,8.229166,8.20134,8.144797,8.103422
200;0;16486,72996,127773,3585,16712,75681,13200,57609,19514,40531,25862,14315,712,3583,72482,164309,34620,1866,16713,31203,79278,3395,90515,40126,160447,167961,170425,68642,160136,5658,711,65203,75448,126351,37007,32821,43527,5325,68493,177190,380144,102454,31781,180625,58153,6208,25863,89716,1431,8454;14.351015,13.717312,12.591524,12.523241,12.508487,12.322395,11.865572,11.65539,11.461351,11.442841,11.279541,11.184935,11.072329,10.964965,10.8477955,10.803573,10.652987,10.633202,10.621075,10.614496,10.539995,10.536663,10.3692255,10.348724,10.281857,10.273931,10.147819,10.099294,9.981575,9.957731,9.891212,9.77067,9.728994,9.70557,9.642531,9.581759,9.557368,9.423596,9.390121,9.383772,9.3495245,9.271985,9.265844,9.265707,9.258221,9.251484,9.204586,9.200337,9.187049,9.186392
203;0;36271,6848,90306,19831,247822,36313,13931,69098,36765,58591,126673,36706,29707,14276,19701,68955,47189,14357,90479,6508,14650,14649,7100,13851,14082,58671,47487,6723,36611,36613,6549,47433,36703,90448,58174,79744,6501,14365,57991,25518,13805,13748,90311,126605,13892,129084,36456,36647,6307,29644;14.570618,13.8496475,12.640142,12.194456,11.634588,11.532774,11.442818,11.421386,11.412147,11.3970785,11.358196,11.346083,11.338028,11.329849,11.327829,11.319297,11.315556,11.301367,11.244606,11.164008,11.129671,11.075558,11.073822,11.067497,10.981759,10.954255,10.91713,10.897495,10.838941,10.686112,10.677099,10.66122,10.619304,10.586625,10.56514,10.556378,10.4741955,10.467484,10.444466,10.442705,10.392479,10.354715,10.337023,10.332365,10.306236,10.289792,10.282447,10.248594,10.241983,10.220928
203;0;25833,25834,126673,58636,380570,80254,375418,58637,386891,25911,90306,6848,58671,375334,129084,14650,164656,25875,176018,176017,379513,90842,58591,382697,209952,377422,126605,203481,379860,376512,47723,378633,19701,204990,14800,36271,386994,14649,14357,14894,13805,383891,377629,379043,7100,19831,14662,382099,14896,386974;15.341681,14.852026,13.770113,12.905153,12.871721,12.679617,12.63133,12.305957,11.988,11.753845,11.689518,11.660334,11.63488,11.621823,11.599017,11.556204,11.455816,11.324163,11.301481,11.292063,11.231298,11.007412,10.849859,10.797721,10.766975,10.731769,10.639075,10.601202,10.551261,10.503365,10.499472,10.472967,10.370525,10.36203,10.343744,10.222822,10.200714,10.154884,10.132877,9.933659,9.929385,9.902007,9.897594,9.823184,9.758969,9.728552,9.70567,9.693447,9.588188,9.539358
203;0;25833,25834,126673,58636,380570,58637,375418,80254,25911,386891,379513,25875,375334,176017,382697,58671,209952,90306,164656,129084,176018,14650,377422,90842,6848,378633,376512,203481,379860,126605,204990,377629,386994,58591,14800,14662,386144,47723,14894,19701,13836,14649,386974,382099,379043,383541,13805,14685,206513,14357;15.838367,14.865848,13.73023,13.01762,12.892591,12.477535,12.464652,12.276146,11.729845,11.683505,11.598597,11.4114685,11.37208,11.277424,11.232642,11.20144,11.195797,11.161606,11.107582,11.105822,11.100101,11.007757,10.9342575,10.791124,10.662884,10.559641,10.332727,10.1815,10.146746,10.138522,10.077159,10.054087,9.949543,9.949381,9.947255,9.911053,9.821256,9.796756,9.775656,9.674443,9.599621,9.570753,9.525274,9.511393,9.45207,9.448731,9.448143,9.44332,9.415701,9.410244
205;0;379018,375426,375650,391425,376426,376774,375870,376212,23661,4144,393639,381703,388024,380240,377297,375651,55241,126039,390292,378409,377185,173253,130952,165975,376402,376192,381367,375081,377548,79304,130953,375868,13189,390823,385147,197270,383029,126038,377669,376620,377573,375867,192137,376739,376543,376650,376749,400946,393606,378028;15.29452,15.269624,14.809593,14.521702,13.89098,13.546616,13.198997,12.467604,11.326744,10.954044,10.922379,10.687645,10.634818,10.623455,10.596138,10.57806,10.490339,10.4364805,10.120016,10.0006275,9.527468,9.399949,9.38763,9.34881,9.2870035,9.245244,9.1995735,9.169691,9.082174,9.044933,8.984919,8.935437,8.921602,8.907139,8.812336,8.783952,8.712148,8.622673,8.514925,8.493002,8.481447,8.428241,8.385712,8.220789,8.1904955,8.141522,8.128175,8.113014,8.07492,8.064824
205;0;375426,375650,391425,376426,376774,376212,379018,375870,393639,375651,381367,381703,390292,4144,388024,23661,377548,126039,377297,55241,130952,377669,383029,378409,173253,375901,376543,376192,165975,376402,378436,385147,376620,380240,376650,197270,377185,377573,380253,375561,379142,375081,375781,376749,376739,375868,390823,378825,379667,79304;16.180712,15.8857765,15.801365,14.923092,14.366132,13.511875,13.444252,12.946467,12.897085,11.604383,11.531549,11.523858,11.3899765,11.217236,10.951414,10.798416,10.741482,10.725338,10.560917,10.066601,10.003492,9.967066,9.863533,9.789753,9.639233,9.547331,9.505812,9.499605,9.398968,9.356857,9.234546,9.232479,9.196187,9.179525,9.117899,9.114831,9.109804,9.027615,8.949389,8.912174,8.868452,8.853572,8.760733,8.720066,8.653033,8.641962,8.636372,8.501049,8.492315,8.489636
209;0;39102,38035,10296,1145,48867,124435,172033,577,1144,376989,374,60826,80476,203746,42987,41965,147235,30031,253382,379480,37057,243465,21608,20072,3407,166613,3106,15962,576,17389,28201,27842,26604,147589,31181,89876,31182,57673,38644,71204,169447,16343,37221,52879,14997,10976,646,33838,164664,29625;12.849216,12.847459,12.554043,12.537513,12.466007,12.222755,11.803829,11.120602,11.062645,11.051979,10.989399,10.855972,10.519296,10.515224,10.478134,10.38945,9.944563,9.907895,9.896053,9.890131,9.771612,9.751541,9.697724,9.646556,9.620476,9.609713,9.523664,9.494005,9.479416,9.400761,9.392214,9.375595,9.3647,9.285405,9.061185,8.972364,8.957318,8.880863,8.847698,8.723293,8.707016,8.691212,8.604316,8.570993,8.549226,8.52997,8.431677,8.411169,8.3772955,8.369578
209;0;10296,42987,39102,376989,17389,52879,28201,379480,3106,1145,20072,89876,140063,155556,5930,147235,10976,57673,169447,3407,90319,383278,36119,172033,27842,60826,14468,203746,376075,21608,2870,68846,169448,147589,173325,19507,41965,428259,86389,124435,68931,31182,1144,48867,33838,151063,243465,378721,10741,17913;14.825705,12.766031,12.38463,12.111528,11.815377,11.7927475,11.729002,11.547181,11.462833,11.402077,11.320379,11.284491,11.009451,10.990328,10.854722,10.78472,10.758916,10.572092,10.546881,10.387362,10.341912,10.190368,10.187478,10.183058,10.172667,10.169121,10.163556,10.097166,10.064016,10.050132,10.021612,9.91041,9.839759,9.814287,9.8128805,9.7603245,9.75807,9.757049,9.733957,9.704462,9.655643,9.614431,9.501529,9.452177,9.427109,9.3793545,9.33547,9.253604,9.249417,9.15271
214;0;10237,4825,36382,79181,46253,11676,13037,34853,35508,34762,79301,45512,35782,34668,6036,36186,68476,171148,5351,387661,35815,69045,4106,36359,14085,35861,36438,57589,35655,34738,47310,36049,6693,6212,6074,79615,6471,5626,143136,19141,18833,18495,74191,25185,13181,117669,6694,35992,13630,11103;13.447881,10.849714,10.592613,10.564886,10.370599,10.260928,10.067885,10.007622,9.858471,9.814297,9.803776,9.775641,9.685024,9.658861,9.65451,9.623489,9.62008,9.525006,9.517904,9.51475,9.485619,9.410102,9.277425,9.251636,9.193117,9.167491,9.16035,9.142818,9.123352,9.110437,9.015629,9.0057955,9.000979,8.95658,8.941557,8.924924,8.877511,8.815611,8.814203,8.793455,8.782633,8.771933,8.761163,8.756376,8.692014,8.648711,8.637523,8.617628,8.606361,8.599081
