SessionId;Position;Recommendations;Scores
199;0;85571,376524,3171,5680,53224,234568,10517,3170,42271,381002,33070,63798,78786,53223,42602,381811,85714,32979,64109,10584,54767,32982,2692,10998,64107,22587,374790,2693,74232,375761,85771,174628,8619,12987,71734,376301,22588,379023,59954,14683,376000,139540,155103,13001,12726,376185,375888,126659,10152,12459;16.024414,14.431854,14.197316,13.945975,13.830708,13.545728,13.203791,13.143413,13.1169615,13.089724,13.033367,12.909731,12.869778,12.683868,12.50443,12.443352,12.402484,12.172622,12.137808,12.017009,11.723445,11.637606,11.602184,11.350324,11.067865,10.977571,10.944656,10.813463,10.781297,10.749595,10.749164,10.523296,10.286274,10.215471,10.033377,9.910486,9.887954,9.875703,9.842524,9.825548,9.784161,9.7578745,9.746356,9.561053,9.533926,9.486753,9.470421,9.446595,9.424368,9.422924
200;0;16486,712,72482,79278,246593,25862,25863,711,40531,16712,5325,4913,14315,31203,72740,126351,65203,19514,33313,37007,32821,5569,1431,79583,131605,1866,254497,29167,3395,126690,2692,68493,34620,75448,14851,25091,40126,22588,248755,181507,90120,2441,22894,19108,13471,8980,175992,33520,3585,8554;15.09226,13.982637,13.50145,13.401645,13.388922,13.165875,13.066864,12.940889,12.744219,12.723687,12.629388,12.577425,12.546518,12.447113,12.423908,12.272528,12.01906,12.0084095,11.819591,11.814009,11.758532,11.730663,11.697012,11.607316,11.59228,11.58459,11.51015,11.427413,11.413829,11.399977,11.379022,11.357478,11.3545475,11.342878,11.335538,11.313835,11.273044,11.19854,11.196387,11.077322,11.026023,10.984283,10.974176,10.953837,10.854646,10.825831,10.789823,10.789199,10.766239,10.763508
203;0;36271,6848,90306,36094,13931,126673,57991,19831,6308,13851,36706,14082,13805,13748,36083,36411,68955,14889,7100,25833,13804,6501,90479,90311,6749,47189,36155,47296,36031,14276,13620,176018,14280,6762,58636,25834,6723,57994,36272,14118,68815,69167,79717,90193,176017,6460,19701,14001,14004,25911;16.519192,14.703397,14.626373,14.404352,13.610536,13.552678,13.516769,13.365896,13.234935,13.142652,13.11969,13.085511,13.071327,12.951714,12.920558,12.874136,12.855016,12.828241,12.736942,12.709652,12.660556,12.535727,12.452864,12.403571,12.392847,12.333441,12.2659445,12.152899,12.146973,12.132401,12.117963,12.10024,12.018975,11.995979,11.988483,11.953736,11.95269,11.801894,11.785111,11.711699,11.681318,11.671536,11.63467,11.624741,11.594389,11.585829,11.576517,11.5741005,11.570081,11.560833
203;0;25833,25834,126673,58636,6848,58637,375966,176017,25911,382697,176018,14894,379860,14649,7345,377629,376512,36271,375334,7100,90306,164656,386891,14889,375418,36706,131616,90842,58671,131499,14650,14648,377555,380570,6723,14896,206513,90479,36765,382099,6943,68955,80254,209952,14800,25518,6762,6501,79717,204990;15.849839,15.046017,14.463759,13.42575,13.401257,12.8105345,12.244157,12.23779,12.205095,12.095026,12.087424,12.0138855,11.982752,11.75712,11.687953,11.607658,11.588915,11.520432,11.498515,11.400589,11.288239,11.149089,11.103589,11.099542,10.882539,10.870717,10.8587885,10.845103,10.813125,10.799084,10.793079,10.781923,10.682227,10.642707,10.616826,10.590611,10.563375,10.5017185,10.487492,10.36211,10.318866,10.260335,10.229534,10.222002,10.219445,10.209136,10.169571,10.132344,10.128614,10.008527
203;0;25833,25834,126673,58636,6848,58637,375966,25911,176017,382697,176018,379860,14894,14649,376512,377629,7345,36271,375334,14889,7100,90306,386891,164656,36706,90842,375418,131499,377555,58671,14650,131616,14648,14896,36765,380570,382099,90479,6723,206513,6943,80254,25518,14800,209952,68955,90787,6762,203481,383891;15.801886,14.9074335,14.308029,13.359035,13.31687,12.676001,12.340008,12.182193,12.171283,12.1698885,12.055864,12.013165,11.88791,11.811523,11.724238,11.69877,11.641432,11.540531,11.467949,11.336659,11.3351555,11.197162,11.154666,11.0547285,11.031723,10.994628,10.989754,10.9291725,10.918978,10.907606,10.867585,10.863417,10.78683,10.687972,10.606408,10.598177,10.546009,10.541177,10.513945,10.448887,10.439403,10.375148,10.318132,10.297248,10.208833,10.201484,10.113356,10.0980835,10.087878,10.079556
205;0;375426,375650,379018,380240,23661,13189,375870,4144,391425,376426,55241,130953,375561,377185,133133,376774,376650,381813,126037,126039,377548,377297,376543,376739,377669,377677,378436,376212,378825,383347,106327,390823,34715,378409,67816,376301,378856,375755,157275,79304,379023,383878,173253,376970,380253,20475,169683,129045,376400,380074;17.489046,17.01581,16.680376,15.979523,14.460451,13.856539,13.794684,13.641419,13.47234,12.875585,12.508038,12.2257185,12.22178,12.186088,12.185818,12.119115,12.082985,12.027733,11.924852,11.908842,11.887574,11.846239,11.746636,11.735279,11.715245,11.647417,11.619345,11.432937,11.3956785,11.297099,11.113189,11.015143,10.946171,10.905313,10.805787,10.736195,10.592748,10.554311,10.523633,10.496643,10.483449,10.462646,10.332942,10.282594,10.247885,10.245283,10.225908,10.189794,10.176616,10.171941
205;0;375426,375650,379018,391425,376426,375870,376774,380240,376650,377548,393639,381813,377185,376739,377677,390292,377669,376212,13189,378409,4144,378436,376543,383347,377297,390823,379667,375561,23661,130953,378825,378856,126037,383878,376213,126039,374807,79304,375651,378028,381703,162407,55241,376620,376192,385147,386899,173253,133133,67816;13.783436,13.479354,12.0882635,12.056255,11.260983,10.745595,10.577611,10.550573,10.445308,10.382123,9.94802,9.861045,9.622136,9.607894,9.606129,9.591597,9.454295,9.398848,9.352994,9.3436575,9.341678,9.330826,9.292615,9.207381,9.110981,9.097669,9.08074,9.0666,9.0247135,9.02343,8.894946,8.716694,8.697797,8.514754,8.513489,8.512487,8.487332,8.467445,8.447992,8.366102,8.342465,7.9824195,7.9493856,7.928497,7.879677,7.8654222,7.8375874,7.81356,7.7911887,7.7203765
209;0;38035,10296,1145,3407,30031,124435,1144,15962,21608,48867,577,80476,203746,7568,39102,60826,28201,33838,47944,8570,172033,26604,1160,147235,3106,42987,52879,57673,646,39817,30815,147589,32564,2643,379480,376075,10976,576,89876,68931,27842,20072,376989,137036,60799,7498,68846,74771,38770,38644;14.946957,14.177631,13.864411,13.087288,13.044989,12.967459,12.954094,12.933674,12.872471,12.709054,12.662082,12.445681,12.3493595,12.197579,12.0215435,12.002873,11.988366,11.896535,11.875476,11.793282,11.770651,11.693732,11.570093,11.371618,11.343107,11.332628,11.254992,11.076519,11.033734,10.894235,10.775804,10.743455,10.695893,10.598963,10.50208,10.468789,10.445587,10.443562,10.3580675,10.251122,10.221664,10.163044,10.071343,10.017119,9.978572,9.839889,9.781066,9.763852,9.720762,9.688587
209;0;10296,3407,379480,1145,28201,52879,57673,39102,3106,21608,376989,89876,42987,33838,10976,376075,147235,20072,124435,203746,17389,14468,1160,38035,172033,15962,1144,68846,68931,39817,2643,60826,32564,27842,5930,21454,164664,26604,47205,147589,169447,577,2870,48867,90319,60799,8570,79316,30031,383278;12.794145,11.122418,10.370197,10.324281,10.119163,10.106639,10.080347,10.066527,10.013505,9.903461,9.877394,9.622305,9.5920105,9.43507,9.370271,9.285274,9.237396,9.220497,9.14724,9.117504,9.041867,9.0237875,9.013752,8.945166,8.93778,8.725692,8.688856,8.643668,8.6416445,8.628138,8.589335,8.537185,8.238914,8.019383,8.002563,7.9747305,7.8979073,7.881676,7.8605995,7.8586287,7.8502088,7.834301,7.8086085,7.773688,7.6996613,7.698623,7.6434803,7.452685,7.4271393,7.4009805
214;0;10237,35655,6730,36049,11676,13238,36359,36048,13552,13630,35508,83152,6828,13237,46253,6074,19509,34738,34853,14261,35840,4106,5351,6471,25276,36035,13674,4825,34567,36669,5626,90094,77770,175558,13721,24387,9525,13895,18495,57589,171278,25039,33827,47294,33798,35992,379492,90245,6729,3866;10.439441,9.003072,8.97254,8.954577,8.921281,8.828293,8.5594845,8.430322,8.416861,8.391824,8.335313,8.302151,8.205822,8.181681,8.135629,8.119697,8.107964,8.093997,8.048554,8.015151,7.99348,7.9335427,7.928479,7.92199,7.900026,7.7733645,7.7028465,7.6965327,7.6955953,7.6941695,7.685212,7.6798844,7.6655607,7.6486545,7.639368,7.587312,7.5289617,7.517684,7.5063634,7.5042243,7.475233,7.4661646,7.4544067,7.4363832,7.3385553,7.2823567,7.242811,7.23334,7.233109,7.2328863
