SessionId;Position;Recommendations;Scores
199;0;85571,53224,376524,3171,63798,42271,5680,42602,85714,59954,10517,32979,234568,3170,32982,10584,8138,64107,33070,64109,4571,81522,85771,76133,26945,16046,53223,162006,132215,913,13001,381002,78786,54767,4954,381811,30700,376000,155103,74232,71702,173031,50027,376088,71734,38247,255623,1159,10152,59956;7.785589378271976e+19,2.825031192923978e+18,1.9299727790120248e+18,1.4372991058597504e+18,1.0558044786278322e+18,1.0477611171146076e+18,9.360283703093761e+17,8.328800867848193e+17,7.63949506798316e+17,7.087254636866245e+17,5.7218992255310925e+17,5.392841625788352e+17,5.1584951659493626e+17,4.8851811063130797e+17,4.6140286803697286e+17,4.3717324219800525e+17,3.665255690687451e+17,3.4504312146301274e+17,3.34463530036333e+17,2.7122028626129114e+17,2.5533366917730714e+17,2.2137065210199894e+17,2.0847293307865197e+17,2.0669208219269392e+17,2.0361483798944026e+17,1.987719891216053e+17,1.9725127369242394e+17,1.928973890376143e+17,1.872213354596865e+17,1.8657519101759242e+17,1.8657519101759242e+17,1.5518402765372422e+17,1.4902120935570813e+17,1.4507313156249635e+17,1.429016412081736e+17,1.1553167754699109e+17,6.363639544231964e+16,4.553281456975718e+16,4.172778327224712e+16,3.765608724512994e+16,3.713487688530231e+16,3.6858720128216344e+16,3.630996527679363e+16,3.621040506665812e+16,3.618025405614714e+16,3.56800685561625e+16,3.439875780714552e+16,3.4198315491276092e+16,3.397144957490265e+16,3.263943091296186e+16
200;0;16486,72482,72996,254497,712,246593,5658,711,25862,40531,164002,21859,57609,1866,1431,25863,9924,170425,10559,16712,39320,2441,164309,1445,8554,75681,102454,3479,72740,3583,31203,13200,1371,42357,7182,387538,90515,3585,154356,75588,127773,10917,395578,21102,167961,10433,35760,30673,28915,25175;2.9054283632319136e+19,8.751794414230834e+17,7.855034790505818e+17,7.765735766121633e+17,4.915744452374856e+17,4.40987573895922e+17,3.538170576235362e+17,3.150844286601069e+17,3.1507280857213466e+17,2.6948619570527232e+17,2.5469613225756454e+17,1.924030919231833e+17,1.830442093158607e+17,1.8009736226130966e+17,1.791991229196879e+17,1.791991229196879e+17,1.5004427208700016e+17,1.452222099894844e+17,1.4485960790597066e+17,1.3661360914483086e+17,1.1937391819849214e+17,3.5794306117090892e+16,3.2620145234483972e+16,3.21161710743763e+16,3.1955991002891396e+16,2.753667186946684e+16,2.5896999718708508e+16,2.583233808013794e+16,2.457457747060166e+16,2.4361856205408372e+16,2.128755874346861e+16,2.0519916271428452e+16,5727171300721439.0,5698606914692005.0,4606596002383908.0,4606596002383908.0,4433966467195412.0,4344369799525578.5,3796140430802672.0,1305543777315702.0,676953254435346.4,146491675878026.0,138152773162014.28,116365654326488.97,21527396082052.434,20751104927948.887,0.0,0.0,0.0,0.0
203;0;36271,36094,90306,13748,13043,57991,13620,36083,6308,47189,6848,57659,35598,90479,207838,6369,57976,19831,13042,6501,14082,29644,19701,90193,6508,36155,6460,6367,47199,36706,46907,69098,13931,13329,79520,53935,90184,36272,14061,57994,32834,57952,6201,6302,69515,36765,7100,36313,6257,13782;2.2005195480475992e+20,4.0511720572442936e+18,2.870484174395118e+18,1.952420905999564e+18,1.8811202575245207e+18,1.8560500197194327e+18,1.4113613666435348e+18,1.2691391376468544e+18,1.0345963570409267e+18,1.023900217207716e+18,8.987621740339695e+17,8.392492202085068e+17,8.231072628381526e+17,7.880831377854607e+17,6.7353046019196e+17,6.403019547939305e+17,6.15611724009959e+17,6.066422878882231e+17,5.43076238403683e+17,5.388960047536639e+17,4.956467918467937e+17,4.862172117624102e+17,4.57906075377748e+17,4.5771001673545485e+17,4.4006126409336134e+17,4.272838678691187e+17,4.2647810247184154e+17,4.216916493769816e+17,4.1745957584924397e+17,4.17261543320309e+17,4.162507558037303e+17,4.1427296589664525e+17,3.9700818700517235e+17,3.963366311743501e+17,3.947291814103007e+17,3.829847870635967e+17,3.605009710553229e+17,3.457164525908904e+17,3.435966304777216e+17,3.254831597044341e+17,3.1996028664986835e+17,3.144239218327167e+17,3.1283861924832896e+17,3.092428313233442e+17,3.072936332110088e+17,3.054381984356597e+17,3.0474574128880045e+17,3.019627756804413e+17,2.984389235694815e+17,2.950024360993781e+17
203;0;25833,126673,25834,6848,58636,90306,58637,54344,57981,14894,176018,9103,79717,380570,46907,72561,13043,13241,13847,7606,36031,68955,35980,90448,79341,6078,404451,5724,7122,72562,14896,57952,25911,6135,6307,13970,6308,375418,69478,19831,80254,13558,14721,14890,6321,14889,6627,6723,14648,382697;1.127802381837695e+20,3.629294497849133e+18,2.6470176596576097e+18,1.2628996954132047e+18,8.264458462549139e+17,8.080371287207988e+17,7.683651511607273e+17,6.169056305553967e+17,4.936735363503565e+17,4.022184125933339e+17,4.002115688584625e+17,3.8926644738499994e+17,3.4113148479237184e+17,3.395621237420713e+17,3.361083953001505e+17,3.346638816312545e+17,3.0904227939924614e+17,3.004599015690151e+17,2.9455477598930035e+17,2.872358690332622e+17,2.8489699966343174e+17,2.742737106322622e+17,2.497009250314149e+17,2.4027842678656048e+17,2.35708509042532e+17,2.3452710498546272e+17,2.327747313135851e+17,2.32760238597996e+17,2.3161389332708733e+17,2.293091670813951e+17,2.293091670549075e+17,2.2881600388130544e+17,2.1459019992629126e+17,2.1405439339332278e+17,2.026617011707403e+17,1.9778060397631597e+17,1.9735241852405645e+17,1.9715137925553286e+17,1.8260469840701123e+17,1.8196419692522016e+17,1.803065315590842e+17,1.7940724898123754e+17,1.7521218443198208e+17,1.7454077648734093e+17,1.7454077040040934e+17,1.7346877063557712e+17,1.659061450678393e+17,1.6345312455252726e+17,1.6296040844592595e+17,1.6295978773474592e+17
203;0;25833,126673,25834,6848,58636,90306,58637,54344,57981,14894,176018,9103,79717,380570,46907,72561,13043,13241,13847,7606,36031,68955,35980,90448,79341,6078,404451,5724,7122,72562,14896,57952,25911,6135,6307,13970,6308,375418,69478,19831,80254,13558,14721,14890,6321,14889,6627,6723,14648,382697;1.127798376576053e+20,3.629240938095731e+18,2.646981659982393e+18,1.262683748831806e+18,8.264369411969859e+17,8.073706352053277e+17,7.683095138594587e+17,6.168606884686113e+17,4.9360666224775066e+17,4.022184242129173e+17,4.001659150642641e+17,3.8920199901796576e+17,3.411053741864626e+17,3.395621335515935e+17,3.3600838016703763e+17,3.346638912992726e+17,3.085902331221031e+17,3.0045673081812026e+17,2.9450729960138643e+17,2.8723587733114474e+17,2.8486932002231702e+17,2.7418633939493546e+17,2.4965282250212128e+17,2.402726673471231e+17,2.3570268520229686e+17,2.3452711176065546e+17,2.32774738038154e+17,2.32752819336946e+17,2.316137692202176e+17,2.293091736793669e+17,2.2930917367936054e+17,2.287404507446705e+17,2.145901994358859e+17,2.140543939729318e+17,2.0259931974789114e+17,1.9778060968994854e+17,1.9710379861704752e+17,1.9710374574630618e+17,1.825745210598323e+17,1.8178254800280752e+17,1.8030653676791286e+17,1.7940725416408704e+17,1.75212164144781e+17,1.7454077544413552e+17,1.7454077544267242e+17,1.7346877397673907e+17,1.659061498606589e+17,1.6345206850934058e+17,1.629588326436075e+17,1.629588324944075e+17
205;0;379018,375650,380240,375426,192137,376774,391425,23661,13189,117439,129081,390292,375870,190002,76852,157247,19823,377573,133918,176015,247871,375868,55241,14187,378409,376212,160208,381552,377548,126039,377297,11869,377295,376402,165975,379023,380239,3688,4144,76253,23744,86362,106327,3736,133140,376543,379034,66358,207888,376624;5.962524744286586e+19,3.974313553200631e+18,2.9136621626288983e+18,2.16847894205288e+18,4.511827455424011e+17,3.494520666633769e+17,2.322262067252622e+17,2.321790895977544e+17,2.2816548940432566e+17,2.209397572926444e+17,2.0824810058427827e+17,2.0058340798374074e+17,2.0058340798374074e+17,1.807578670376018e+17,1.791991229196879e+17,1.771786214600156e+17,1.513593135200844e+17,1.4176318164688616e+17,1.310507685390891e+17,1.224777896200648e+17,1.1271344082506494e+17,1.1271344082506494e+17,6.626885932211314e+16,3.713619977717695e+16,3.576938032074201e+16,3.5357850732492068e+16,3.2233956721675576e+16,3.2073189191823964e+16,3.1955991002891396e+16,2.699140923373476e+16,2.512709794495474e+16,2.3369853111580324e+16,2.3369853111580324e+16,2.0099817690095308e+16,2.0099817690095308e+16,1.9466875116262276e+16,1.9466875116262276e+16,9282941384634184.0,7998928894272402.0,6622376530787492.0,5820478776920204.0,5748175628332196.0,5719506482781759.0,5634354124825426.0,4813289354184804.0,4501159118753905.0,4167469146080880.5,4167469146080880.5,3894844837705467.0,3471463899678172.0
205;0;375650,375426,379018,380240,23661,375870,13189,391425,165975,393639,376426,390823,79304,298422,379394,375868,3688,377297,55241,376543,165905,375425,376212,377548,173253,126039,14001,379495,375781,383029,376774,375247,375755,35063,178919,162407,377669,199993,381813,12726,381615,130953,379023,76852,18743,4144,226989,89608,17908,67816;1.2209627963728454e+20,5.683205573855476e+18,3.983418187489177e+18,2.0524952028488038e+18,1.4696775322137272e+18,9.018749774556582e+17,5.589675204804313e+17,4.885246738082727e+17,4.5217863966441555e+17,3.676675521051709e+17,3.349122642772395e+17,3.2436683956046886e+17,3.223775908333716e+17,3.142861012539121e+17,3.142861012539121e+17,2.965234161707576e+17,2.870847846681217e+17,2.8364163390962694e+17,2.7227385019719517e+17,2.526035273136941e+17,2.515322388227736e+17,2.4716871682104e+17,2.3867595063965203e+17,2.063512011092302e+17,2.0463545570048403e+17,2.045554596017334e+17,2.01085488040422e+17,1.9926953501818768e+17,1.987719833793327e+17,1.9483603439897373e+17,1.9253774302184003e+17,1.919353037513433e+17,1.696093034699759e+17,1.6799298747386902e+17,1.634361243598473e+17,1.4668171322676144e+17,1.409048394952507e+17,1.409048394952507e+17,1.3674047301480774e+17,1.367404721435363e+17,1.1595643238041107e+17,1.1494157858061197e+17,1.0919033497883526e+17,4.824425980906739e+16,4.48549179805979e+16,3.798315687290893e+16,3.649196868094045e+16,3.5535081670268296e+16,3.5535081670268296e+16,3.536663984026684e+16
209;0;38035,80476,47944,48867,30031,1145,576,14997,7568,3407,374,577,15962,36226,124435,57673,172033,52879,37057,163539,13542,36842,21608,30625,30716,387077,39817,65262,964,7499,2643,60826,137319,197108,20518,646,72226,31181,60799,147235,30091,26604,166613,71204,1144,12563,81988,10296,28201,39102;7.207362273390472e+19,1.264664753563249e+18,9.491391566586e+17,8.679184520228127e+17,8.34539635933407e+17,8.169893338468868e+17,7.448167062983301e+17,7.350334449507167e+17,7.122586605547146e+17,6.602375490232042e+17,5.945247526663512e+17,5.726393984194304e+17,4.828277547355198e+17,4.461249587837491e+17,3.645343251778175e+17,3.3286695234560384e+17,3.1618040490444954e+17,3.153230447527317e+17,3.149739554507944e+17,2.6851530578449987e+17,2.3994456490706163e+17,2.387478363969843e+17,2.2931027898742656e+17,2.2506990665161923e+17,2.246983346269727e+17,2.222338398493791e+17,2.222059984526146e+17,2.197906193745713e+17,2.176036661714214e+17,2.1634270056742237e+17,2.108675392259059e+17,2.0595240241802733e+17,1.9145607032119386e+17,1.9002552105921066e+17,1.8859865657840106e+17,1.876649861253598e+17,1.7940725416408733e+17,1.6492184836833677e+17,1.6466650820373245e+17,1.4495004773458867e+17,1.4352746819291965e+17,1.3776988512300838e+17,1.3127058621807078e+17,1.2293706169197645e+17,1.1999268280023178e+17,1.1226579379897155e+17,1.041000275396038e+17,8.510301852200034e+16,8.042323090721237e+16,7.93902420688844e+16
209;0;10296,1145,39102,52879,42987,3106,1144,124435,379480,60826,21608,28201,3407,14997,20518,376989,10976,203746,48867,30031,1160,10007,59026,92722,17389,36518,80476,334,37057,172033,27842,16382,13046,36226,90319,256562,57673,15962,2870,204415,33070,32486,39817,31570,16925,10741,21454,74870,10147,57800;1.1367897736437704e+20,4.089034994154978e+18,2.360316031033353e+18,1.938211480348728e+18,1.381279644357351e+18,1.2149974372753782e+18,1.0865400537939519e+18,9.286690390219379e+17,8.923596023438778e+17,8.721821119205373e+17,6.109364383784512e+17,5.7624121870617894e+17,5.537504624620543e+17,5.4923767207237856e+17,4.808696364659721e+17,4.3434016588205037e+17,4.300907376106118e+17,3.930890226578681e+17,3.526394208801983e+17,3.520880433516671e+17,3.411175844878733e+17,3.347095685030885e+17,2.989581872243328e+17,2.872358690332622e+17,2.7537141309064534e+17,2.3986377727189398e+17,2.375800996567358e+17,2.351141562562585e+17,2.3134243783403242e+17,2.2624390548382717e+17,2.1459022975530387e+17,2.1298678707483427e+17,2.1298678707483427e+17,2.0451100771163805e+17,2.020934337827279e+17,1.987719833793327e+17,1.967715720990715e+17,1.8299680647545693e+17,1.8042625081832854e+17,1.7940724898123754e+17,1.7940724898123754e+17,1.7940724898123754e+17,1.7812940862826768e+17,1.7761854086981862e+17,1.7390298342938374e+17,1.732366113321521e+17,1.7217261983274486e+17,1.7088615545570922e+17,1.7088615545570922e+17,1.645965910007126e+17
214;0;10237,34738,20207,67816,9525,131109,5582,30594,203498,13895,5524,6471,6074,175614,46253,178612,69045,11103,34154,77770,34762,74191,79181,4106,63529,46954,72562,2202,4168,34337,1644,13721,4825,11676,62380,322484,102679,63463,86495,34567,83152,42161,6693,79615,36049,128735,130953,5351,34853,171148;4.381333132138876e+19,3.968906880771502e+17,3.442874376743208e+17,3.135013763835625e+17,3.0002725249722157e+17,2.78050777653538e+17,2.7053674148629446e+17,2.5206394479565056e+17,2.4840766234608224e+17,2.4114729204375712e+17,2.373746153213319e+17,2.311168137380216e+17,2.2988316647206595e+17,2.2476854781757715e+17,2.1924182909980707e+17,2.1892520901945814e+17,2.1516778366262723e+17,2.101192786526271e+17,2.0188038389174854e+17,1.9837821056815024e+17,1.8009736226130966e+17,1.8009736226130966e+17,1.7352719434206026e+17,1.732366163367399e+17,1.6140589287935514e+17,1.5753640428606733e+17,1.5753640428606733e+17,1.5404773950667056e+17,1.5404773950667056e+17,1.5251493888801462e+17,1.4388673576074291e+17,1.4174454134841872e+17,1.2889864951086523e+17,1.2065433289091784e+17,1.2065433289091784e+17,1.1072262305704915e+17,1.1072262305704915e+17,1.0437956001560741e+17,9.869439755761133e+16,8.20948129956894e+16,8.20948129956894e+16,5.045923685852682e+16,4.374841654826391e+16,4.222460378067829e+16,4.099487552772192e+16,4.008223687015783e+16,3.904021345499176e+16,3.746988081613918e+16,3.476243786068048e+16,3.428460418392824e+16
