SessionId;Position;Recommendations;Scores
199;0;85571,3171,376524,85714,376301,3170,54767,78786,381002,7393,5680,10517,10998,375761,75685,383375,7396,173031,10584,33070,58579,47765,32982,64109,85771,32979,42602,6113,389410,90376,65424,234568,126307,398205,36954,374790,155103,24758,140195,381811,293211,6917,174845,376000,378417,377508,375069,379157,377312,4841;13.807924,12.396036,12.284536,11.914926,11.513082,10.812136,10.702338,10.656639,10.579376,10.439314,10.410386,10.028822,9.98883,9.882592,9.868726,9.648472,9.627949,9.607206,9.562043,9.558208,9.533064,9.449799,9.437807,9.426693,9.38473,9.327831,9.162213,9.091074,9.081528,9.073139,9.066029,8.980099,8.97784,8.966725,8.955875,8.949326,8.942333,8.922758,8.914732,8.906843,8.882275,8.872393,8.862263,8.818204,8.79878,8.783813,8.776039,8.761867,8.751532,8.697372
200;0;16486,13200,72996,5658,173336,77929,57609,3585,89497,75681,25862,14012,56849,167961,6396,136088,34620,195966,68642,66294,12171,19514,13433,18941,40760,150816,68493,175992,131153,150334,160136,51311,128655,12075,158575,36672,68426,29068,79087,57590,150472,207664,66080,164309,127773,175463,79278,25700,73686,128163;14.193839,11.986508,11.840843,11.651768,11.305915,11.135103,11.114231,11.072032,11.061016,11.012254,10.781681,10.644429,10.533283,10.311273,10.271782,10.1272335,10.009,9.983578,9.964486,9.894598,9.834909,9.797672,9.712358,9.679096,9.594397,9.593788,9.573181,9.563311,9.532021,9.523716,9.513245,9.495359,9.494627,9.459723,9.423285,9.334838,9.306812,9.287444,9.27936,9.277964,9.272782,9.253786,9.237694,9.236503,9.229836,9.228213,9.225872,9.210287,9.195862,9.195776
203;0;6848,13931,14004,14889,14758,14649,36271,6508,14118,376301,90306,69098,58671,6501,47433,58172,58174,14800,36389,90479,36765,36083,80254,36706,14357,36094,6549,19831,14365,13748,36703,161039,126605,29657,58240,36456,6723,126673,36411,382578,7100,14082,69478,36613,36272,14086,14895,36647,58579,13851;20.074036,14.311611,13.138586,12.461093,11.859138,10.910135,10.852764,10.7073145,10.351285,10.213131,10.159836,10.090216,10.043879,9.986118,9.984931,9.954862,9.838133,9.7374,9.667762,9.654863,9.369141,9.340119,9.324001,9.152649,9.142058,9.046203,9.020004,9.006727,9.00133,9.000071,8.97447,8.965986,8.959898,8.721926,8.664093,8.650274,8.629515,8.605322,8.47706,8.475863,8.363451,8.346479,8.330298,8.326718,8.310919,8.12995,8.120102,8.081276,8.077358,8.069578
203;0;6848,14889,25834,20428,25833,69478,126673,375418,376512,80254,58671,14758,376301,378512,203481,380570,36611,58636,14896,58637,203499,14800,14650,131616,377629,176018,126605,381687,7419,14649,13931,58579,13748,377422,378119,36703,379860,164656,58591,14895,36765,375966,69457,380964,375654,382578,375864,204990,386891,382697;16.420204,14.374397,13.929529,13.592356,13.464318,12.400558,12.241877,11.52574,11.149033,11.105634,10.860334,10.624102,10.587752,10.394781,10.3311205,10.237195,10.029199,9.884374,9.840021,9.799667,9.778965,9.729876,9.717336,9.642252,9.597128,9.560119,9.493078,9.469011,9.368698,9.337408,9.32607,9.32299,9.045354,9.031286,9.025156,9.010466,8.957854,8.95714,8.947058,8.929235,8.926029,8.724637,8.714781,8.6840105,8.675238,8.597696,8.564529,8.549137,8.529703,8.518859
203;0;20428,25834,380570,203499,25833,14889,58671,376301,58579,375418,80254,14758,58581,69478,379860,378512,58637,203481,378119,6848,380964,176017,376512,381687,14896,176018,382697,377186,379144,386891,380567,7419,379838,47839,1178,384515,377629,131616,14800,3284,126673,380235,391364,382578,164656,80257,205007,379513,375966,14894;13.713633,13.230285,12.4798565,12.432023,12.308333,12.293447,12.200668,12.126478,11.911232,11.646612,11.34263,11.251928,11.029045,11.016924,10.900349,10.888962,10.8479,10.793263,10.7732525,10.660397,10.545834,10.46986,10.458243,10.456558,10.316488,10.314487,10.082623,9.942435,9.852676,9.763896,9.759227,9.725979,9.724477,9.639021,9.6227255,9.615462,9.54223,9.53011,9.517847,9.454703,9.433203,9.343662,9.338526,9.23513,9.223854,9.127596,9.116262,9.104545,9.057624,9.043576
205;0;375650,375426,376426,375870,379018,161100,380240,6771,377185,376212,376975,380231,376774,381813,391425,7132,377548,375868,379495,378436,14089,386537,390292,79304,6795,6582,68520,376402,379394,177346,135885,36461,390484,7321,7359,162544,36486,388024,57756,6693,209006,385147,126039,376526,14747,376301,130883,393639,379500,19054;16.32938,14.343164,13.505026,13.192837,12.989668,12.3417845,12.096229,12.031696,12.026581,12.009933,11.800551,11.759869,11.730072,11.571766,11.537104,11.343372,11.141645,11.091131,11.087562,10.980026,10.872945,10.771145,10.742887,10.624946,10.621458,10.536446,10.484316,10.4375,10.286505,10.241639,10.167187,10.144068,10.123436,10.114755,10.111702,10.0792465,10.071171,10.046879,10.042763,10.039045,10.006538,9.980013,9.945372,9.888742,9.873435,9.861813,9.8555,9.838083,9.801982,9.795678
205;0;375426,375650,391425,379495,393639,376212,376301,161100,388024,376426,19904,390484,14889,386899,6582,375206,375879,378436,377548,377297,379394,161044,20207,386993,374859,376286,377505,6771,376192,378017,204988,166353,376774,14030,178819,393606,379667,126340,385147,20105,381615,6795,389733,126657,20367,379490,14833,6576,161038,36461;15.137572,14.331485,13.7694235,13.694263,13.529058,13.360459,12.868224,12.628082,12.018063,11.966286,11.654923,11.453846,11.449643,11.416128,11.343837,11.323458,11.204367,11.141286,11.07253,11.0258,11.010683,10.963787,10.952675,10.925688,10.82126,10.7859335,10.774188,10.769984,10.700708,10.679022,10.671304,10.660622,10.653772,10.640932,10.561462,10.553323,10.478136,10.441597,10.374544,10.321287,10.301004,10.293375,10.288474,10.271673,10.262177,10.256777,10.237999,10.2188225,10.192052,10.170881
209;0;33511,38035,48867,172033,577,85762,3407,10296,1145,4053,42987,124435,27268,12563,15962,133502,52879,17389,21608,34081,335607,39102,32793,3199,203746,57673,33491,252798,26604,62726,33836,87141,31181,1144,6461,33752,33091,19296,83972,132766,4439,3750,41773,10976,5569,31226,60877,5223,66186,63787;13.0617285,12.966372,12.325804,11.962515,11.480575,11.182612,11.1536255,11.152714,11.086691,10.926252,10.892576,10.793976,10.759043,10.736646,10.664957,10.646648,10.639458,10.522848,10.162822,10.114815,10.113941,10.08172,10.080529,9.912236,9.908228,9.871357,9.838223,9.807783,9.797444,9.771968,9.66086,9.627076,9.5992985,9.530598,9.490126,9.478828,9.461148,9.451314,9.433393,9.431475,9.424067,9.420305,9.412131,9.397745,9.376848,9.304567,9.287488,9.243149,9.207113,9.19636
209;0;42987,10296,3106,3407,52879,131153,10976,379480,89876,19507,14468,27842,21608,5930,90319,376075,252798,36669,17389,79316,133502,47205,169447,39817,68846,19564,376989,6939,3348,127787,36518,29365,66814,28201,243248,383278,164666,57609,18325,57673,58524,25557,380326,102217,20072,135611,172033,2870,34990,12563;13.432514,13.171416,12.325513,12.13677,11.947995,11.841698,11.817069,11.721479,11.629083,11.317992,11.217705,11.115092,11.0666065,10.981863,10.73833,10.688751,10.522261,10.505247,10.503052,10.406283,10.30604,10.293289,10.1872,10.171547,10.119405,10.021864,10.010746,9.969921,9.965769,9.956864,9.954067,9.932972,9.920782,9.802507,9.778426,9.766621,9.762643,9.757601,9.744788,9.730225,9.664833,9.639474,9.63003,9.567662,9.567261,9.509311,9.4881735,9.475765,9.360591,9.355265
214;0;10237,79497,20207,34738,4825,68476,36045,12862,6074,36046,34853,47069,6131,34668,6471,36382,128749,79615,14261,6439,6249,28885,18833,47112,6693,66697,135885,13674,5598,128693,13238,13181,36359,171148,35815,5232,380572,86495,35603,131109,13187,46253,5626,6100,47110,4320,2969,29545,35508,36186;11.747379,11.502225,11.325023,11.147388,11.098793,10.577154,10.519215,10.4437275,10.346674,10.209462,9.955787,9.882035,9.866484,9.853004,9.774516,9.759293,9.756749,9.748356,9.71509,9.640077,9.628462,9.562109,9.540569,9.521688,9.509865,9.504246,9.441993,9.419359,9.392192,9.391342,9.386599,9.377305,9.313419,9.301054,9.29534,9.244431,9.201592,9.189315,9.180581,9.159497,9.158848,9.156859,9.12322,9.1228895,9.10127,9.092846,9.091738,9.071875,9.071491,9.030104
214;0;6439,20207,6131,36046,10237,4825,36045,19099,7010,29523,5582,35655,130979,6566,13711,12767,6249,89829,29545,13433,12862,13187,79218,58115,68476,66537,47170,164310,24977,25276,135885,13674,6693,68985,68979,36074,25074,35473,18833,58126,68648,25052,35603,67816,90101,35956,29216,29521,102788,34858;12.267197,12.172508,12.124729,12.095636,11.783186,11.566886,11.212555,11.116193,10.996746,10.990448,10.926483,10.6878805,10.665748,10.639296,10.569926,10.559774,10.401929,10.375796,10.286688,10.280573,10.273696,10.249163,10.214081,10.192869,10.142242,10.101663,10.079962,10.076707,10.054531,10.046381,10.040848,10.030778,9.989423,9.958587,9.950387,9.93895,9.931281,9.892195,9.884142,9.881389,9.875679,9.861736,9.841206,9.834749,9.804434,9.798597,9.78981,9.748924,9.735953,9.721334
