SessionId;Position;Recommendations;Scores
199;0;85571,376524,53224,63798,30700,381002,42271,3171,234568,381811,59954,49067,42602,5680,383375,1159,53223,374790,78786,8619,81522,293211,71702,10517,74232,64109,85714,8138,3170,10584,33070,59956,64107,32982,10998,32979,71734,234952,376088,107170,162006,195357,173031,55025,384774,5679,76133,255623,155103,26335;1.0,0.29851942817339294,0.28736549884165247,0.2825582907952853,0.2293270154111305,0.2040988327687364,0.1900912888186199,0.18569419242197632,0.17933043321497172,0.14735891834229947,0.14225594569254774,0.13832188153668376,0.12882278613311565,0.1251940560256268,0.12235832589014407,0.11514899952698963,0.10297508445159001,0.09074218794977917,0.08684078225825774,0.08041127461841574,0.07816712728315064,0.07767376727645403,0.06682012801394789,0.06559822883532294,0.06528320801788355,0.06441139306655781,0.06303906214280895,0.060713030536038486,0.059419163148450596,0.059349661492457136,0.05533705544793625,0.04674109035611743,0.04567960576056284,0.04537109397488959,0.04285038339413029,0.04276146961346436,0.03916791751310431,0.027892056307157707,0.027892056307157707,0.02734149630717266,0.02734149630717266,0.02734149630717266,0.02734149630717266,0.02689165603298786,0.02651132150042552,0.026181860742593262,0.02589125575881801,0.02563130074260821,0.02539614282617909,0.02539614282617909
200;0;16486,9924,711,254497,72996,246593,72482,712,21859,57609,72740,164309,5658,75588,90515,40531,2441,102454,395578,387538,164002,75681,170425,167961,21102,127773,1431,154356,3583,13200,3585,1866,1445,31203,16712,42357,10433,39320,25863,7182,3479,10917,25862,1371,8554,10559,164504,13061,33043,12352;1.0,0.3396274658050593,0.2872887737241632,0.2685158797963628,0.2335987129875672,0.22750296735975248,0.21881003428798568,0.18891118965894982,0.13747899293042334,0.1363168355687253,0.1123854080979961,0.10066021542751537,0.09343948519502689,0.08950529326545427,0.08831629556327349,0.08726752526290595,0.08271900314436041,0.053416087679818154,0.050330107713757684,0.050330107713757684,0.04933664406242327,0.04933664406242327,0.048524925155635557,0.048524925155635557,0.048524925155635557,0.047244127747697214,0.04671974259751344,0.04671974259751344,0.04582633097680778,0.045082584810080754,0.04363376263145297,0.043164684130302326,0.04294746407460501,0.04274035101074731,0.042352965223514616,0.042352965223514616,0.042171220478967916,0.03842445565335196,0.03746180269933203,0.03728005795478532,0.036992724198181386,0.03641914376298975,0.03608920558563612,0.0360440059284426,0.03541590595187159,0.03533847568729149,0.0,0.0,0.0,0.0
203;0;36271,13043,36094,13620,13748,13042,47189,36083,90306,35598,190019,13329,9103,32834,90479,6848,46907,130894,58671,25518,375418,6201,207838,90184,36196,14118,6367,6501,89973,19831,57991,34614,13805,126673,34692,5888,6892,44059,14086,167771,5873,151356,5923,36197,68817,6369,13395,6259,35805,47199;1.0,0.21583202480915892,0.2030881045815906,0.14511457189645366,0.13680422564289874,0.13544640981238415,0.11902426529152543,0.11696854358276872,0.10063434748605364,0.08871111202164743,0.08599540922221237,0.0839667475150886,0.08207616582509404,0.06816072065369305,0.06596185375232437,0.06579634379632505,0.06269021572174081,0.05844796063443528,0.05560278398160248,0.05524331984157905,0.05524331984157905,0.054587296479479984,0.0542861549774002,0.052757607328769676,0.05212639363366453,0.04912431192809657,0.048167147063917726,0.04797506730433205,0.04752199153166846,0.04726684336303812,0.04406740066764821,0.043242350896493684,0.04117561486390378,0.04103808291254702,0.04023018817273313,0.031482324075744826,0.030860895947542478,0.030353152196481232,0.030353152196481232,0.030353152196481232,0.029923860971787564,0.029551991998267173,0.029551991998267173,0.029551991998267173,0.02922398031721764,0.02922398031721764,0.02922398031721764,0.02922398031721764,0.02893056387006483,0.02893056387006483
203;0;25833,126673,9103,46907,54344,25834,65239,90306,6508,57952,1802,6848,13620,58636,57976,13892,380570,19831,4441,13329,68955,13042,36271,6501,79717,5724,90311,6723,36094,58637,34692,13557,29644,36031,383265,377530,227658,131239,68691,203481,25897,29410,128887,383023,47199,143184,190019,126428,205007,168073;1.0,0.21935934240105595,0.14623956160070395,0.13496909525922982,0.12376532775176777,0.10246732182354293,0.09912216358525446,0.07620491469009874,0.06821222429653742,0.0622253101988635,0.06113414651293504,0.058616459327598874,0.05540539561030937,0.05372889433158859,0.05185785635289036,0.04987759055271183,0.04741428420572335,0.04737256961228431,0.046805934813300046,0.04675253551915312,0.046313306991080584,0.04524979189808917,0.04454385756528374,0.04273989129378136,0.042656494829165816,0.041549262587977566,0.040481885764602626,0.039515351383501936,0.03700770383326017,0.03691088324553494,0.03584015543581574,0.03510225570839903,0.031921393830520964,0.03033335194059141,0.028046883189081613,0.028046883189081613,0.02749326706848749,0.02749326706848749,0.02665848401861317,0.02632719444682436,0.02632719444682436,0.026034976334815964,0.026034976334815964,0.025773578326230236,0.025773578326230236,0.025773578326230236,0.025537115064416773,0.025321241019691534,0.025122656148907276,0.025122656148907276
203;0;25833,126673,54344,46907,9103,90306,65239,13620,36031,25834,6848,13557,68955,1802,34692,58636,36094,176018,57976,380570,4441,6508,57981,90448,13042,35598,13329,5724,57952,57991,213925,32834,36271,6723,34614,13805,4185,13043,6308,29644,377530,383265,131239,17777,68691,25897,89820,203481,614,17772;1.0,0.22057261310017684,0.1422284234214373,0.11439629602762001,0.11028630655008839,0.11018175458185803,0.09967040564048264,0.09285306897081715,0.09150337471459377,0.08242725268814205,0.0736758317599383,0.07059281070560779,0.06439234619998815,0.06147227785426765,0.054057579576034034,0.05402606741970578,0.05145417229127816,0.04975740510802596,0.04892587332408879,0.0476765313528789,0.04706481719611697,0.04572633619878504,0.04544114901531864,0.04544114901531864,0.04269142116638796,0.0419413491730864,0.041787664490570496,0.0417790704562739,0.04171298449171602,0.041668877695978435,0.041213626344071025,0.04070579000002632,0.03981353640790848,0.039733909742923956,0.038736695515074866,0.036885303933796146,0.03618797326934884,0.03515332981799477,0.03277314865391199,0.02853151129984617,0.028202009755392905,0.028202009755392905,0.027645331598733548,0.027645331598733548,0.026805931385972755,0.02647280946035768,0.02647280946035768,0.02647280946035768,0.02647280946035768,0.026178975097729772
205;0;379018,375426,375650,380240,192137,376774,376426,117439,385589,3688,391425,377573,376543,55241,23661,4144,76253,379142,165975,86362,350419,381552,76852,270134,157247,377295,230752,76506,390292,182899,379034,23744,32173,376212,35538,380253,67816,247871,10035,207888,160208,34715,17684,129081,378409,375870,33904,86374,378436,133140;1.0,0.4652063442004817,0.4353812300487989,0.4093701995476933,0.09560552195951978,0.07290609386515197,0.07099924943468419,0.055738114562903375,0.04890297302633618,0.04711366298993035,0.04650917072067237,0.04632309156559969,0.042224368840470324,0.042224368840470324,0.041625997630222344,0.04135200979007686,0.029577842665593487,0.027869057281451688,0.027318951258163544,0.026869481909948336,0.026869481909948336,0.02648946099082471,0.02616027189730989,0.025869906538444988,0.025869906538444988,0.025375201862369866,0.025375201862369866,0.025375201862369866,0.025375201862369866,0.024963370744477985,0.02478067560668291,0.0246105905025184,0.0246105905025184,0.02445148651316809,0.024302031288383992,0.024302031288383992,0.02416112115430319,0.02416112115430319,0.02378110023517956,0.023556831494965173,0.023556831494965173,0.02335127446659181,0.02335127446659181,0.023254585360336186,0.02307189022254111,0.022985381128822657,0.022820969804376964,0.02274270112902629,0.02274270112902629,0.02274270112902629
205;0;375650,379018,375426,380240,391425,23661,376426,55241,377548,117439,76852,182899,385589,67816,192137,79304,377297,376543,13189,381552,157247,230752,76506,23744,32173,376774,35538,707327,3688,207888,17684,377573,33904,86374,3736,19872,127474,379394,106327,377175,176015,169004,386899,375781,375247,385147,375901,298422,380239,17963;1.0,0.5327148845973445,0.3661950620478568,0.32367306741009927,0.08998239037741708,0.0805348001388307,0.07002866699429569,0.06727616250601288,0.06623634911689959,0.05709062428164736,0.05359012466449891,0.05113823569931043,0.05008962504735045,0.04949480264485769,0.04896271587444791,0.04581552324860293,0.04559007507234139,0.04324896161100828,0.038666163354517454,0.03014693260337878,0.029441834590003414,0.028878824699640645,0.028878824699640645,0.02800864137876431,0.02800864137876431,0.027657478558354955,0.027657478558354955,0.026929388399464807,0.026809387011455216,0.026809387011455216,0.026575448167525207,0.026359523130576157,0.025971922904531514,0.025882847461223338,0.025400697369062315,0.0253278194846341,0.02487276227055325,0.02487276227055325,0.024804326315127575,0.024414801121049243,0.024119197359710475,0.02411754608270302,0.02411754608270302,0.02381783318422174,0.02381783318422174,0.02381783318422174,0.02355346767200273,0.023103059759712514,0.022771461743697263,0.022561768475081487
209;0;38035,10296,3407,80476,14997,20072,3106,124435,36226,30031,172033,57673,42987,37057,47944,577,1145,576,52879,89876,48867,1144,28201,376989,374,155556,20518,147589,68846,5930,14468,7568,376075,7,39102,35622,20407,71204,95222,252798,30716,30625,47855,127787,79316,379921,17389,131153,19507,39817;1.0,0.19015464431367426,0.1835815185438193,0.14640469146124507,0.14611901844473993,0.1405397114228877,0.13228790657229647,0.12677986829186713,0.12142249299725519,0.12017039937980463,0.11238800556534174,0.11126651795219049,0.11091458555988273,0.10520835731575738,0.10358717705956609,0.09763128322312217,0.09757653436014715,0.09519035315436655,0.09125221087983622,0.08845805446910843,0.08819193771486432,0.08399477598558508,0.08365982369214003,0.08333603857891572,0.08257086717626275,0.08234920229151403,0.08132926587846495,0.0696071726623165,0.06899978012869008,0.06817423840339804,0.06654875133592963,0.06504922401394363,0.06366485320452535,0.06286939200557788,0.0626224364763171,0.054899468194342695,0.054899468194342695,0.05381581014936377,0.05381581014936377,0.05293039705707751,0.05293039705707751,0.05293039705707751,0.05153331885171363,0.050961325919812346,0.04998680341065469,0.048815641611561086,0.04816716950908456,0.04787275652350526,0.04787275652350526,0.04733260847268678
209;0;10296,1145,38035,1144,3407,20518,39102,14997,7,124435,37057,30031,42987,52879,60826,3106,80476,36226,68846,47944,17389,374,84629,21608,131153,10976,379480,11803,203746,60799,28201,155556,71204,30716,252798,17169,79316,2870,379921,577,36935,39817,20072,116909,127644,90319,46547,32564,10815,53732;1.0,0.31615448644738114,0.2741594958669757,0.24598053992372157,0.2287755298839423,0.17229647229636805,0.1508750099439258,0.1404698368443447,0.13580068523046204,0.13165873021583274,0.13110850092127577,0.12978670589615285,0.1271619268749119,0.12508830065781415,0.11059333338129951,0.09891268847770461,0.09382964354082478,0.09078853491010594,0.08598611334097193,0.08261646033726186,0.07803242264970323,0.07202868692200105,0.06796587211560219,0.060251611138224276,0.05369224415828181,0.05159166800458317,0.04903171347214648,0.04866644252599468,0.04691482177041239,0.045140687340350774,0.04170206379592212,0.03420729664437738,0.03353208040959644,0.03298038857547094,0.03298038857547094,0.03251393977599244,0.031146265506969775,0.03041652657874668,0.03041652657874668,0.03041652657874668,0.02965606730931875,0.029492463811228952,0.02918961850984024,0.02918961850984024,0.02904885230972401,0.028914344493676074,0.028785562180979416,0.028319113381500914,0.028062241418173366,0.028062241418173366
214;0;10237,79615,5524,20207,35992,34738,9525,30594,6693,36382,57589,6498,14085,376414,69045,6471,7132,36049,68476,6074,36359,34762,35603,175922,391803,322484,89979,102679,39348,110373,36722,59967,35782,35976,175614,23883,79181,208036,153871,42161,13552,171148,34567,62380,74191,128735,34337,6625,203498,77770;1.0,0.10153423077956987,0.09277426365042479,0.08528341839337562,0.08487214125605672,0.08027599295861093,0.07958674556350508,0.07571219326705078,0.07113919870817721,0.06994804615168419,0.055160040186429136,0.05236362783269478,0.05223408614741759,0.05028767155940491,0.05019629128838328,0.04771653157182681,0.04771653157182681,0.047369730994662,0.047149372267320244,0.04709554623644939,0.042748204879829166,0.037399875863556024,0.03265693522976181,0.03265693522976181,0.03265693522976181,0.03265693522976181,0.03211964185953988,0.03211964185953988,0.031665366787832425,0.031665366787832425,0.03127185582162924,0.03127185582162924,0.03127185582162924,0.030924754550141598,0.030614261882452882,0.030614261882452882,0.030333387099327834,0.030333387099327834,0.030333387099327834,0.03007696851223095,0.02984108627798585,0.02984108627798585,0.029622693440523495,0.029622693440523495,0.029622693440523495,0.0294193745730546,0.0294193745730546,0.0294193745730546,0.0294193745730546,0.0294193745730546
