SessionId;Position;Recommendations;Scores
199;0;85571,53224,376524,3171,42271,59954,42602,63798,85714,3170,234568,5680,32982,10517,64107,10584,32979,4571,33070,16046,162006,64109,81522,76133,8138,26945,53223,132215,85771,381002,78786,4954,381811,13001,54767,913,376088,376000,67199,55025,255623,74232,71734,155103,139540,375761,71702,173031,22587,30700;5.836906260729761e+136,1.4459796727571783e+135,1.378661101368968e+135,8.47757177579141e+134,5.410659846787603e+134,5.170230602562543e+134,5.095279440233844e+134,4.751696677520285e+134,4.262661632612164e+134,3.416711429804347e+134,3.2941650623533203e+134,3.265420808174019e+134,3.1102149480991385e+134,2.9609672245825284e+134,2.7466533453239455e+134,2.1744662330937306e+134,2.1513977386876396e+134,2.096051059382228e+134,1.81907495339471e+134,1.6733845716114452e+134,1.6570842686825988e+134,1.6233292680316048e+134,1.3064382480565573e+134,1.285927713426865e+134,1.22596095352671e+134,1.103049754854638e+134,1.0939914219353943e+134,1.0421727202930112e+134,1.019678428069203e+134,8.001753377058655e+133,7.023392049077807e+133,6.156036652607183e+133,5.955097875488712e+133,4.564960405808324e+133,4.3721261663162695e+133,4.066890240708278e+133,2.979043236797035e+133,2.801871328890545e+133,2.2958188340780607e+133,2.2394066536841533e+133,2.1320162473858824e+133,2.1105970283347818e+133,2.0291610127276484e+133,2.0124313006522507e+133,1.9985835930593494e+133,1.9483940769179896e+133,1.930051463227042e+133,1.8701124612422711e+133,1.80789476810497e+133,1.7914962792543197e+133
200;0;16486,72996,254497,72482,712,246593,164002,25862,711,40531,1431,1866,57609,170425,25863,10559,21859,5658,9924,16712,164309,2441,1445,102454,75681,39320,8554,3479,3583,72740,13200,42357,31203,387538,1371,7182,3585,90515,75588,154356,127773,10917,395578,21102,10433,167961,35760,79219,30673,28915;2.7256180871069155e+136,6.7954812542697425e+134,6.6820997584651684e+134,5.4441442242283854e+134,3.5278067387059535e+134,2.9579541697250204e+134,2.519621694051863e+134,2.4027858937478287e+134,1.9351432919154157e+134,1.6684793089804897e+134,1.6243561081940644e+134,1.5525584587897634e+134,1.5452917866142435e+134,1.3058294894190908e+134,1.2930023999266615e+134,9.2397868499849e+133,8.573505163947096e+133,8.51023630671782e+133,7.391352994341565e+133,5.029977407744119e+133,2.360318605218879e+133,2.1499258675520062e+133,2.1236912352501655e+133,1.9816291413711706e+133,1.972743036324975e+133,1.705188746034088e+133,1.6772008476804467e+133,1.3322853148802334e+133,7.501920318968145e+132,6.128334937498195e+132,5.748405154466269e+132,2.7755817943298817e+132,2.617482866659984e+132,2.517114968122547e+132,2.435641645722277e+132,1.846662240665705e+132,9.80683771213922e+131,9.102229922119546e+131,5.292863130446698e+131,3.9449585107209606e+131,5.487016599562076e+130,3.4077534990368276e+130,2.1476531176952643e+130,1.6119695636334777e+130,1.9180360875237466e+129,1.0663404500694762e+129,0.0,0.0,0.0,0.0
203;0;36271,90306,36094,13748,57991,13043,13620,35598,36083,57659,47189,6308,90479,57976,69515,6369,90184,19831,6848,6501,57952,6508,13042,36647,57981,14061,13329,29644,36155,36313,47311,90193,14082,68955,25518,6367,151356,47199,14118,36706,57994,69098,206302,90745,68573,53935,6460,58174,13557,7100;9.864418277145101e+136,1.1439752547244269e+135,1.0781770959738984e+135,9.380169061974586e+134,7.574431305382335e+134,6.740948380382207e+134,4.4429171833152815e+134,3.879467241815512e+134,3.835148847671116e+134,3.3496269811060046e+134,3.1417989670987014e+134,3.0848412138189748e+134,2.9630913569026686e+134,2.7703259906575803e+134,2.766963235127481e+134,2.70327499314516e+134,2.4509588932426913e+134,2.409500456307201e+134,2.3094298957160428e+134,2.2693592185375386e+134,2.229538967350249e+134,2.1213193905421514e+134,2.089287430433065e+134,2.0428220338858403e+134,2.042423573803872e+134,2.0124100757968494e+134,2.0018069058519117e+134,1.9907787215400103e+134,1.974077992710204e+134,1.972127023532025e+134,1.9559609661617538e+134,1.90903058429575e+134,1.8347058454372284e+134,1.8231036109122564e+134,1.779085815882025e+134,1.7738157129368568e+134,1.7399869999206816e+134,1.7382659759878486e+134,1.6919406056826089e+134,1.6756776797888835e+134,1.668340804203599e+134,1.6361848180479679e+134,1.628652254651951e+134,1.5879286564995728e+134,1.5718024106304374e+134,1.554502595680452e+134,1.4592712640071614e+134,1.4451161947584826e+134,1.42552070652267e+134,1.344018926672882e+134
203;0;25833,126673,25834,58636,6848,58637,57981,90306,380570,14894,13241,13847,54344,9103,13043,176018,7606,13970,79717,404451,46907,72561,6135,35980,14721,6627,90448,79341,25897,25911,6723,69478,129060,7122,68955,377629,6307,80254,204990,131616,57952,375418,5724,6078,14889,19831,14896,13558,128681,36031;6.937976884466463e+136,1.5634786104989212e+135,1.2219231694260195e+135,4.0007924417049326e+134,3.919145394770412e+134,3.575994440882991e+134,3.4815329731283885e+134,3.2908103968801646e+134,2.0840735223342656e+134,1.942796899162795e+134,1.890805162264083e+134,1.8512653113536546e+134,1.840066017684306e+134,1.8144679414239261e+134,1.5638431824502787e+134,1.5540330793629335e+134,1.543482417252756e+134,1.5010110380953516e+134,1.3779160205826724e+134,1.287250105754435e+134,1.252567838671234e+134,1.2509675147197328e+134,1.2385720497790582e+134,1.2211952184475251e+134,1.1954146617435105e+134,1.1815440806632252e+134,1.1711976227092866e+134,1.1608002883929912e+134,1.1234394972565783e+134,1.110305061993388e+134,1.0662952410570183e+134,1.0502324727394846e+134,1.0350892415944962e+134,1.0347477076159912e+134,1.0164949710295262e+134,1.0128844309086788e+134,9.464799301864836e+133,8.792490718920837e+133,8.766290915574461e+133,8.637067868440779e+133,8.619633651378131e+133,8.589444454519679e+133,8.442553770558323e+133,8.408704526899679e+133,8.16953544909269e+133,8.135617974742005e+133,7.869042790739985e+133,7.807531737382084e+133,7.523354162477456e+133,7.082208893065509e+133
203;0;25833,126673,25834,58636,6848,58637,57981,90306,380570,14894,13241,13847,54344,9103,13043,176018,7606,13970,79717,404451,46907,72561,6135,35980,14721,6627,90448,79341,25897,25911,6723,69478,129060,7122,68955,377629,6307,80254,204990,131616,57952,375418,5724,6078,14889,19831,14896,13558,128681,36031;6.937972256355902e+136,1.563476676529919e+135,1.2219219953882147e+135,4.000790233160882e+134,3.919097545691348e+134,3.575977122665406e+134,3.4814906561770796e+134,3.2905779889340592e+134,2.0840735255133715e+134,1.942796902126393e+134,1.89080433948712e+134,1.851246798020765e+134,1.840051918805751e+134,1.8144562267095132e+134,1.56370350167308e+134,1.5540149528472235e+134,1.5434824196072278e+134,1.5010110403850368e+134,1.3779078026917916e+134,1.287250107718043e+134,1.2525557231622556e+134,1.2509675166279947e+134,1.2385720513844778e+134,1.2211832018204216e+134,1.1954146606622475e+134,1.1815440824655868e+134,1.1711949635249227e+134,1.1607976363750757e+134,1.123439498970305e+134,1.1103050630736551e+134,1.0662948720984901e+134,1.0502198755352915e+134,1.035089243173451e+134,1.0347476917740627e+134,1.016435835785138e+134,1.0128686559978658e+134,9.464607097054458e+133,8.792490732333154e+133,8.766290928946812e+133,8.637067877815021e+133,8.619171668622309e+133,8.589262961192386e+133,8.442546834501163e+133,8.408704539726557e+133,8.169535460622698e+133,8.134692684865707e+133,7.869042802743647e+133,7.807531749291915e+133,7.523354173953797e+133,7.082167971493742e+133
205;0;379018,375650,380240,375426,192137,376774,76852,117439,377573,129081,391425,390292,23661,375870,19823,13189,190002,157247,247871,375868,133918,176015,55241,376212,377548,377297,14187,126039,381552,378409,160208,165975,377295,11869,376402,380239,379023,3688,76253,376543,133140,23744,86362,4144,379034,106327,3736,377175,66358,207888;4.479193779770277e+136,2.092508396345938e+135,1.756403668322663e+135,1.1271273416956741e+135,3.84308211850268e+134,2.7760049094281337e+134,1.643124534645816e+134,1.402926757045692e+134,1.2547368178423261e+134,1.2166881414630822e+134,1.0892270495536186e+134,1.013507099120332e+134,9.185555008859259e+133,9.151901179667554e+133,9.092252790245655e+133,8.729719899752112e+133,8.520821040425722e+133,8.443549880060444e+133,7.409177190834736e+133,6.395918669571581e+133,6.106375436331219e+133,5.557053809023983e+133,3.5256121999370454e+133,2.482732143829442e+133,1.9237539807725714e+133,1.6519274033052281e+133,1.4121013880438697e+133,1.384829858948467e+133,1.3267354871027683e+133,1.2632855335614574e+133,1.2191720063334134e+133,1.156122380309827e+133,1.1163819681173274e+133,9.268632238287935e+132,8.970610782490177e+132,8.245894301817652e+132,6.954221287758573e+132,4.1530717905190353e+132,2.946357892176741e+132,2.1539282092800574e+132,1.9415322500628544e+132,1.9206948418565738e+132,1.9197471173617584e+132,1.7763116170419802e+132,1.4979873298065303e+132,1.491688745484815e+132,1.3708086845991077e+132,1.2187795489141966e+132,1.200654038689875e+132,1.172062491411936e+132
205;0;375650,375426,379018,380240,23661,375870,379394,13189,298422,165975,376426,391425,377297,165905,393639,375781,55241,390823,383029,379495,126039,79304,376543,377548,375247,375425,376774,376212,3688,35063,162407,377669,375868,199993,178919,173253,381813,14001,12726,375755,381615,379023,130953,76852,18743,89608,17908,67816,77397,169004;8.274073496021175e+136,2.659773237968221e+135,2.2564509104896977e+135,1.3635762807234968e+135,6.7609708034045e+134,4.125706699379587e+134,3.258890421437051e+134,3.1792515494467823e+134,3.0205677960543273e+134,2.636274944734417e+134,2.600483494342661e+134,2.156868903603455e+134,2.148190121720994e+134,2.066236971068057e+134,2.0333912135140934e+134,1.9712532363507937e+134,1.9394301700126668e+134,1.890189926491206e+134,1.8189734857128567e+134,1.7315526940808103e+134,1.6898288646101773e+134,1.6686983946604869e+134,1.6024040381897898e+134,1.5620288503244761e+134,1.5282511562706299e+134,1.5024552448668202e+134,1.4426605987899504e+134,1.40105719245579e+134,1.3828960521896341e+134,1.3699281117374453e+134,1.2516146446716462e+134,1.2243926519663764e+134,1.1914447161751032e+134,1.1671940394340321e+134,1.1355393622466767e+134,1.1282357259262907e+134,9.076733468896517e+133,7.35689654603732e+133,7.079846317332062e+133,6.868147707246303e+133,5.901489998129073e+133,5.057872687353911e+133,4.759747352900301e+133,3.1856268554222195e+133,2.787593179788021e+133,2.5018833116897186e+133,2.4661394641132874e+133,2.36831916169932e+133,2.0467149029729642e+133,1.9770431256491092e+133
209;0;38035,47944,80476,7568,577,48867,374,15962,30031,576,387077,52879,1145,3407,14997,137319,172033,197108,37057,2643,60799,7499,646,31181,124435,26604,163539,72226,60826,36226,21608,57673,65262,964,30716,39817,30625,30091,28201,166613,71204,81988,1144,13542,20518,196518,36842,10296,89876,147235;3.6482804558921947e+136,5.340419100756752e+134,5.009477452003351e+134,4.057583828865878e+134,3.984621795906732e+134,3.851387978062745e+134,3.0440684247120114e+134,2.8002054414612925e+134,2.448647253146384e+134,2.4225873323625225e+134,2.3520767134523026e+134,2.2390338554178187e+134,2.0486001899207845e+134,1.958258250981159e+134,1.687781494174455e+134,1.6434626988372185e+134,1.4293097193751236e+134,1.404819237857274e+134,1.3827418360325804e+134,1.2850010620872798e+134,1.260575862066093e+134,1.2316484964037052e+134,1.164673871105613e+134,1.132557948958906e+134,1.1007612449924588e+134,1.067436405051447e+134,1.0373711864215993e+134,9.475093035102805e+133,9.21434483898075e+133,9.057171840547633e+133,8.707909899322203e+133,8.239412969180629e+133,7.925116075583314e+133,7.670831226452253e+133,6.28985087201289e+133,6.115130986716883e+133,5.292558565027262e+133,5.242682896425114e+133,4.541192021452147e+133,4.4039037194210263e+133,4.241354073708564e+133,4.1075199569964233e+133,4.091272126286808e+133,4.033416813314732e+133,3.3872954921877685e+133,3.1685412105749014e+133,3.0645198735914794e+133,2.9926213316132404e+133,2.5293991182268376e+133,2.379791280023874e+133
209;0;10296,1145,39102,52879,42987,379480,1144,124435,3106,60826,376989,20518,48867,14997,28201,203746,30031,3407,59026,21608,17389,256562,10007,92722,27842,10976,16382,196110,13046,1160,334,74870,21454,36518,15800,16925,167765,90319,374,204415,576,57800,10147,172033,2870,147235,2692,63798,32486,80476;6.899574930563411e+136,1.6949167312046874e+135,1.2691847261570547e+135,1.1152836290103113e+135,8.000760966210114e+134,6.491664595717128e+134,5.528531059165445e+134,5.449071246685696e+134,5.1982595024730924e+134,4.884454459854377e+134,3.048956204189302e+134,2.9309994464175926e+134,2.833375416023289e+134,2.800171594937855e+134,2.615210286179901e+134,2.5046087359255633e+134,2.339026085813543e+134,2.3215682515667314e+134,2.194699254323584e+134,2.104972904366582e+134,1.960442076385465e+134,1.8058926973283413e+134,1.7726501764985302e+134,1.5846946614937714e+134,1.5568067111156287e+134,1.5024153941975902e+134,1.40540014896772e+134,1.3923768018437287e+134,1.3183186089828618e+134,1.2289244303272818e+134,1.220734859686233e+134,1.2161826711203106e+134,1.1385795360357008e+134,1.131901903588459e+134,1.106556944794938e+134,1.091492062213462e+134,1.0730501335045102e+134,9.913234706957875e+133,9.232128305012822e+133,8.986152299807036e+133,8.895133563773212e+133,8.855182727830507e+133,8.727549918643131e+133,8.472910982733771e+133,8.340032341752321e+133,8.099647998253389e+133,7.820227981074982e+133,7.518779040433614e+133,7.090424899884675e+133,7.026313262655453e+133
214;0;10237,67816,20207,34762,203498,178612,74191,46954,34738,131109,63529,175614,72562,5524,6074,6471,46253,5582,4106,62380,69045,11676,1644,11103,9525,322484,102679,30594,13895,13721,77770,79181,34154,34337,2202,35782,130953,4168,4825,63463,42161,608,6135,86495,34567,22587,128735,79615,83152,36049;2.1150267001418188e+136,2.8199685656051378e+134,2.284988117489567e+134,2.0475988603267724e+134,1.8866824611690756e+134,1.6137802166272495e+134,1.6114984745663228e+134,1.4709970405505382e+134,1.2256911098995423e+134,1.0993410965364025e+134,1.0395761894139485e+134,9.498685091019163e+133,9.35634452616052e+133,8.818048339303131e+133,8.528309350022579e+133,8.100992085270983e+133,6.630359065888573e+133,6.512862872188335e+133,5.908909942596708e+133,5.85672607856189e+133,5.490700651055025e+133,5.068668067339895e+133,4.847469180069885e+133,4.845673789067025e+133,4.721482315567387e+133,4.554530440799959e+133,4.477511252989958e+133,4.1467826852575847e+133,3.915926705337582e+133,3.7729848861160516e+133,3.6759037012764075e+133,3.533235084007495e+133,3.007244117897938e+133,2.6961929004861505e+133,2.672695636450533e+133,2.342974740239297e+133,2.262075698328792e+133,2.1315069268673476e+133,2.0363980915241317e+133,1.9471102014773172e+133,1.9184572054923682e+133,1.7231269884375496e+133,1.61083512240446e+133,1.5096479315953375e+133,1.394460329354e+133,1.274253407241228e+133,1.2535823803884903e+133,1.2412168864882502e+133,1.2340020861885108e+133,1.179742316967725e+133
