SessionId;Position;Recommendations;Scores
1;0;285930,453814,8692,124804,339087,163474,159038,399674,203022,398165,404056,399052,314688,169503,259669,37945,199452,22192,374673,116587,341773,365536,436143,301345,138672,184748,437703,29828,147216,2319,344010,247660,461708,346152,394411,117044,438248,25828,14579,418931,263769,158905,356421,339944,39717,400564,228279,459840,82734,107358;43.72277,35.591675,33.875286,32.738712,32.53812,31.917416,31.558403,31.092941,30.763842,30.436766,30.327604,29.952894,29.89504,29.818777,29.579891,29.336376,29.039707,28.942308,28.807634,28.520288,28.477657,28.404238,28.324158,28.067764,28.028965,28.024166,28.022177,28.011961,27.93471,27.313793,27.295029,27.287487,27.268866,27.2589,27.174517,27.145731,27.007381,26.907894,26.89839,26.872093,26.831493,26.78476,26.701887,26.698252,26.666355,26.544117,26.51648,26.49814,26.482542,26.41561
1;0;357564,120337,285930,137612,67045,50467,423459,182827,417230,133398,303061,191805,130169,390036,314688,48240,234127,251868,396097,196230,453814,324803,166332,165922,163474,138875,437027,93153,67198,147077,76299,186112,391801,399674,93961,209892,301552,215457,4382,327816,339087,151737,413442,3927,123675,259669,248337,72428,183262,137174;58.056015,49.47462,49.096817,45.432137,44.659084,44.45131,44.375244,44.10049,44.069088,43.867836,43.61779,43.606995,43.577904,43.355366,43.32364,43.190662,43.085938,42.865303,42.365055,42.24646,42.24145,42.129448,42.068077,41.98818,41.82874,41.82611,41.73989,41.7126,41.686207,41.625565,41.468296,41.40963,41.32997,41.323105,41.302677,41.30125,41.273285,41.188198,41.079308,41.03105,41.012623,41.000473,40.946033,40.910748,40.904922,40.879673,40.848522,40.811916,40.794827,40.79266
67;0;283115,38965,325310,241555,250212,9877,252319,37115,265571,82377,268972,412622,239006,197723,63206,381941,308263,269085,319680,322341,444948,44826,215051,465211,165374,283726,452041,150593,77573,82173,228287,273973,216391,188412,163495,442228,401850,23634,380738,216241,126630,343618,354494,13747,175885,111094,36677,29757,447756,138378;16.672464,14.972509,14.6555395,14.581636,14.376032,14.178035,14.143286,14.138986,13.903009,13.704144,13.219481,13.167242,13.13835,12.766187,12.736125,12.686291,12.478995,12.373071,12.163953,11.990435,11.825266,11.798187,11.762135,11.70323,11.6971,11.66877,11.585163,11.491641,11.359697,11.102157,11.063707,10.909802,10.824685,10.804011,10.707815,10.611168,10.610386,10.609339,10.582388,10.536788,10.447327,10.434052,10.425601,10.398438,10.354546,10.304854,10.288486,10.266448,10.211932,10.134965
67;0;38965,283115,325310,250212,37115,241555,252319,9877,319680,82377,265571,412622,381941,239006,269085,268972,215051,452041,322341,63206,188412,283726,82173,44826,444948,197723,150593,308263,380738,165374,126630,163495,13747,465211,442228,216241,396286,401850,91235,23634,111094,138378,465387,273973,458751,171131,442319,216391,447756,77573;15.901941,15.324007,14.957007,14.505824,14.000972,13.943345,13.761551,13.593036,13.543094,13.272505,13.133058,12.892623,12.86049,12.796499,12.739522,12.51108,12.360025,12.078231,11.8411665,11.8288,11.782143,11.7550535,11.730245,11.689071,11.649808,11.632219,11.597133,11.316975,11.148901,11.111705,11.10074,11.021667,10.928575,10.852773,10.822699,10.668843,10.597553,10.519913,10.503373,10.432665,10.424648,10.408089,10.399436,10.396143,10.336539,10.276436,10.272461,10.2614355,10.254492,10.199051
67;0;38965,319680,325310,250212,283115,37115,241555,9877,252319,412622,269085,381941,265571,82377,239006,268972,44826,444948,322341,215051,150593,452041,82173,283726,163495,63206,126630,380738,396286,197723,23634,111094,308263,13747,171131,442228,188412,91235,138378,465387,216241,465211,165374,232099,447756,401850,458751,308334,273973,216391;14.731174,13.9492035,13.457482,12.992808,12.929156,12.768466,12.716437,12.337322,12.269426,12.173317,12.159571,11.911874,11.882361,11.706082,11.418459,11.276034,11.1259985,11.030456,10.740723,10.738618,10.50072,10.397352,10.274966,10.268788,9.983728,9.973579,9.840739,9.768691,9.733428,9.53999,9.506318,9.494975,9.35868,9.317933,9.270079,9.206928,9.180247,9.0720005,9.0588,8.99276,8.848098,8.827128,8.799962,8.740059,8.699895,8.653692,8.5088625,8.46329,8.398018,8.395279
128;0;150060,134751,260227,237400,438759,389370,428388,18628,183027,3629,376728,359310,189274,372617,268006,319773,317555,412134,18116,289160,346661,80085,110412,184781,217429,375056,49798,69586,375331,116675,80271,156993,9082,153874,16344,53952,190615,100079,436728,399310,19474,430633,370296,161516,466796,22145,117294,342086,174507,151321;46.552208,37.163055,31.676968,30.762997,30.538729,30.359596,29.653559,29.5956,29.067144,28.950512,28.84078,28.592052,28.402857,28.340149,28.322628,28.31984,28.312786,28.189167,28.086304,28.016623,27.95844,27.945425,27.795296,27.747477,27.728434,27.643764,27.611736,27.41902,27.411709,27.40703,27.37296,27.251137,27.225035,27.196827,27.126976,27.11453,27.100159,27.098726,27.089802,27.087696,27.081179,27.008703,26.990417,26.985237,26.966558,26.905651,26.893461,26.886047,26.878117,26.87127
211;0;181405,285286,19078,328798,79386,172805,37046,41882,49125,225308,133924,180976,238224,210199,87702,219616,36444,417070,290028,411602,156314,375699,210925,201776,243785,398485,458109,312746,400059,114688,391118,459867,103922,20773,245023,151336,403423,229797,394822,264044,210874,140355,281415,162582,79504,350524,390524,374472,114308,251534;32.044968,25.633081,25.279518,24.626867,24.026937,23.558102,23.434074,23.196175,22.246367,21.953968,21.73316,21.705103,21.63656,21.492676,21.485153,21.394285,21.345478,21.318672,21.280132,21.272192,21.206232,21.119919,21.113394,21.092714,21.079493,21.038807,21.019659,20.915829,20.850088,20.827284,20.804909,20.80458,20.781666,20.692795,20.659163,20.632307,20.630743,20.575415,20.559,20.551748,20.546568,20.540077,20.430197,20.416357,20.40345,20.37607,20.365112,20.32568,20.281118,20.279604
242;0;6073,144236,192648,365044,339118,5988,416511,313595,168411,185238,340194,324670,243419,53113,457135,463025,22493,54502,54496,67862,425708,136599,264574,361597,43340,143946,439614,107619,403071,216103,4651,54308,180114,278445,241473,247102,83817,447360,128411,349516,355512,314579,304950,343052,222097,305426,319380,267961,141755,466008;21.278448,20.442503,17.081676,16.791138,16.481228,16.467932,16.457884,16.3078,16.117073,16.040709,15.76302,15.423324,15.383886,15.105261,15.094749,15.019064,14.804354,14.253182,14.221623,14.2038555,14.091855,14.067535,14.032538,14.002631,13.710946,13.011315,12.986043,12.881897,12.857097,12.665071,12.632506,12.432152,12.317734,12.25794,12.083588,12.05189,11.779138,11.134801,11.043024,10.942489,10.54459,10.513745,10.485832,10.453275,10.298835,10.220667,10.115028,10.111807,10.026831,9.991549
242;0;6073,144236,416511,365044,340194,324670,5988,168411,192648,185238,339118,463025,264574,22493,313595,457135,53113,243419,54496,447360,54502,439614,67862,136599,361597,83817,349516,425708,43340,128411,359439,143946,216103,343052,314579,355512,466008,222097,403071,180114,141755,278445,4651,107619,303341,120050,17114,305426,301984,82278;13.846644,13.522669,11.585509,11.252172,10.910306,10.733551,10.545627,10.358095,10.3190365,10.215934,9.982794,9.941574,9.800289,9.742809,9.400316,9.375547,9.159375,8.93091,8.521056,8.353942,8.278049,8.074986,7.9636364,7.9501333,7.9079285,7.892297,7.795781,7.7647967,7.6872363,7.6757627,7.467562,7.2642646,7.1553392,7.0960917,7.082502,7.060397,7.0251203,6.99712,6.989712,6.9662447,6.8758063,6.8589287,6.8495364,6.7359447,6.7101245,6.681081,6.5984874,6.496496,6.4873433,6.458842
447;0;98547,257551,143416,299751,28686,365673,43475,440129,184903,400197,354964,277638,124806,83791,347576,48134,184465,396491,122890,287090,95981,79057,188130,107523,270487,169260,258973,240262,92353,365692,427234,4382,392652,42444,67045,442706,206089,159095,210948,133398,285896,423987,264456,238448,239494,417230,227211,336855,264183,354839;24.13666,22.301443,20.595655,20.58112,19.601093,19.367228,19.325922,19.224987,19.09561,18.956093,18.950434,18.940878,18.851072,18.747358,18.706638,18.703808,18.463425,18.401186,18.378805,18.292397,18.254559,18.190699,18.093552,18.064531,17.921673,17.864292,17.849014,17.784979,17.556833,17.506092,17.462685,17.381033,17.378954,17.366318,17.356436,17.353146,17.286112,17.27549,17.25193,17.231472,17.223011,17.036951,16.94946,16.875362,16.864313,16.849848,16.818491,16.802835,16.79758,16.717947
447;0;184465,184903,365673,98547,240262,257551,107523,28686,299751,42444,365692,400197,143416,43475,427234,124806,316495,393152,440129,352115,92353,354964,179792,113126,264456,54998,95981,453097,122890,392652,396491,251868,48134,4382,169260,14430,188130,63102,83791,270487,239494,273770,268682,419736,372248,48821,238448,285896,221638,66302;15.868611,15.30249,15.203747,14.556313,13.585371,13.406687,13.402924,13.205095,12.984697,12.89846,12.897702,12.714673,12.526587,12.492993,12.401295,12.370583,12.359703,12.335666,12.318803,12.306811,12.298433,12.253731,12.146402,12.08569,12.078138,12.041898,12.04098,12.010022,11.994984,11.982432,11.926148,11.88224,11.869696,11.848563,11.841478,11.83905,11.837928,11.799969,11.759149,11.752151,11.687294,11.681927,11.681431,11.66029,11.544564,11.540066,11.532319,11.494254,11.494212,11.482386
447;0;184465,184903,365673,143416,98547,107523,240262,257551,264456,239494,28686,92353,270052,396491,42444,251868,95981,390036,365692,299751,66302,400197,417230,43475,354964,14430,451346,352115,169260,419736,133398,122890,83791,79057,277638,433060,159095,67045,440129,54998,48134,68892,273770,316495,221638,63102,427234,1543,124806,247578;14.121881,13.932956,13.68533,13.643678,12.654832,12.411288,12.3881855,11.8824005,11.862692,11.678944,11.527684,11.416794,11.313054,11.308887,11.268862,11.246182,11.22152,11.218383,11.177582,11.129898,11.127731,11.069021,11.035381,11.031039,11.000502,10.992424,10.970517,10.96309,10.942607,10.865975,10.851257,10.771823,10.771095,10.77021,10.74402,10.715498,10.70981,10.657479,10.640491,10.626642,10.595396,10.568696,10.567991,10.554107,10.545818,10.495332,10.447055,10.4044485,10.400932,10.343799
447;0;143416,98547,184465,184903,365673,257551,107523,28686,240262,264456,95981,299751,239494,400197,92353,396491,42444,43475,354964,48134,270052,83791,440129,277638,66302,390036,251868,451346,79057,365692,417230,133398,159095,124806,68892,67045,419736,122890,427234,433060,54998,169260,14430,352115,1543,188130,128553,392652,316495,270487;15.627806,15.109712,15.029541,14.973528,14.739211,14.140342,13.654914,13.425922,13.35563,13.246368,13.226738,13.161516,13.139659,12.974696,12.948255,12.943746,12.940948,12.932203,12.918236,12.71474,12.646508,12.623799,12.622235,12.589034,12.570102,12.534588,12.512273,12.454328,12.434485,12.362839,12.332296,12.276919,12.268785,12.254495,12.237527,12.101576,12.0911875,12.087377,12.066468,12.054543,12.043414,11.978831,11.948151,11.91617,11.8968,11.863167,11.841013,11.821389,11.817685,11.795573
447;0;184465,240262,107523,184903,365673,433060,14430,66302,42444,396491,352115,143416,92353,251868,239494,98547,264456,1543,159095,419736,257551,28686,270052,309434,365692,400197,95981,273770,451346,122890,316495,101034,54998,169260,124806,216146,43475,393152,133398,221638,372248,440129,83791,238448,280487,427234,188130,417230,68892,354964;14.810021,14.104968,14.077528,13.96535,13.854448,13.317725,12.918577,12.752319,12.658072,12.621001,12.467585,12.421975,12.330004,12.231012,12.198298,12.102143,11.96054,11.92515,11.601329,11.5262375,11.469386,11.443172,11.439201,11.35675,11.318386,11.241693,11.230692,11.218887,11.194024,11.049752,11.044576,11.028434,10.97472,10.831429,10.8249235,10.809975,10.784911,10.757359,10.738106,10.728172,10.708931,10.70176,10.6167,10.59301,10.592376,10.589153,10.555802,10.5521755,10.5407295,10.41663
