SessionId;Position;Recommendations;Scores
1;0;285930,453814,8692,398165,339087,399674,203022,138672,399052,107358,124804,298771,177327,259669,14579,228279,207749,273743,436143,404056,133398,422425,158905,411607,146528,67045,255708,82734,222577,37945,32584,309821,147216,314688,281967,301345,299434,362296,199452,391020,98547,69783,357564,454766,183525,158314,29828,247660,264183,227211;15.203131,11.686272,11.464535,11.022636,10.176108,10.024344,9.515661,9.257992,9.068632,8.936379,8.913267,8.897606,8.523719,8.522222,8.214622,8.113949,8.051691,7.9358063,7.931328,7.8676777,7.661986,7.601805,7.5972037,7.5385904,7.476831,7.398243,7.370556,7.362509,7.3157682,7.3139257,7.263384,7.251363,7.226677,7.2182493,7.207977,7.2064238,7.151511,7.1389904,7.098674,7.0394177,7.015663,6.953377,6.952242,6.9375205,6.9316463,6.926019,6.90213,6.855382,6.836771,6.834054
1;0;285930,357564,453814,133398,264456,399674,423987,398165,183525,270052,67045,264183,98547,143416,417230,390036,184903,348457,287090,120337,399052,227211,18993,365329,299751,124804,365673,358594,221638,365299,441158,390206,349506,169260,347570,255860,116490,203022,138672,79057,76196,8692,243083,228279,107358,314688,240262,281967,318457,158905;12.371084,9.885632,9.792467,9.701147,9.42008,8.907215,8.79048,8.657244,8.250635,8.22123,8.183613,8.098864,8.091577,7.8963404,7.751499,7.6782455,7.551876,7.5006795,7.472637,7.4521017,7.4405384,7.419594,7.391819,7.1445284,7.114685,7.0853486,7.062517,7.054302,7.032893,7.0111895,7.002683,6.992957,6.9138255,6.8543205,6.8353443,6.8207054,6.819312,6.813529,6.809535,6.7757196,6.7699103,6.7630267,6.7314577,6.699318,6.6748657,6.674678,6.6527386,6.6165657,6.5732126,6.566782
67;0;283115,257040,9877,412622,38965,250212,325310,241555,265571,309778,319680,44826,322341,343618,268972,37115,197723,252319,215051,444948,381941,269085,442228,82377,239006,283726,303715,452041,138378,82173,163495,49907,220678,126630,96377,273973,88620,150593,63206,111094,308263,89044,465387,36677,308334,23634,98063,216391,354494,188412;13.917376,13.390335,13.005091,12.997196,12.996767,12.81311,12.356106,12.323719,12.166673,12.155523,11.901833,11.657957,11.211834,11.180246,11.153496,11.13595,11.075298,11.01972,9.961806,9.925058,9.867844,9.777087,9.380162,9.356743,9.353282,9.322639,9.280063,9.015009,8.993973,8.853172,8.844063,8.793451,8.741367,8.592948,8.515185,8.433399,8.403164,8.396904,8.34598,8.218623,8.213142,8.176268,8.158262,8.155687,8.124944,8.030129,8.019749,7.994122,7.8088045,7.786131
67;0;283115,38965,412622,250212,9877,319680,325310,265571,241555,257040,268972,322341,37115,197723,44826,252319,343618,269085,215051,309778,82377,381941,283726,239006,444948,82173,442228,77573,452041,220678,49907,163495,96377,126630,150593,465387,138378,308263,308334,216241,273973,63206,216391,303715,23634,88620,266553,111094,354494,175885;13.431725,12.754076,12.328148,11.894895,11.758429,11.648135,11.57805,11.521422,10.9643,10.71785,10.6518545,10.6134615,10.541203,10.470553,10.420487,10.392418,10.005722,9.62504,9.532421,9.526022,9.095668,9.085533,8.965088,8.748641,8.690775,8.531896,8.397982,8.296692,8.291986,8.164984,8.079674,8.07617,8.069377,7.9892097,7.988865,7.950379,7.906555,7.8443823,7.794693,7.7134356,7.6116333,7.594802,7.594329,7.5435963,7.477252,7.467669,7.419961,7.3488235,7.304781,7.3041687
67;0;319680,38965,283115,412622,250212,9877,325310,265571,241555,252319,257040,268972,322341,37115,44826,197723,343618,309778,269085,215051,82377,239006,444948,216241,452041,283726,77573,381941,163495,273973,82173,150593,49907,442228,220678,175885,96377,308263,126630,465387,138378,308334,111094,23634,303715,216391,13825,266553,63206,89044;13.269752,12.67329,12.543762,11.697692,11.58351,11.211361,10.928621,10.867416,10.766559,10.654525,10.520913,10.452484,10.449953,10.310658,9.982592,9.909868,9.534861,9.120699,9.015467,8.86038,8.781652,8.682689,8.501839,8.35387,8.274663,8.272708,8.227655,8.225364,8.13085,8.085529,8.06054,8.033862,7.986,7.9212837,7.8615646,7.822506,7.695915,7.565937,7.5235014,7.4924526,7.441993,7.4053297,7.3881946,7.368615,7.364278,7.272421,7.1751595,7.1203885,7.108118,7.0809627
128;0;150060,213448,271872,418922,376728,428743,438759,24292,18116,87081,443474,55727,372732,294072,151873,87187,397954,223998,199885,134751,358878,466550,60215,285844,240488,146632,9176,102786,145024,78890,465069,162525,363156,131828,335366,409584,30790,223027,302858,44433,317555,268063,183027,121955,423511,421564,199706,389982,268563,12520;16.398258,10.229681,9.60394,9.303217,9.223942,8.931385,8.793419,8.680766,8.649894,8.44359,8.341026,8.333667,8.280455,8.218512,8.194985,8.132736,7.9598227,7.949588,7.941654,7.9395213,7.9332685,7.9251404,7.9229245,7.806527,7.77536,7.773102,7.7585263,7.731136,7.7272043,7.7130556,7.707079,7.689219,7.646592,7.578405,7.5532365,7.4875813,7.4794693,7.4408274,7.438393,7.3980355,7.376211,7.373752,7.362719,7.3357687,7.2546034,7.241398,7.222113,7.1838994,7.1656876,7.1358404
211;0;257040,309778,181405,172805,45759,428646,219616,321963,201776,399452,175342,36442,332376,51334,262829,70987,281415,350524,7409,156314,7642,201927,430113,374472,32,396697,432503,337612,188229,326217,398485,408305,346563,107414,351869,452852,414410,77155,367934,48313,65838,228823,382932,122350,349348,359910,85331,382709,407179,453155;18.537785,16.064068,14.993923,10.928114,10.705738,10.186502,9.9681015,9.787893,9.669221,9.664238,9.52195,9.424267,9.154915,9.135332,8.962664,8.759392,8.688685,8.686469,8.645191,8.632788,8.576849,8.541036,8.532929,8.519642,8.450832,8.37677,8.260501,8.15376,8.125261,8.123413,8.090037,8.077601,8.046692,8.039855,8.036226,7.9975276,7.993869,7.985641,7.878611,7.858531,7.839378,7.8350983,7.8269453,7.8044376,7.788668,7.77522,7.760274,7.7438984,7.7414536,7.7303905
242;0;6073,340194,264574,319380,416511,447360,222097,463025,314579,144236,349516,192648,168411,243419,365044,119547,466301,457135,450226,324670,54502,466008,17114,188228,22493,359439,439614,185238,5988,303341,301984,120050,239564,343052,77902,273118,267961,305426,245085,441645,304950,403898,191063,76060,53113,253188,109792,373360,67862,410499;11.19422,10.522614,10.132639,9.931852,9.496739,9.429602,9.396733,9.383617,9.277175,9.218421,9.082037,8.973229,8.812942,8.739251,8.523279,8.369109,8.335244,8.262945,8.241978,8.214234,8.149458,8.090904,8.075198,8.053437,7.97689,7.920919,7.875602,7.8737564,7.721862,7.6032944,7.395458,7.2364297,7.080866,7.0735106,7.0281734,6.9218917,6.8844333,6.834775,6.816166,6.788192,6.7439175,6.7163963,6.713586,6.6981697,6.6535354,6.647246,6.62323,6.5303555,6.504786,6.41784
242;0;6073,319380,466008,239564,349516,447360,71698,365044,301984,450156,17114,264574,222097,340194,144236,273118,99187,354498,450226,314579,466301,464731,416511,243419,375705,48030,305426,122931,457135,463025,56782,372169,112550,192648,5988,82278,329133,303341,14644,10034,96370,427840,168411,221329,410889,334395,303715,98899,96985,66752;9.940704,8.508476,8.015448,8.005228,7.84377,7.721054,7.324297,7.260173,7.1715155,7.0778575,7.055233,6.940526,6.9212055,6.9176793,6.8870697,6.8463573,6.795973,6.689828,6.6417356,6.636035,6.6191683,6.560808,6.5580163,6.496392,6.456906,6.4392633,6.4130087,6.3929,6.3806314,6.3654327,6.281972,6.278776,6.263477,6.1900663,6.180272,6.163337,6.150193,6.122368,6.0913353,6.02999,6.01219,5.9707184,5.959857,5.9473186,5.943686,5.9012127,5.877474,5.876765,5.867696,5.866064
447;0;98547,365673,184903,257551,216146,67045,184465,347576,43475,143416,240262,28686,122890,257070,399674,264456,133398,92353,440129,169260,277638,321706,124806,1543,227211,354964,417230,287090,291154,365329,365692,227406,354839,291767,329391,396491,309821,82586,206089,281967,339087,264183,159095,158905,4382,452661,423987,379693,48821,348457;14.705748,10.988382,10.319781,9.924898,9.723196,9.555817,9.38784,9.27611,9.199189,9.105748,8.977097,8.921963,8.867591,8.7947445,8.698542,8.628202,8.432562,8.141071,8.130713,8.043813,8.030642,8.025334,7.9129167,7.899619,7.82623,7.825327,7.7800922,7.775279,7.7707386,7.7624373,7.664802,7.620751,7.6200495,7.607355,7.4851995,7.4726954,7.466525,7.450367,7.444801,7.35744,7.324074,7.3104067,7.302656,7.2893286,7.2755136,7.249613,7.2255363,7.207308,7.2040763,7.2001023
