SessionId;Position;Recommendations;Scores
1;0;285930,399674,339087,116587,453814,314688,203022,8692,124804,404056,259669,365536,399052,199452,374673,398165,138672,172605,301345,67045,228279,169503,29828,341773,159038,263769,37945,412390,436143,400564,39717,25828,163474,184748,309821,169260,14579,247660,423987,213276,351912,117044,346152,207749,399254,461708,418931,394411,61442,138273;13.330774,10.89929,10.826845,10.206231,10.020845,9.647077,9.425681,9.404007,9.288127,9.238862,9.193531,9.022807,9.005481,8.80085,8.73285,8.539275,8.499915,8.361534,8.120244,7.959646,7.8908525,7.887341,7.667076,7.661506,7.654355,7.564271,7.5135155,7.502317,7.4623904,7.3738227,7.3725586,7.3633533,7.2596045,7.1668267,7.1224766,7.098371,7.0819407,7.060556,7.045404,7.031204,7.027356,6.9907393,6.948078,6.8991256,6.840338,6.8111753,6.762607,6.7624054,6.7601423,6.7123485
1;0;357564,67045,133398,285930,417230,169260,227211,441158,390036,50467,257070,399674,339087,365673,365536,336855,63102,18993,423987,221638,131028,259669,120337,116490,453814,352115,199452,381944,116587,147077,184903,399052,314688,137612,209859,299751,228279,348457,398165,310816,89931,143416,43475,287090,28686,3223,244464,247578,131874,248037;9.632345,9.006104,8.326086,8.321435,7.750024,7.592709,7.562696,7.068496,6.9419327,6.8006287,6.709559,6.673558,6.648388,6.5882154,6.5743484,6.5131226,6.41431,6.3449035,6.338435,6.3072553,6.305526,6.249059,6.233136,6.215954,6.2036185,6.1902003,6.1862054,6.1782393,6.167161,6.159908,6.0957804,5.9972835,5.9863496,5.9421563,5.9229136,5.9192843,5.7850275,5.7336745,5.7261224,5.7034307,5.633448,5.595788,5.542812,5.5283527,5.5051723,5.5029707,5.499904,5.4828043,5.4794745,5.463995
67;0;283115,325310,38965,241555,9877,37115,252319,265571,250212,412622,82377,268972,381941,319680,239006,197723,63206,322341,44826,269085,215051,452041,138378,283726,150593,442228,308263,444948,380738,82173,465387,396286,111094,232099,163495,91235,23634,188412,343618,13747,49907,458751,36677,165374,62634,447756,465211,228287,126630,352788;12.0713,11.93988,11.532156,11.264004,10.305095,10.267705,9.934434,9.849184,9.746569,9.669298,9.145724,9.048665,8.935138,8.926683,8.87517,8.306221,8.229657,8.069214,8.058975,8.049196,7.954725,7.873215,7.712565,7.6032047,7.519606,7.513278,7.420716,7.3093395,7.2760763,7.1564527,7.0918303,7.0903654,7.060228,7.0061164,6.9180174,6.8774667,6.734928,6.6344295,6.527264,6.492564,6.357579,6.251235,6.197649,6.1570983,6.128016,6.10369,6.0703983,6.0178986,5.962976,5.9024806
67;0;38965,325310,283115,241555,9877,37115,252319,319680,412622,250212,265571,82377,381941,239006,268972,215051,269085,44826,197723,322341,452041,63206,283726,138378,396286,442228,150593,380738,232099,465387,444948,82173,163495,91235,308263,111094,23634,188412,13747,458751,49907,126630,447756,165374,343618,36677,220678,228287,352788,62634;13.195831,13.025736,12.7250185,12.393201,11.489527,11.168832,10.617958,10.560069,10.545247,10.473883,10.363098,10.033286,9.892002,9.662671,9.634021,9.2691965,9.260704,9.24858,8.807922,8.781217,8.698146,8.649168,8.615351,8.52749,8.430989,8.428756,8.322593,8.235226,8.021073,7.9514136,7.884298,7.873925,7.8270707,7.8148913,7.6625156,7.63501,7.61439,7.5391035,7.186325,7.1035757,7.0505815,7.035584,6.6659675,6.6194754,6.5824294,6.5624614,6.560995,6.5143914,6.486204,6.480041
67;0;38965,319680,325310,241555,37115,9877,283115,412622,250212,265571,44826,252319,381941,269085,268972,82377,239006,322341,396286,444948,138378,111094,163495,215051,150593,452041,283726,197723,63206,23634,232099,380738,82173,442228,465387,308263,13747,220678,91235,126630,458751,447756,188412,228287,100114,308334,62634,216241,49907,77573;13.516349,13.272332,12.756782,12.284403,11.5936,11.570868,11.444213,11.191023,10.882392,10.836454,10.796344,10.714777,10.65848,10.592892,10.413852,10.220288,9.768603,9.590314,9.391681,9.325561,9.194834,9.08078,8.993316,8.921425,8.9104395,8.770781,8.742211,8.4833355,8.45041,8.433521,8.378301,8.348805,8.152137,8.144065,7.7270527,7.6329613,7.6190248,7.5769567,7.507635,7.3290973,7.2372828,6.8226233,6.8017397,6.734141,6.6521916,6.6110926,6.5386295,6.5378757,6.518295,6.5029435
128;0;150060,237400,445258,3629,260227,134751,442300,285154,349470,422376,125776,253706,356030,131828,161516,465582,302587,412134,180514,391198,18116,122411,413636,233099,10948,250375,268006,118742,16344,245333,110164,40970,416992,22869,67423,393368,307322,74789,23055,108924,32581,79877,286718,40121,450405,389370,389814,425159,410819,372617;16.524881,9.582318,9.55197,9.217908,8.998029,8.830558,8.11317,8.076277,8.019007,7.701901,7.5924997,6.95281,6.7096114,6.682759,6.681467,6.650126,6.6434317,6.5973153,6.58455,6.3734345,6.2884502,6.2506905,6.193546,6.13665,6.128804,6.0986176,6.082544,6.0356517,6.035087,6.0313954,6.0260663,6.024894,6.0242357,6.018994,5.910105,5.9023848,5.835496,5.830437,5.725,5.7205763,5.7053056,5.683426,5.667776,5.666495,5.591412,5.564838,5.564489,5.5642104,5.5518155,5.5348163
211;0;181405,285286,37046,19078,79386,345769,328798,461749,51334,251534,40724,80978,45759,175513,363206,210199,339720,244859,301531,152885,462470,107414,172805,341271,318382,83132,81663,84619,229567,398485,114308,250962,428646,175342,314841,278505,60045,291096,395343,459867,263871,1115,276433,67345,222500,156314,122600,297767,63190,466539;6.9108796,6.122979,6.096942,5.8227487,5.1480265,4.9178386,4.8300605,4.8024626,4.7695885,4.766506,4.758411,4.4806457,4.3780785,4.268087,4.247671,4.237279,4.209443,4.1722655,4.0813165,4.0768375,4.07466,3.9902148,3.9425511,3.9294813,3.9218218,3.8912961,3.8886375,3.88055,3.8515759,3.849711,3.848946,3.831245,3.7926455,3.783491,3.7449586,3.736394,3.7297673,3.6685233,3.5980246,3.5922444,3.5852306,3.5725825,3.541372,3.5161712,3.5086012,3.4767363,3.4677708,3.4604812,3.4523098,3.4484806
242;0;6073,144236,264574,192648,365044,416511,5988,185238,168411,463025,83817,22493,314579,304950,457135,340194,54502,324670,439614,305426,349516,258303,305997,76060,339118,447360,120050,128411,361597,267961,313595,17114,53113,336131,243419,43340,400600,355512,234033,54496,343052,403898,67862,466008,55191,13569,119547,58677,278445,136599;13.973029,12.4041195,10.953146,10.88964,10.61813,9.627815,9.3822,9.35038,9.306109,9.029731,8.787518,8.585261,8.480324,8.4591055,8.341048,8.224964,8.200199,8.025675,7.6641164,7.655357,7.573545,7.571531,7.2477765,7.2401085,7.228565,7.15379,7.0090814,6.870531,6.8385735,6.7242208,6.6995397,6.581406,6.518143,6.5152636,6.452361,6.441307,6.3408175,6.202494,6.1931205,6.0970206,6.0925627,6.0537763,6.0522647,6.040964,5.945272,5.9237413,5.908944,5.8748984,5.8712277,5.844484
242;0;6073,144236,264574,192648,365044,416511,5988,185238,168411,463025,83817,22493,314579,304950,457135,340194,54502,324670,439614,305426,349516,258303,305997,76060,339118,447360,120050,128411,361597,267961,313595,17114,53113,336131,243419,43340,400600,355512,234033,54496,343052,403898,67862,466008,55191,13569,119547,58677,278445,136599;13.971232,12.402626,10.95184,10.888428,10.616791,9.627101,9.381172,9.349435,9.305024,9.028876,8.78643,8.5846195,8.479202,8.45808,8.340144,8.224328,8.199843,8.025164,7.6633863,7.6544495,7.57255,7.570734,7.24699,7.239079,7.227853,7.152865,7.008364,6.869751,6.837779,6.723377,6.698824,6.580495,6.51747,6.514679,6.451733,6.4406176,6.339914,6.201632,6.192441,6.096316,6.0918503,6.053033,6.051695,6.0400944,5.944569,5.922946,5.9083385,5.8740892,5.870916,5.84387
447;0;98547,257551,365673,43475,28686,143416,258973,440129,299751,206089,169260,184903,184465,347576,122890,67045,240262,287090,83791,277638,66302,396491,423987,107523,354964,398343,354839,159095,188130,446565,79057,42444,92353,400998,264456,417230,48134,227211,427234,79455,89931,295942,239494,393152,133398,352115,208943,153935,397013,390036;12.755028,10.696563,9.854735,9.718713,9.65913,9.640328,9.249407,9.0925455,9.064172,8.81965,8.81689,8.783641,8.637976,8.549919,8.522452,8.500625,8.471754,8.310124,8.247041,8.206276,8.091146,8.04595,7.98555,7.95573,7.690216,7.63941,7.616455,7.524784,7.4997663,7.4549823,7.41895,7.380237,7.354895,7.3416023,7.28222,7.2522492,7.196234,7.1455398,7.1429567,7.129167,7.1230636,7.089346,7.062333,7.0129547,7.006403,6.997651,6.9545503,6.9456825,6.921661,6.9089913
