SessionId;Position;Recommendations;Scores
1;0;285930,399674,453814,8692,124804,159038,203022,374673,339087,399052,213838,437703,129271,163474,179088,3223,173958,213276,379000,22192,247660,425253,184748,169503,406216,407179,217050,183525,398165,394411,2319,158905,306921,412390,37945,341773,404056,314688,4284,116587,436143,413869,460219,138672,28686,365536,357564,249434,139487,67045;1.0,0.20914638677091973,0.1636222356712986,0.12657643549328895,0.10002889152844134,0.09556861811666705,0.06703394752676281,0.062154772591685184,0.06033462843616279,0.0590094782042156,0.03804589771637622,0.037427381007822155,0.036904432582058784,0.036904432582058784,0.0364514340507436,0.036051861028119504,0.036051861028119504,0.035694430779595,0.035694430779595,0.035075914071040944,0.035075914071040944,0.03480437321232646,0.034552965645277565,0.03431891079989235,0.03317744566557491,0.0330196288530249,0.03286882848493781,0.032724447134259725,0.03245290627554524,0.03220149870849635,0.03196744386311113,0.031856206038889015,0.031748500177181165,0.03164410887332224,0.03144449543734775,0.03134892715455707,0.031255977513107144,0.030517361548156603,0.030372980197478503,0.030303030303030318,0.030167314218081394,0.029850031771715135,0.02955990210107426,0.029450458749091035,0.02939703324039995,0.02929264193654102,0.028769693510777652,0.028057036618670376,0.027559691708313863,0.027098991812309816
1;0;357564,285930,67045,417230,133398,120337,365673,390036,399674,251868,352115,247578,453814,227211,354964,194216,8692,131028,137612,239494,264456,299751,441158,89931,209859,221638,169260,257070,143416,124804,159038,314688,365536,184903,198363,445209,287045,147077,835,94234,155539,244464,364648,423459,191805,351445,118081,355715,261189,172849;1.0,0.3057958874552666,0.1671163317161637,0.12717444619250343,0.1080342354147736,0.0682716699949206,0.06441142929647657,0.063162108083485,0.05862642953811951,0.05212389764971057,0.047248873443039435,0.04661745063902565,0.04586542286747624,0.043203665045815264,0.03738585113524105,0.037200263616279004,0.03548100730404505,0.03465533959688346,0.03447417251955568,0.0341358349974603,0.0341358349974603,0.03382514895268696,0.033537934109871104,0.03333591550877981,0.03333591550877981,0.02993006298420041,0.029646258956598996,0.0291789494327405,0.02855197688181894,0.028039388351430793,0.026789116190704693,0.02566323005788238,0.024633315951458276,0.022387903765463932,0.021329511603054536,0.021329511603054536,0.021329511603054536,0.02068957680618349,0.02068957680618349,0.02068957680618349,0.020211603202097528,0.01982994865006651,0.0196644621647075,0.0196644621647075,0.019371283788466486,0.019371283788466486,0.019371283788466486,0.019240066605010556,0.019117321127317476,0.019117321127317476
67;0;283115,38965,241555,325310,37115,9877,265571,252319,250212,82377,412622,239006,268972,381941,44826,319680,269085,322341,308263,150593,63206,82173,197723,452041,444948,138378,283726,308334,215051,188412,111094,458751,91235,163495,23634,220678,278005,248012,426678,167926,126630,103003,442228,216391,165374,343618,273973,401850,77573,53342;1.0,0.32403607045960975,0.30345401969546526,0.24611662708650686,0.2392225754326595,0.2316443013927366,0.19224323127147588,0.16958015995631742,0.14348869309828446,0.1424764594004103,0.14120968099331493,0.09482653075702942,0.08739257697853832,0.08306845172128983,0.08074705264722629,0.07958184489663742,0.07040596531029172,0.06015109940357601,0.042407903086771545,0.042367815956159065,0.03762651025616703,0.035047551976206084,0.0316413497528495,0.02993822223562313,0.027387282972951316,0.024120678067960703,0.02273131931700067,0.021697156672733336,0.02060693553209761,0.01889939953242449,0.018801279605648584,0.018533926305072945,0.017902200647343346,0.017624479195734285,0.017087135634119906,0.01619784145000138,0.013296595648333017,0.013185631826897446,0.013083555006270132,0.012412639289598576,0.012301675468163005,0.011895557967464908,0.011857487096886011,0.011618740063501828,0.011471994511314193,0.011315642288801253,0.011244112544333187,0.01073478370476739,0.009663160225548726,0.007293334753882776
67;0;38965,283115,325310,241555,9877,37115,265571,252319,412622,82377,319680,250212,239006,269085,381941,268972,44826,322341,215051,82173,283726,150593,63206,197723,452041,308334,444948,188412,126630,91235,447756,308263,396286,401850,98063,465387,138378,163495,220678,287449,442228,23634,380738,165374,426678,111094,103003,427396,216391,216241;1.0,0.626020934274139,0.4154247960197747,0.37781359538152287,0.3349660120666436,0.3230601570390548,0.18198343231760142,0.17586981139702498,0.16063284164359065,0.1594427941383654,0.14505086189332778,0.1430871383009694,0.11457936756426129,0.09913261363744068,0.09503128127843333,0.07336381312137835,0.06847274153172749,0.06616280838503306,0.05593967067984161,0.05255364896908245,0.04407609393486229,0.0394326325160088,0.0383550167357842,0.0359935656570144,0.03343697254033166,0.03197384567699973,0.030587916059732795,0.029316792307101255,0.02862358119717725,0.027769935088032435,0.026493663930045645,0.026313294977262567,0.024178367046340674,0.02331254986763739,0.022654317509929144,0.02135446133255594,0.02057882841232141,0.020048697481535777,0.018425828047364815,0.017749835722610793,0.016554025291461265,0.01590336261157921,0.01471468914796557,0.014236307555037292,0.014206668570051947,0.013610141276450745,0.012916691940273523,0.012911900613195302,0.01261611153884782,0.012313884583708334
67;0;38965,319680,283115,241555,325310,37115,9877,265571,412622,252319,82377,250212,269085,44826,239006,381941,322341,268972,444948,215051,150593,82173,308334,283726,23634,126630,447756,452041,308263,163495,396286,111094,63206,188412,91235,197723,138378,248012,171131,458751,62634,220678,98063,437250,287449,380738,465387,53342,189370,440060;1.0,0.7745516145682371,0.6596558928212973,0.4698305247952411,0.4543207088359157,0.408542084428654,0.3907213249435065,0.28098747762181364,0.2503266990456937,0.24070165633157292,0.22037964310903715,0.17543473983133354,0.17333236031494745,0.17142845229740755,0.1692674116083936,0.16781456816181436,0.1471482418665114,0.13096736673399512,0.10989222796205576,0.06562372772217763,0.06360620153295192,0.06324596732454588,0.06218602808055427,0.05881600151959708,0.050787113187284204,0.04896905948193324,0.0466202151437062,0.041949440091333175,0.03882684768029937,0.038352738822297804,0.03722779121595478,0.03692201258703185,0.03680288332143481,0.032099200701217606,0.030405533815328793,0.02938930282307641,0.02880502551326642,0.02834341672327514,0.026883147845605648,0.025576258553733133,0.02540616981401147,0.02493167031478317,0.024915135346969253,0.023717170166872616,0.022774738299887885,0.02265642565348701,0.021919854402460973,0.02090336197718486,0.01988064534333153,0.01988064534333153
128;0;150060,260227,237400,118126,131828,3629,134751,391020,339606,87081,273761,442300,438759,167060,463585,164941,67045,325215,259884,216305,139394,342816,253615,344723,283115,168952,31406,434344,198762,429304,49967,453279,38965,319680,465522,420028,257070,57171,257575,233200,118401,224700,160984,52383,168656,353515,96883,169956,321706,278966;1.0,0.11877311568764405,0.11877311568764405,0.1125871585799523,0.11044097042117446,0.11044097042117446,0.10980914497239276,0.10214714039585983,0.0999289393699753,0.09896712117695254,0.0985158774618952,0.09829698048701589,0.09706749943429936,0.09613805003748313,0.08950288699444407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211;0;181405,41882,285286,328798,79386,172805,37046,19078,411267,216305,344723,253615,342816,67045,259884,325215,168952,139394,49967,31406,434344,198762,429304,6073,283115,38965,319680,399556,164941,72435,453279,96883,233200,118401,224700,160984,52383,168656,353515,57171,321706,257070,278966,420028,337512,150060,277742,45520,129302,347105;1.0,0.1739570230324043,0.1711289829078693,0.1711289829078693,0.16666666666666669,0.1617270427118928,0.1603773851631927,0.15913582057281897,0.1496257874185161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242;0;6073,144236,416511,264574,168411,365044,313595,243419,192648,339118,5988,185238,54502,325066,355512,128411,406285,361597,41310,425708,343052,404096,304950,83817,433213,457135,80122,319380,275354,75959,22493,159285,258303,8775,222642,211451,349516,324670,463025,195490,447360,359439,76060,118401,31406,325215,259884,216305,342816,253615;1.0,0.41164917283457486,0.16693515232403155,0.1519099120593502,0.15059408559535462,0.14051522751988335,0.12972544037959086,0.12855033342244418,0.12181183693595743,0.08831776146254378,0.08371798413842765,0.0789521501071773,0.06161716391189481,0.04609048459473034,0.04534118607535479,0.04324181345986362,0.04324181345986362,0.04324181345986362,0.04249251494048808,0.04185899206921383,0.04185899206921383,0.04157544766907982,0.04082614914970427,0.04082614914970427,0.04019262627843001,0.04019262627843001,0.03901032093434711,0.03809325366293884,0.03744299038676918,0.03734395514356329,0.03734395514356329,0.03734395514356329,0.03679517267075464,0.03662740391872193,0.036161649799480396,0.035810173873880365,0.03567758935277949,0.03548640308029748,0.03485288020902323,0.03361754491988903,0.03299532814575741,0.03216753243503715,0.029318861300170432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242;0;6073,144236,416511,264574,168411,365044,313595,243419,192648,339118,5988,185238,54502,325066,355512,128411,406285,361597,41310,425708,343052,404096,304950,83817,433213,457135,80122,319380,275354,75959,22493,159285,258303,8775,222642,211451,349516,324670,463025,195490,447360,359439,76060,118401,31406,325215,259884,216305,342816,253615;1.0,0.41164917283457486,0.16693515232403155,0.1519099120593502,0.15059408559535462,0.14051522751988335,0.12972544037959086,0.12855033342244418,0.12181183693595743,0.08831776146254378,0.08371798413842765,0.0789521501071773,0.06161716391189481,0.04609048459473034,0.04534118607535479,0.04324181345986362,0.04324181345986362,0.04324181345986362,0.04249251494048808,0.04185899206921383,0.04185899206921383,0.04157544766907982,0.04082614914970427,0.04082614914970427,0.04019262627843001,0.04019262627843001,0.03901032093434711,0.03809325366293884,0.03744299038676918,0.03734395514356329,0.03734395514356329,0.03734395514356329,0.03679517267075464,0.03662740391872193,0.036161649799480396,0.035810173873880365,0.03567758935277949,0.03548640308029748,0.03485288020902323,0.03361754491988903,0.03299532814575741,0.03216753243503715,0.029318861300170432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447;0;98547,257551,365673,299751,28686,43475,440129,143416,396491,83791,258973,287090,48134,188130,206089,354964,184903,169260,42444,277638,285896,184465,124806,427234,400197,363850,122890,347576,421412,122366,357851,334258,435265,179792,409015,216146,442706,210948,52809,1543,392652,365329,238448,48240,53239,95981,446565,318457,143860,89931;1.0,0.10560599265317752,0.07710236002772658,0.07288144221993817,0.07102051458938498,0.0637712619424459,0.0622558874693528,0.06151958876184036,0.06143962866595478,0.05307623613758171,0.04810103045190383,0.04516412127304353,0.04145565787580808,0.04094274902741257,0.04048695500474723,0.04027675906420267,0.04019846093879461,0.03992336649065698,0.03952961947082233,0.03620649036498424,0.03446826434493868,0.032331946170559685,0.030531388711820796,0.029778019101377003,0.0291734414591012,0.028155034584288547,0.026632692971019365,0.025796920521018576,0.02260527309993561,0.02228942433725858,0.022015823694132915,0.02177449082347609,0.02177449082347609,0.02136332435351121,0.02102103701491411,0.020869192654996357,0.02072782893790404,0.020471374513706286,0.020471374513706286,0.020243477502373614,0.020243477502373614,0.020138379532101337,0.019943092671248986,0.019307597255641816,0.019307597255641816,0.019051142831444063,0.01899174849296478,0.018770023056192364,0.018141544637871092,0.01795682853754942
