SessionId;Position;Recommendations;Scores
11255731;0;214696432,214595855,214684721,214545879,214691231,214691321,214535649,214684712,214691426,214564305,214691462,214691372,214691357,214679010,214691510,214691342,214691471,214582817,214677733,214584836,214587315,214691522,214696708,214840740,214691492,214538439,214680356,214557189,214691621,214546102,214853282,214696751,214691531,214559527,214844252,214545842,214582387,214691634,214828989,214668630,214546123,214864432,214854495,214537496,214672931,214545932,214840811,214537470,214585100,214601040;95.78514,90.927124,89.30485,87.617615,87.11943,83.68388,83.36409,83.32855,82.37526,82.132454,82.03849,81.91199,80.39347,80.33792,79.81022,78.71744,78.406265,77.881546,77.71978,77.62556,77.5739,77.47644,76.750015,76.73487,76.61168,76.4077,76.373215,76.168274,76.15224,76.12466,75.49459,75.49362,75.48356,75.428444,75.322174,75.284134,75.26681,75.11097,74.922676,74.783134,74.70266,74.68721,74.5499,74.49443,74.485756,74.44503,74.13634,74.11562,74.09634,74.0665
11255731;0;214696432,214595855,214545879,214684721,214691231,214535649,214684712,214691321,214840740,214680356,214516181,214677733,214691426,214691462,214601244,214696708,214691372,214691522,214717427,214829743,214564305,214691471,214836827,214516194,214836819,214691510,214837273,214691357,214537955,214545881,214691342,214602240,214584836,214587937,214696751,214538439,214849295,214596602,214532038,214570547,214586814,214595139,214508432,214601250,214602253,214853282,214601042,214691492,214577415,214509870;15.236916,14.1927185,12.414669,12.126508,11.590621,11.067658,10.598311,9.894491,9.657402,9.502815,9.454677,9.356588,9.32201,9.31742,9.206278,9.085659,9.047242,9.022748,8.979908,8.977748,8.910924,8.88755,8.85809,8.80469,8.803333,8.722012,8.694632,8.629532,8.62155,8.620703,8.590578,8.525041,8.507589,8.453282,8.41954,8.409489,8.37881,8.377946,8.303317,8.295155,8.286319,8.281344,8.27823,8.22326,8.199863,8.173186,8.162501,8.159608,8.132017,8.117034
11255758;0;214820345,214853730,214835111,214680467,214555500,214851137,214848849,214838225,214800262,214543922,214848997,214563337,214849312,214836330,214844413,214748334,214845986,214819760,214743335,214753515,214851133,214829366,214577355,214850788,214586432,214557279,214851313,214849395,214851581,214835469,214851099,214832747,214850735,214853767,214826670,214832780,214854527,214981102,214553544,214844347,214854152,214850792,214820396,214846067,214850619,214851075,214853094,214662731,214706102,214819378;102.857895,92.88911,91.77894,91.65976,90.561775,90.550735,90.26097,89.874176,89.74378,88.813965,88.05647,87.83316,87.773926,87.7675,87.23285,86.876945,86.77873,86.75292,86.12582,86.01953,85.9797,85.973946,85.884705,85.83092,85.479256,85.258064,84.91421,84.82605,84.6738,84.274055,84.138374,84.098694,84.043724,83.863686,83.81594,83.57553,83.1952,83.131165,83.04583,83.01037,82.98988,82.8786,82.86993,82.856155,82.80082,82.714035,82.62431,82.50811,82.49142,82.30798
11255758;0;214820345,214835111,214854540,214555500,214853730,214838225,214800262,214680467,214577355,214851137,214848849,214836330,214848997,214543922,214819760,214832780,214844413,214748334,214563337,214743335,214851099,214850788,214850735,214662731,214586432,214557279,214854527,214849395,214853724,214835469,214845583,214753515,214849312,214829366,214553544,214832747,214845986,214820396,214832145,214846333,214854152,214851133,214854495,214851313,214854352,214851581,214853113,214981102,214602384,214570877;170.02577,160.17944,158.43372,157.3665,157.06558,156.90602,156.18329,154.28574,153.98195,153.06046,153.02185,152.78372,152.41821,152.19612,151.67014,151.62376,151.00275,150.84325,150.06819,149.79263,149.2903,149.24568,148.85799,148.51517,147.70563,147.513,147.29303,147.07932,147.07697,146.88727,146.80225,146.78395,146.3715,146.1723,145.94383,145.6103,145.34598,145.33923,145.2212,144.88545,144.76256,144.58784,144.57782,144.54362,144.25443,143.78505,143.70866,143.16167,143.12088,142.95297
11255819;0;214546027,214546025,214546022,214546018,214546029,214645177,214546031,214686069,214686071,214686527,214686067,214837877,214546119,214546117,214684044,214686073,214702708,214645207,214546121,214555237,214540599,214645211,214702721,214829312,214851058,214545952,214702723,214537532,214537535,214678020,214551909,214540575,214545958,214546097,214850932,214702719,214545941,214545825,214854553,214851060,214530450,214685998,214574777,214840571,214695797,214699884,214829760,214702796,214686062,214684115;114.38745,110.83759,110.48752,107.77379,107.40093,107.17597,105.10935,105.0155,104.25791,103.81274,102.86254,101.33703,96.74726,96.66809,96.176285,95.45117,94.976746,94.81035,94.60971,94.38558,94.23734,94.078224,93.87902,93.47556,93.42736,93.39016,93.37598,93.35565,93.26513,93.25622,93.219536,92.88596,92.81777,92.75302,92.631516,92.562645,92.52231,92.47421,92.33917,92.260574,92.170944,92.11093,91.94183,91.696915,91.54057,91.50098,91.42096,91.34784,91.30626,91.24184
11255819;0;214545879,214684721,214696432,214546102,214679010,214546025,214691372,214564305,214531550,214844252,214696760,214559527,214545881,214686069,214684712,214546022,214691321,214836506,214546027,214691231,214691462,214584800,214537470,214700992,214694139,214585100,214535649,214691426,214582817,214644641,214545920,214672931,214587307,214584977,214844250,214678035,214668630,214556728,214546104,214531543,214557189,214546018,214864432,214683193,214601462,214691510,214537490,214644686,214531513,214582387;127.475494,124.24629,120.87675,120.86865,120.845505,120.79515,120.42081,120.32367,119.81604,119.73093,119.72209,119.68042,119.6721,119.53914,119.48511,119.38912,119.36493,119.32583,118.7949,118.54641,118.32142,118.23061,118.16292,118.00656,117.74744,117.451645,117.41999,117.379234,117.22061,117.21151,117.160934,117.09345,116.76504,116.72639,116.69219,116.65897,116.654976,116.64149,116.52421,116.46379,116.45474,116.44766,116.257996,116.1148,116.09873,116.04043,116.02849,116.02032,115.98459,115.90893
11255819;0;214545883,214545808,214545879,214540612,214545881,214853293,214545885,214686002,214545902,214545896,214677877,214545825,214686062,214550565,214550531,214686097,214836326,214695234,214684721,214677875,214540610,214540601,214574777,214686069,214696772,214678880,214700992,214850932,214851146,214695797,214569716,214601422,214545894,214540605,214550563,214554234,214685882,214853297,214546025,214545834,214546022,214570547,214849329,214853308,214851017,214834989,214545838,214686067,214700876,214774682;16.516375,16.129532,16.007118,15.7357235,15.711796,15.628563,15.626015,15.524537,15.382059,15.323655,15.289576,15.287434,15.17648,15.171318,15.157164,15.115859,15.089861,15.088875,15.059774,15.0330105,15.018854,14.993799,14.990143,14.985621,14.955558,14.947946,14.917743,14.881578,14.853538,14.807292,14.803783,14.79382,14.781559,14.763243,14.749154,14.715602,14.637048,14.633952,14.6030445,14.582867,14.574902,14.56868,14.558192,14.546567,14.485977,14.446832,14.440173,14.421894,14.419868,14.392867
11255819;0;214582498,214712300,214545851,214853218,214509864,214545883,214820246,214584832,214696772,214853255,214545847,214540612,214545885,214684712,214545864,214545825,214684721,214545902,214686069,214686002,214545808,214545881,214601422,214545896,214545894,214686067,214545879,214534667,214685882,214850932,214853293,214540605,214706473,214550565,214686062,214712285,214537475,214686013,214853259,214546018,214574777,214545862,214702708,214540601,214569716,214546025,214550563,214853297,214582554,214537483;18.119043,17.875349,17.701744,17.49668,16.416626,15.996381,15.848948,15.777534,15.712992,15.681544,15.658716,15.506906,15.503995,15.368344,15.368271,15.35309,15.341577,15.337986,15.316293,15.285226,15.231938,15.190408,15.158162,15.155,15.150381,15.148017,15.142514,15.117691,15.071873,15.004881,14.954618,14.907685,14.900728,14.889385,14.812857,14.759267,14.706382,14.69109,14.659309,14.6505995,14.628043,14.6073475,14.555154,14.55233,14.52628,14.525927,14.522962,14.514111,14.498075,14.494769
11255819;0;214712300,214582498,214853218,214545851,214820246,214584832,214853255,214509864,214684721,214684712,214853259,214545847,214545864,214534667,214853250,214696772,214545879,214582554,214537475,214706473,214850932,214509870,214545825,214678020,214850351,214699884,214851058,214601422,214584834,214584836,214545862,214687785,214651522,214534659,214828989,214680356,214702725,214687805,214585100,214537483,214854022,214564305,214509830,214575722,214535649,214560405,214850852,214677941,214853282,214836787;15.5422325,15.439253,15.431532,14.860988,13.78052,13.492982,13.466442,13.445368,12.941936,12.931222,12.851142,12.830058,12.411185,12.263736,12.137403,11.952687,11.906422,11.889689,11.786843,11.708252,11.659404,11.619101,11.566266,11.563599,11.530136,11.498346,11.492648,11.48611,11.4840765,11.48328,11.464674,11.457339,11.439417,11.435999,11.412794,11.385665,11.38518,11.342439,11.334952,11.316306,11.314772,11.270351,11.267934,11.2443075,11.23939,11.220987,11.184718,11.182529,11.155592,11.143839
11255846;0;214851135,214840412,214687685,214642016,214836830,214846391,214556840,214854350,214848322,214642055,214738466,214642095,214840415,214642033,214687475,214840410,214774676,214836827,214851324,214846389,214642057,214545917,214642089,214702877,214854583,214716579,214839339,214642027,214774665,214851017,214642031,214850422,214725542,214845127,214551870,214829021,214748259,214851071,214716660,214738464,214702933,214849295,214851148,214551909,214583610,214706473,214848315,214838122,214829760,214550610;123.59715,120.68874,119.20512,113.811485,113.681335,113.10287,112.634605,109.67549,108.53877,107.84478,105.71663,105.32832,104.744835,103.87095,103.64555,103.58502,102.53551,102.16442,102.137436,101.99644,101.7257,101.711006,101.45116,101.3114,100.39261,100.29941,99.86962,99.80241,99.61543,99.467834,99.3314,99.15513,99.07849,99.0236,98.87207,98.871086,98.83035,98.82697,98.60318,98.56427,98.51977,98.37224,98.198425,98.130905,98.1112,98.03132,98.01766,97.98274,97.78388,97.77578
