SessionId;Position;Recommendations;Scores
1;0;214536502,214820201,214577567,214839909,214709653,214699301,214705745,214709690,214709634,214820240,214536489,214578247,214712402,214536500,214696303,214711333,214829737,214706441,214709645,214716467,214705757,214716461,214681091,214701825,214819490,214839902,214642560,214703790,214844297,214706216,214709685,214774685,214536506,214696262,214546102,214827020,214820225,214820195,214820237,214764281,214827030,214712537,214702749,214630042,214840419,214702747,214706205,214550259,214753693,214579288;66.65627,61.956505,61.504124,61.025654,60.905968,60.564705,60.539757,59.915497,59.719894,59.536247,59.132324,58.89091,58.87043,58.77271,58.750336,58.604355,58.494434,58.386093,58.17508,58.15026,58.06201,57.873184,57.685364,57.55025,57.525475,57.495735,57.417007,57.39382,57.38806,57.343033,57.334175,57.30994,57.279373,57.257164,57.251144,57.232292,57.210346,57.193714,57.1502,57.04614,56.97765,56.936394,56.928463,56.906353,56.858055,56.755676,56.695297,56.655525,56.617397,56.536366
1;0;214578247,214536500,214536502,214536506,214696303,214536489,214577572,214536607,214577567,214839909,214536613,214696312,214696262,214764281,214561603,214578234,214536615,214577604,214578285,214705779,214826036,214536532,214709653,214705745,214568109,214550248,214712786,214832351,214536523,214708170,214716167,214586651,214578242,214829068,214696305,214705136,214702794,214537494,214664675,214589735,214663974,214696130,214716206,214712537,214512277,214684001,214716065,214551581,214678012,214568402;-44.35962,-46.164337,-46.815582,-49.299362,-50.659027,-51.08011,-59.02614,-60.67508,-61.822586,-62.019226,-63.89319,-64.00183,-64.44025,-65.609314,-66.3255,-66.510895,-66.888824,-66.99454,-67.44296,-67.45041,-67.99542,-68.52219,-68.76465,-68.87361,-68.95708,-68.96677,-69.53616,-69.685104,-70.2944,-70.455475,-70.51114,-70.60243,-70.62424,-70.78705,-71.538055,-71.81662,-71.83685,-71.91051,-71.91138,-72.00638,-72.30246,-72.46634,-72.48306,-72.501465,-72.6676,-72.84589,-73.043335,-73.12561,-73.141174,-73.17944
1;0;214578247,214536500,214536506,214536502,214696303,214536489,214577572,214536607,214577567,214696312,214839909,214536613,214561603,214696262,214578234,214536615,214764281,214578285,214577604,214705779,214826036,214550248,214832351,214709653,214536532,214705745,214712786,214708170,214664675,214536523,214568109,214696130,214578242,214696305,214716167,214702794,214537494,214589735,214586651,214716206,214829068,214684001,214551581,214512277,214678012,214663974,214536547,214705136,214712537,214584817;155.38005,152.953,152.68094,150.8038,149.6175,148.83632,144.27878,142.90271,140.71155,140.64096,140.55278,140.51262,139.96162,139.45847,139.42859,138.45517,138.3967,138.28207,137.95755,137.92577,137.08458,136.93796,136.89276,136.70837,136.6648,136.48434,136.26071,136.15115,136.1246,135.82303,135.74548,135.70717,135.55731,135.48378,135.30511,135.21906,135.06741,134.86537,134.79553,134.73445,134.53851,134.49326,134.47395,134.32253,134.32103,134.2485,134.23615,133.92914,133.91846,133.89969
2;0;214662742,214800262,214748334,214743335,214746427,214826927,214826998,214826934,214640017,214753515,214827002,214842575,214744775,214826908,214717562,214716902,214555500,214717286,214821300,214712124,214574672,214826621,214827009,214821401,214764281,214840775,214826619,214827017,214691681,214577355,214690110,214826837,214712137,214826615,214826932,214642235,214827015,214698420,214826876,214696997,214826617,214825110,214842450,214826612,214662731,214842577,214709666,214708335,214821315,214760897;113.43923,106.455185,106.34479,105.54294,105.074196,103.80259,103.33838,102.96255,102.61247,102.58767,102.58075,102.558464,102.52907,102.43504,102.39668,102.37216,102.19443,102.18743,101.95336,101.76758,101.63966,101.24834,100.885216,100.86531,100.79207,100.68097,100.666,100.62283,100.569664,100.53052,100.52287,100.50172,100.34863,100.22866,100.16246,100.10785,100.079346,100.05765,99.997444,99.84616,99.787506,99.62262,99.47287,99.43178,99.263954,99.19679,98.766136,98.704254,98.694016,98.56821
2;0;214662742,214800262,214743335,214748334,214826927,214640017,214821300,214826998,214717286,214746427,214744775,214826908,214842575,214716902,214753515,214826619,214717562,214826837,214826934,214690110,214826615,214821305,214826621,214821315,214827002,214827009,214821309,214821341,214826799,214826876,214827015,214826617,214826932,214744530,214842450,214826912,214840775,214691681,214821401,214586711,214712124,214826612,214691484,214842577,214717331,214668590,214827017,214826872,214551617,214821339;-31.983147,-33.231865,-33.936493,-33.938663,-34.16697,-34.38488,-34.401314,-34.83825,-34.844315,-34.87005,-34.886944,-34.948784,-34.974968,-35.184303,-35.229523,-35.23124,-35.26846,-35.30677,-35.421764,-35.56956,-35.59308,-35.665947,-35.688164,-35.74975,-35.783737,-35.827694,-35.828712,-35.845398,-35.930275,-35.97721,-35.979362,-36.057026,-36.06433,-36.095375,-36.097042,-36.11838,-36.142056,-36.156105,-36.160137,-36.18467,-36.19704,-36.29399,-36.2957,-36.305176,-36.328625,-36.464077,-36.485523,-36.536568,-36.557854,-36.56314
2;0;214825110,214662742,214821300,214826612,214826615,214800262,214826619,214826617,214826908,214842575,214826998,214826621,214748334,214821401,214746427,214640017,214821309,214744775,214711280,214753515,214712124,214826927,214826837,214827002,214826934,214821339,214842450,214821305,214827015,214827009,214717286,214821341,214551617,214840775,214743335,214717877,214826876,214718210,214821315,214690110,214757390,214691681,214827013,214842577,214612721,214716902,214717331,214826932,214826872,214826912;6.5735626,5.794552,5.3529015,5.0184364,4.980034,4.895836,4.818474,4.8049355,4.7991905,4.752968,4.7052155,4.684002,4.6323814,4.610115,4.445755,4.4098015,4.3812256,4.3463516,4.327347,4.2883835,4.195614,4.1788864,4.096447,4.088215,3.921894,3.9026031,3.8972816,3.8058167,3.8007126,3.7862473,3.7599602,3.724533,3.6383286,3.540535,3.4691353,3.4678955,3.4553833,3.4039536,3.386444,3.3154297,3.3033524,3.2861366,3.2658463,3.1962624,3.1614037,3.0998917,3.0278816,2.986515,2.9186783,2.8906174
2;0;214825110,214757390,214826612,214826617,214821300,214826621,214826615,214662742,214757407,214826619,214842575,214827002,214711280,214826998,214746427,214748334,214821401,214753515,214712124,214554982,214826908,214744775,214842450,214826934,214717877,214827009,214840775,214800262,214691681,214827013,214827015,214826893,214757379,214821339,214769006,214718210,214826927,214821309,214690110,214691632,214842577,214826837,214821305,214691484,214821341,214712126,214837442,214640017,214743335,214837487;46.303528,44.285652,44.246788,43.819366,43.583885,43.457962,43.442917,43.310898,43.125286,43.09539,43.02951,42.99488,42.975708,42.928276,42.920963,42.813892,42.797485,42.761456,42.66622,42.54023,42.52799,42.526173,42.38112,42.163918,42.10443,42.016647,42.0065,41.964096,41.914474,41.906475,41.905533,41.817017,41.801704,41.79937,41.790894,41.78074,41.74334,41.697105,41.69595,41.688633,41.68659,41.600147,41.52312,41.501297,41.500935,41.474182,41.341187,41.27346,41.25067,41.144623
2;0;214757407,214825110,214757390,214826612,214826617,214821300,214826998,214746427,214753515,214826615,214760897,214826619,214554982,214826621,214827002,214748334,214718255,214842575,214827009,214821401,214712124,214842450,214826934,214601407,214840775,214757379,214711280,214662742,214826912,214826927,214577518,214826908,214744775,214690110,214651427,214544758,214834865,214842577,214826932,214691484,214717877,214684845,214826876,214769006,214821339,214827015,214691632,214800262,214718210,214769117;70.84956,69.705376,68.373085,68.24807,67.879974,67.85472,67.82561,67.73918,67.666504,67.640526,67.616165,67.56428,67.55009,67.42397,67.40991,67.25542,67.24885,67.20333,67.07053,67.03726,67.00226,66.99753,66.845764,66.80168,66.77043,66.76882,66.70698,66.70245,66.69128,66.68886,66.596504,66.55989,66.52934,66.512314,66.43715,66.43063,66.4171,66.41317,66.3713,66.32047,66.28951,66.242935,66.21388,66.196335,66.15835,66.14696,66.05587,66.040695,65.97776,65.9737
4;0;214836765,214836761,214836770,214662819,214836127,214836073,214841060,214836080,214836752,214550863,214632380,214587864,214536317,214691293,214839373,214684513,214833800,214821275,214691390,214839780,214840378,214535621,214662821,214602225,214838100,214843584,214839782,214829285,214821371,214835773,214691267,214840597,214833802,214826803,214826810,214839313,214839722,214640428,214826705,214838473,214835885,214826801,214839720,214826955,214820413,214826715,214826606,214636374,214826702,214826627;50.25171,48.606003,47.957794,47.73432,46.910522,46.61992,45.807144,45.640465,45.500877,45.454323,44.93007,44.886673,44.511272,44.49577,44.39176,44.132103,44.03695,43.89435,43.88047,43.843956,43.697475,43.687775,43.67192,43.545357,43.461838,43.45018,43.41257,43.335403,43.30378,43.29257,43.267406,43.255512,43.23481,43.22827,43.18181,43.151237,43.147293,43.14538,43.117058,43.05066,42.93466,42.930176,42.92205,42.738052,42.72867,42.646805,42.62222,42.590675,42.57441,42.54422
21;0;214838503,214712107,214601197,214587013,214684093,214509041,214696434,214581761,214695075,214587005,214675974,214508942,214509013,214840762,214640893,214828867,214509000,214819528,214706169,214559660,214508563,214583190,214821013,214535010,214708372,214819393,214561475,214839907,214711592,214674620,214716658,214819427,214836407,214829402,214709792,214842324,214821024,214838263,214509035,214829312,214548885,214586940,214819640,214820842,214587915,214718160,214829282,214829400,214718216,214553257;41.108627,38.67536,37.02103,35.859688,35.656677,35.633915,35.575912,35.437492,35.345474,35.25937,35.19941,35.149128,35.110874,35.070885,34.953712,34.90474,34.789104,34.73182,34.721985,34.662003,34.650356,34.62461,34.400852,34.36125,34.249847,34.190845,34.13657,34.08967,34.055004,34.050903,34.0027,33.981865,33.97881,33.91102,33.858368,33.851494,33.820507,33.79948,33.775185,33.746323,33.74518,33.701805,33.678337,33.663895,33.65804,33.648743,33.591743,33.581917,33.557373,33.497784
