SessionId;Position;Recommendations;Scores
1;0;214820201,214820842,214630042,214709634,214706441,214709653,214546102,214829312,214827020,214705745,214536502,214712402,214819490,214829737,214702747,214702749,214687685,214827030,214717331,214820240,214709690,214840417,214577567,214821298,214821275,214586692,214821272,214821309,214601462,214699301,214820225,214587028,214829310,214836407,214827022,214684513,214587915,214685795,214820237,214705757,214839909,214737337,214681091,214545879,214711333,214706216,214672963,214774685,214709645,214537775;-2.9964204,-3.6950684,-3.805301,-3.8226113,-3.8610926,-3.9757576,-4.002168,-4.0822153,-4.1621823,-4.175163,-4.2932568,-4.402635,-4.554758,-4.6462255,-4.651209,-4.7455616,-4.789095,-4.83181,-4.912926,-4.915042,-4.920903,-4.9616466,-4.9667287,-4.976094,-5.0014744,-5.010844,-5.016632,-5.0342283,-5.0384707,-5.043102,-5.0503006,-5.0541997,-5.068776,-5.0934043,-5.1033983,-5.112758,-5.1178536,-5.1291943,-5.136739,-5.1398664,-5.1506305,-5.171381,-5.182266,-5.1881137,-5.2063293,-5.2065496,-5.2380347,-5.243127,-5.264503,-5.274171
1;0;214601462,214546102,214746386,214546121,214686086,214546106,214829312,214706441,214820201,214712323,214630042,214536502,214717331,214709653,214685795,214709634,214509870,214702747,214636389,214839866,214705745,214702749,214827028,214545879,214601040,214717095,214537967,214586610,214820842,214684044,214714880,214686009,214582387,214820240,214684513,214701825,214540597,214685621,214672963,214712355,214683984,214711333,214702787,214820415,214839313,214584962,214827020,214636498,214705757,214586805;-2.204231,-2.2703645,-2.3512127,-2.65043,-2.6906395,-2.7875257,-2.8145745,-2.9977882,-3.04674,-3.0865834,-3.2878723,-3.2887056,-3.3763187,-3.385846,-3.3970196,-3.4125319,-3.45016,-3.5612304,-3.5985827,-3.6086023,-3.6278079,-3.6834145,-3.7045224,-3.725063,-3.7620597,-3.7691355,-3.7708442,-3.7884781,-3.798413,-3.8099523,-3.8398085,-3.8515172,-3.860388,-3.877906,-3.9091313,-3.914132,-3.9232938,-3.9344125,-3.9525871,-3.9564083,-3.9713147,-4.01133,-4.02062,-4.0354195,-4.040717,-4.0801682,-4.086775,-4.155765,-4.168918,-4.1698065
1;0;214820201,214546102,214536502,214587915,214509084,214705745,214630042,214537967,214586805,214601197,214539845,214684513,214601462,214829312,214827020,214832550,214636389,214714880,214706482,214829679,214706441,214702747,214587935,214709634,214537719,214546121,214577567,214709653,214826705,214639305,214701825,214586692,214536907,214827022,214709690,214820842,214508855,214702787,214512431,214508852,214840419,214700610,214672963,214746386,214702749,214509082,214636775,214636505,214840417,214686086;-2.2897074,-3.06466,-3.1616602,-3.312666,-3.3445277,-3.4060855,-3.429988,-3.5438173,-3.5766702,-3.5886002,-3.5935369,-3.6485753,-3.6704772,-3.7053945,-3.717259,-3.7625544,-3.7694793,-3.7876053,-3.792845,-3.7990289,-3.807127,-3.807362,-3.809051,-4.0173893,-4.0197425,-4.0361767,-4.057075,-4.069415,-4.0735607,-4.073712,-4.0748544,-4.1159854,-4.1184645,-4.1204276,-4.1575446,-4.1639004,-4.1842847,-4.1861773,-4.196449,-4.206936,-4.231665,-4.2837844,-4.294947,-4.299635,-4.3049154,-4.3312144,-4.332494,-4.3385205,-4.339896,-4.393832
2;0;214826872,214826876,214640017,214826908,214716902,214717286,214800262,214826619,214826837,214717562,214821300,214821315,214826927,214837487,214743335,214821401,214826998,214748334,214827007,214837490,214821341,214662742,214826615,214753515,214821339,214838831,214837485,214586711,214690110,214819691,214826934,214821277,214717877,214716630,214586694,214612721,214821307,214717890,214827002,214826612,214820402,214574147,214820383,214791684,214826932,214574672,214826621,214587317,214821305,214821313;-2.6108878,-2.8868375,-3.0950336,-3.1789653,-3.2070608,-3.2387195,-3.252972,-3.2900603,-3.2914786,-3.443465,-3.4998338,-3.503309,-3.5530124,-3.5800905,-3.624376,-3.7871778,-3.8078825,-4.0206504,-4.039101,-4.1344113,-4.1822453,-4.189915,-4.205742,-4.206409,-4.2113357,-4.2857623,-4.3172226,-4.384203,-4.3844733,-4.432897,-4.550613,-4.560787,-4.5763254,-4.5803404,-4.6136255,-4.6153116,-4.621716,-4.6307845,-4.633191,-4.64308,-4.6619077,-4.664567,-4.679181,-4.690434,-4.699043,-4.7113056,-4.7189574,-4.7412615,-4.7460084,-4.7623553
2;0;214826872,214826876,214800262,214640017,214826908,214826619,214716902,214717286,214826837,214837487,214717562,214821315,214743335,214821300,214826927,214821401,214826998,214748334,214827007,214821341,214837490,214821339,214662742,214837485,214753515,214826615,214819691,214586711,214716630,214838831,214820383,214821277,214574147,214820402,214587317,214690110,214717877,214586694,214791684,214612721,214717890,214821307,214827002,214826934,214574672,214684843,214551613,214819382,214841640,214554765;-2.4013093,-2.694559,-2.8899162,-2.954604,-3.003318,-3.0429966,-3.0715175,-3.0804312,-3.1444576,-3.257879,-3.2602417,-3.271275,-3.3913093,-3.3956914,-3.4260302,-3.6562722,-3.7141852,-3.7477887,-3.845757,-3.866501,-3.8757503,-3.9873862,-3.9937599,-4.0125628,-4.0128975,-4.057,-4.0701737,-4.0951953,-4.1180925,-4.1241474,-4.223255,-4.226678,-4.239864,-4.268021,-4.2814264,-4.2825317,-4.2839746,-4.284394,-4.2857933,-4.3176355,-4.3197646,-4.327155,-4.355604,-4.377736,-4.4122176,-4.456827,-4.45711,-4.467256,-4.4683166,-4.486677
2;0;214821300,214826998,214826619,214821401,214717286,214826908,214826927,214826872,214826876,214827002,214753515,214826837,214826615,214640017,214744775,214717562,214690110,214826934,214716902,214826612,214826617,214743335,214746427,214827007,214837487,214800262,214791684,214717877,214826621,214821315,214821339,214827009,214662742,214586694,214586711,214821341,214826932,214573290,214821305,214827005,214748334,214826925,214819376,214821309,214819691,214556595,214819382,214712126,214820402,214820392;-1.1062388,-1.8716531,-2.069337,-2.0789373,-2.0891159,-2.0933418,-2.1488645,-2.19123,-2.2862778,-2.2906747,-2.3694143,-2.4784331,-2.509927,-2.5798461,-2.6995006,-2.7346706,-2.7964332,-2.8442183,-2.906799,-3.0088315,-3.025471,-3.109492,-3.1844966,-3.2608457,-3.3208058,-3.3238533,-3.3375182,-3.3628094,-3.3656654,-3.4378183,-3.4493623,-3.4546514,-3.4640956,-3.467084,-3.553552,-3.5619116,-3.5735586,-3.652165,-3.6688664,-3.6753206,-3.687532,-3.691849,-3.7106118,-3.7128463,-3.7798848,-3.8239594,-3.8282006,-3.8985796,-3.9216113,-4.000937
2;0;214826619,214826615,214826612,214821300,214826617,214791684,214717877,214826621,214826998,214819562,214821401,214717286,214826876,214826872,214573290,214748261,214826927,214826934,214690110,214826908,214640017,214712507,214712126,214826837,214554272,214573277,214717562,214837487,214827007,214743354,214753515,214716902,214827002,214606805,214606790,214553844,214826932,214650598,214826925,214581482,214827009,214821339,214827005,214676962,214573288,214819374,214561402,214586711,214821315,214559563;-0.8920831,-1.0197792,-1.0370677,-1.1666821,-1.1846629,-1.5971655,-1.9486495,-1.9820484,-2.5957491,-2.6168725,-2.6297784,-2.6495752,-2.8047152,-2.8648636,-2.8774853,-2.9560454,-2.9630723,-3.0697474,-3.0737836,-3.0955179,-3.1964345,-3.206416,-3.2369108,-3.2742403,-3.3282084,-3.3501167,-3.3879132,-3.4194179,-3.4419415,-3.444936,-3.4869604,-3.511023,-3.548453,-3.595845,-3.5990434,-3.60822,-3.6116827,-3.6354096,-3.642782,-3.7075994,-3.7501001,-3.768381,-3.7949073,-3.8116398,-3.835889,-3.841764,-3.8576922,-3.872712,-3.8771791,-3.891512
2;0;214821300,214826617,214826615,214826619,214826612,214826621,214791684,214821401,214826998,214717286,214826876,214717877,214826927,214586711,214717562,214826908,214826872,214826837,214690110,214640017,214837487,214712126,214827009,214826934,214716902,214827002,214821339,214753515,214821341,214748261,214821305,214827007,214821315,214573290,214827015,214826925,214712507,214711280,214821309,214819562,214718210,214842450,214827005,214573277,214551613,214587028,214838831,214821307,214837485,214826932;-1.3233868,-1.7316579,-1.7439953,-1.8019825,-1.8967273,-2.3367426,-2.486737,-2.5612905,-2.571439,-2.625151,-2.7795522,-2.8020303,-2.8416002,-2.9040244,-2.929226,-2.9382505,-2.9392142,-2.9984078,-3.0377755,-3.0427055,-3.081881,-3.0863671,-3.1551387,-3.1637337,-3.168908,-3.1934376,-3.2338462,-3.254616,-3.3009899,-3.3136618,-3.3243864,-3.3520033,-3.3800957,-3.3871615,-3.417814,-3.4370892,-3.47296,-3.5045583,-3.5148184,-3.5220656,-3.5804162,-3.5972416,-3.603547,-3.6130872,-3.6264527,-3.6379914,-3.6468086,-3.7138152,-3.7197995,-3.760085
4;0;214836761,214836765,214684513,214691426,214836080,214838100,214841060,214840378,214836073,214839373,214833802,214691390,214833800,214826955,214839313,214691428,214587915,214691396,214691293,214836752,214826606,214821275,214820842,214662819,214710309,214836770,214826627,214536317,214826705,214826799,214691332,214676580,214691267,214717003,214585395,214535621,214826835,214821277,214821290,214716928,214826893,214737337,214716982,214836407,214586923,214826801,214717007,214602605,214537037,214716935;-1.9355183,-2.8751023,-3.2044952,-3.59097,-3.6193078,-3.7861662,-3.8057506,-3.815129,-3.9262679,-3.9789627,-4.075164,-4.3644147,-4.407662,-4.556328,-4.630394,-4.8632793,-4.8648434,-4.8737082,-4.8812804,-4.9214096,-4.9709125,-4.997051,-5.1124825,-5.1145225,-5.1866207,-5.2524137,-5.321042,-5.333581,-5.3948927,-5.4186773,-5.460788,-5.4752383,-5.5292716,-5.556238,-5.706966,-5.7459016,-5.8075666,-5.8472633,-5.903654,-5.920289,-5.9535394,-5.954433,-5.985664,-6.0879197,-6.138028,-6.145697,-6.1495667,-6.200713,-6.26334,-6.275335
21;0;214838503,214712107,214696434,214832559,214819427,214601197,214832557,214537967,214744530,214819528,214717003,214828867,214714880,214840762,214509013,214820938,214819552,214508563,214709792,214718220,214584920,214829282,214712272,214640893,214821309,214559660,214587915,214684513,214820842,214821017,214716982,214695075,214820942,214545935,214821296,214839311,214717007,214545939,214716658,214826810,214821013,214821380,214820450,214687685,214717888,214706205,214509000,214839902,214819547,214717331;-1.0656285,-1.1004424,-3.6626673,-4.155492,-4.20272,-4.281744,-4.2958016,-4.7068567,-4.779289,-4.8061543,-4.922081,-4.9297447,-4.9650736,-4.979142,-4.99054,-5.2036796,-5.336413,-5.3615227,-5.3962736,-5.398154,-5.481171,-5.4927335,-5.5016913,-5.51757,-5.585292,-5.590737,-5.6103516,-5.6356106,-5.6491237,-5.7288685,-5.764854,-5.806776,-5.82614,-5.8295407,-5.8605647,-5.9141183,-5.916444,-5.9225426,-5.928296,-5.932871,-5.9420376,-5.957722,-5.967994,-6.005887,-6.007121,-6.0539007,-6.054959,-6.060237,-6.066669,-6.0738797
