SessionId;Position;Recommendations;Scores
1;0;214536502,214709690,214820201,214709634,214705745,214706216,214709645,214821279,214709653,214829737,214844297,214705757,214774685,214820842,214642560,214835405,214820192,214706441,214840419,214820195,214826623,214703790,214712402,214685795,214821272,214829312,214819490,214681091,214829741,214827020,214699301,214840412,214699213,214708367,214551913,214708370,214687685,214820240,214709685,214630042,214581690,214820182,214540597,214537037,214534704,214820237,214839909,214702749,214537775,214840378;9.55925,9.493687,8.974573,7.1959887,7.021887,6.701044,6.6677713,6.5811815,6.1483636,6.0544643,5.9090114,5.906004,5.8401403,5.8246074,5.804756,5.785907,5.7813916,5.7283263,5.610567,5.5377913,5.352886,5.258162,5.1970377,5.1555796,5.091558,5.0720825,5.0194006,4.9024105,4.8261037,4.7900476,4.7859592,4.7567463,4.7109694,4.5831327,4.574324,4.529712,4.4276276,4.4275618,4.425792,4.3778,4.366217,4.3555923,4.3482876,4.338918,4.3039384,4.2890387,4.2824855,4.2613544,4.2503376,4.1861477
1;0;214536502,214709690,214820201,214709634,214705745,214709645,214844297,214706216,214821279,214820842,214709653,214829741,214821272,214708370,214829312,214640094,214826900,214827020,214581690,214685795,214820192,214552080,214708367,214839909,214705757,214702747,214819490,214708303,214820195,214746386,214820942,214586692,214686043,214642560,214551913,214821298,214840378,214826623,214681091,214551917,214551581,214630042,214701825,214656382,214827030,214829737,214840419,214687685,214552117,214712402;5.555025,5.471987,5.0509543,4.4047813,4.2215977,4.098832,4.083049,3.9835138,3.8221579,3.6253595,3.588233,3.424046,3.366258,3.3593123,3.2338307,3.2213244,3.172176,3.1119878,3.1112041,3.081273,3.0518107,3.0469475,3.0033932,3.001614,2.926289,2.922009,2.8344994,2.741285,2.6781092,2.6654718,2.6521096,2.6507092,2.6411266,2.615916,2.5909,2.587638,2.572382,2.545339,2.5428684,2.538313,2.538191,2.5259347,2.517635,2.5080857,2.5031118,2.4874766,2.4520783,2.4173424,2.3856654,2.3730311
1;0;214829679,214508852,214826700,214552080,214508475,214829741,214640893,214748285,214586949,214538467,214840946,214508942,214538469,214538231,214836975,214708370,214835885,214718274,214842296,214695347,214552117,214596114,214601805,214582952,214834862,214540035,214842425,214536392,214820942,214684717,214744530,214537935,214829692,214664756,214596103,214705757,214718272,214836320,214554765,214586692,214509002,214842380,214826801,214557041,214702747,214580801,214706458,214753505,214536506,214826897;2.6542835,2.3630745,2.3144083,2.2649078,2.246305,2.2327228,2.1940825,2.1358824,2.0895488,1.989621,1.9893253,1.9580669,1.9533093,1.9424691,1.9052188,1.8893635,1.8796301,1.7600471,1.7482324,1.7307496,1.7000288,1.691039,1.6836127,1.6520917,1.6261925,1.6224996,1.601701,1.5794977,1.5760174,1.5744408,1.5427094,1.4819353,1.4796159,1.4760532,1.4686142,1.4646752,1.4521968,1.4487865,1.4433362,1.4390831,1.4375881,1.4338449,1.4208282,1.4167963,1.4090858,1.3985817,1.390939,1.378027,1.3773535,1.3764235
2;0;214612706,214662742,214821313,214548744,214587028,214821315,214820201,214821401,214612708,214532072,214821309,214743335,214827002,214716932,214826932,214613743,214709690,214821300,214821339,214551617,214821305,214533022,214553936,214826927,214551607,214551626,214800262,214753515,214826934,214844357,214826837,214826872,214540597,214826912,214838831,214717877,214821341,214686043,214748334,214536399,214836129,214601407,214558192,214705745,214826908,214612721,214536502,214584962,214829310,214821307;5.1112537,4.4251204,4.0716176,4.0198364,3.9605908,3.9093962,3.8664696,3.8493216,3.7737062,3.6633315,3.6402893,3.6353335,3.6179693,3.6139946,3.5899968,3.5876088,3.5874224,3.5860643,3.5517716,3.5309353,3.5144384,3.3781285,3.363729,3.36244,3.3492756,3.3318815,3.3272922,3.320047,3.2967305,3.2710514,3.1789033,3.1522844,3.1036272,3.102168,3.0936027,3.0629802,3.0366564,3.0279264,3.0204697,3.0180705,3.0048409,2.9805155,2.9567428,2.9370608,2.9219565,2.9151816,2.9150667,2.9139948,2.8947384,2.8859322
2;0;214612706,214662742,214821313,214548744,214587028,214821315,214820201,214821401,214612708,214532072,214821309,214743335,214827002,214716932,214826932,214613743,214709690,214821300,214821339,214551617,214821305,214533022,214553936,214826927,214551607,214551626,214800262,214753515,214826934,214844357,214826837,214826872,214540597,214826912,214838831,214717877,214821341,214686043,214748334,214536399,214836129,214601407,214558192,214705745,214826908,214612721,214536502,214584962,214829310,214821307;5.5960426,4.8448324,4.4578,4.401108,4.3362427,4.2801924,4.2331944,4.2144203,4.131633,4.010789,3.9855614,3.9801352,3.9611242,3.9567728,3.9304986,3.927884,3.9276803,3.9261932,3.888648,3.8658357,3.8477738,3.6985357,3.6827698,3.6813586,3.666946,3.6479015,3.642877,3.634945,3.609417,3.5813022,3.4804142,3.4512706,3.3979983,3.396401,3.387023,3.353496,3.3246756,3.3151171,3.3069534,3.304327,3.2898421,3.2632093,3.2371821,3.2156334,3.199097,3.191679,3.191553,3.1903799,3.1692972,3.1596556
2;0;214705757,214821313,214587028,214709690,214820201,214821305,214826619,214829737,214826932,214613743,214582387,214826934,214821339,214612708,214709645,214821341,214821309,214672963,214709634,214821300,214829310,214612706,214548744,214753515,214826927,214826837,214811752,214703790,214601407,214774685,214705745,214536502,214838831,214584815,214819490,214836748,214840419,214820252,214717097,214534704,214835405,214748285,214820439,214600502,214539110,214825110,214821401,214612785,214826912,214711297;5.2950964,5.0804615,4.9415646,4.843876,4.580949,4.4950647,4.3404493,4.3335495,4.2794304,4.1589875,4.0812902,4.0640616,4.030716,3.9810438,3.956282,3.9454646,3.931917,3.9119637,3.8692083,3.826361,3.806288,3.7929783,3.7880354,3.7756922,3.7709534,3.7609859,3.7436562,3.716443,3.694641,3.6615553,3.628802,3.5955963,3.5602832,3.5284984,3.454272,3.454055,3.4167385,3.3845472,3.375667,3.370206,3.3329804,3.328174,3.3099813,3.3030999,3.3001018,3.2984788,3.233036,3.2287807,3.2154205,3.204485
2;0;214705757,214826619,214826932,214587028,214821313,214829737,214821305,214709690,214826615,214825110,214826934,214613743,214821341,214826621,214636498,214821300,214711297,214826617,214829310,214539110,214709645,214601407,214508942,214586949,214826837,214826927,214744530,214826612,214717562,214582387,214835405,214690110,214709634,214580302,214837442,214753515,214811752,214820201,214748285,214672963,214703790,214612708,214551913,214587915,214819490,214587860,214718274,214826908,214826897,214827028;4.5595727,4.3914127,3.5412793,3.4631844,3.4588895,3.4339843,3.4103749,3.2901263,3.2800717,3.2528605,3.24458,3.238352,3.179609,3.135597,3.1078744,3.0883496,3.0779762,3.0130339,2.972098,2.9285922,2.9177651,2.9117808,2.900579,2.900047,2.8992152,2.8616164,2.7564936,2.7461743,2.7430973,2.7255354,2.7230942,2.6682186,2.6639962,2.6448686,2.624887,2.6047437,2.5844083,2.5842247,2.579307,2.5744207,2.551428,2.5284717,2.5207276,2.5118701,2.511639,2.4847145,2.473706,2.46153,2.4282284,2.4188197
2;0;214826619,214821305,214821341,214821313,214586949,214705757,214508942,214613743,214826934,214826932,214711297,214826615,214826621,214703790,214536697,214840760,214587028,214539110,214612708,214601407,214821300,214827009,214829310,214636498,214551626,214821309,214695285,214826617,214690110,214835405,214709690,214753515,214826837,214718274,214840762,214837442,214827011,214826927,214825110,214821339,214842380,214551594,214829737,214826874,214826912,214828987,214826908,214744530,214584962,214837490;3.135014,2.9367845,2.8920858,2.8430755,2.764224,2.7503614,2.7207775,2.6742082,2.5674696,2.5118546,2.4951587,2.4876566,2.4782107,2.474308,2.4441118,2.4413357,2.4093373,2.3807793,2.371323,2.3565197,2.3473272,2.2476606,2.2200177,2.2122178,2.181746,2.171296,2.1340806,2.1310077,2.1058786,2.0993888,2.0972428,2.0839334,2.0721934,2.0659804,2.0635111,2.0331426,2.0289922,2.0217435,1.9974048,1.9905211,1.969053,1.9632199,1.9518813,1.9445933,1.9326792,1.9258697,1.9052734,1.9024274,1.8911052,1.8892446
4;0;214836765,214836761,214841060,214684513,214836073,214691426,214839373,214691390,214691293,214691428,214691267,214560187,214826810,214716984,214716932,214826801,214820201,214835885,214709690,214840378,214716935,214662819,214737337,214587864,214829285,214536440,214829741,214587860,214510044,214826897,214691396,214820842,214839780,214540597,214582387,214691319,214537037,214833800,214537967,214744530,214691255,214826606,214586923,214587915,214826700,214556840,214691366,214612785,214681091,214600502;8.835566,7.4037743,6.1786404,6.0470104,5.8677516,5.763597,5.682346,5.677434,5.4295454,5.0857086,4.603304,4.4220552,4.364412,4.3617473,4.3246975,4.2934227,4.2397156,4.198118,4.146107,4.101019,4.083249,4.072443,4.0152903,4.0026917,3.9742966,3.951748,3.928165,3.917798,3.8789794,3.8694222,3.7856143,3.7663946,3.7176242,3.6774163,3.6591382,3.6419058,3.6245747,3.614315,3.5784202,3.5421972,3.5309827,3.485503,3.4564972,3.4546964,3.4240494,3.4052844,3.3917155,3.367345,3.3644595,3.3397877
21;0;214838503,214712107,214601197,214820450,214840762,214821013,214587005,214668596,214537967,214587013,214556840,214546102,214508942,214826747,214668590,214534704,214706205,214509013,214836407,214829312,214684115,214685795,214601040,214712272,214686086,214840410,214746386,214583190,214832557,214829282,214708044,214684093,214717888,214587384,214819393,214828867,214594680,214586983,214545935,214536697,214840415,214561477,214699888,214774685,214587898,214553730,214509000,214696434,214601462,214821011;9.015534,7.563623,6.218442,6.0344696,5.841711,5.4317784,4.9528017,4.9316278,4.841669,4.7598934,4.7430058,4.689341,4.651101,4.6337843,4.5265245,4.471337,4.466981,4.4559536,4.429462,4.3397126,4.3308487,4.3021727,4.2938695,4.2573247,4.257065,4.225568,4.190251,4.1744356,4.1529465,4.104784,4.0905695,4.0665073,4.060261,4.029648,4.0238194,4.012453,3.9914966,3.988842,3.9710188,3.9570582,3.9553792,3.9488015,3.9369426,3.9368203,3.9274735,3.8964279,3.8786664,3.8669834,3.836976,3.8345637
