SessionId;Position;Recommendations;Scores
1;0;214536502,214577567,214839909,214820201,214587915,214839902,214709634,214705745,214709653,214545879,214717331,214546102,214709690,214840762,214819490,214537967,214540597,214821313,214839907,214827024,214821309,214821272,214586711,214536489,214699301,214840417,214687685,214702749,214820195,214706205,214774685,214821279,214836341,214701242,214696434,214820842,214578247,214827028,214827022,214829737,214829312,214708370,214821341,214840415,214840410,214821315,214536500,214821305,214709645,214820225;11.448138,9.947971,9.920961,9.49968,8.504612,8.383119,8.361362,8.333758,8.121951,8.085577,8.079737,8.05378,7.92456,7.6879077,7.6459618,7.593791,7.572044,7.5426736,7.5262113,7.4235377,7.385912,7.382965,7.3464055,7.3434677,7.32842,7.3150206,7.225896,7.224869,7.208255,7.204245,7.1935053,7.152693,7.132214,7.094982,7.087634,7.0817785,7.0778575,7.0752254,7.0717535,7.0434117,7.010973,7.0011764,6.984676,6.9778333,6.9763103,6.9507284,6.9464607,6.9122357,6.9082055,6.9040833
1;0;214536500,214536489,214839909,214577567,214536502,214578247,214820201,214536607,214577572,214536506,214705745,214696305,214696262,214536532,214709653,214696303,214709690,214536581,214536613,214716167,214696130,214561603,214536523,214578242,214835336,214717331,214696312,214537967,214577604,214821272,214706441,214836341,214820415,214708170,214839902,214578285,214839907,214586711,214577593,214577600,214536615,214577587,214709634,214811752,214577578,214578298,214821341,214545879,214551613,214586610;12.195706,11.602549,11.441976,11.32218,11.292627,11.109295,10.115706,9.937979,9.445093,9.334991,9.257984,9.134724,8.824317,8.780802,8.733434,8.499233,8.439915,8.313896,8.2758,8.07284,8.040619,7.9611073,7.934901,7.865864,7.8215528,7.733333,7.7154527,7.5855827,7.531616,7.431206,7.423166,7.4086075,7.2997227,7.2549343,7.2490034,7.181528,7.177026,7.0769997,7.030285,7.0043855,6.899125,6.878438,6.8413076,6.837698,6.8211493,6.791257,6.739519,6.732276,6.712029,6.705962
1;0;214536500,214536506,214578247,214536489,214839909,214577567,214696130,214561603,214536502,214536607,214577572,214820201,214696305,214536532,214536613,214708170,214696262,214696303,214716167,214705745,214709653,214696312,214709690,214536581,214536523,214578298,214577604,214753507,214536557,214578234,214578242,214577587,214714790,214578245,214577600,214577593,214577578,214835336,214716125,214677971,214537967,214551613,214706441,214829679,214578144,214821313,214536547,214586610,214586645,214602268;12.168867,12.020372,11.886129,11.168482,10.665922,9.99893,9.868582,9.520697,9.513111,9.490255,9.47,9.323228,8.829406,8.600334,8.28417,8.272356,8.057945,7.9471574,7.943955,7.829252,7.64525,7.549751,7.5275474,7.4633446,7.417379,7.351191,7.303316,7.279306,7.226428,7.1979723,7.13863,7.0768285,7.0382004,7.003059,6.9395,6.8879366,6.846114,6.779795,6.7589035,6.6251526,6.553215,6.520012,6.4143524,6.368286,6.3162894,6.303133,6.256965,6.2407546,6.2221518,6.214425
2;0;214662742,214826927,214743335,214821300,214748334,214753515,214800262,214826619,214717562,214826998,214826908,214821305,214826837,214826934,214826876,214842450,214826872,214826615,214821315,214579288,214826932,214821401,214839313,214640017,214717331,214826621,214553604,214764281,214827015,214717286,214744775,214826617,214842577,214716902,214840775,214842575,214821339,214838831,214711297,214744530,214574672,214535621,214826799,214586711,214696897,214553936,214746427,214718396,214820415,214827017;11.896612,10.432064,10.073845,9.586709,9.534319,9.463009,9.372936,9.083879,8.781745,8.772933,8.690072,8.647501,8.638421,8.467532,8.447548,8.330496,8.309019,8.285603,8.283199,8.187544,8.111964,8.0594225,8.057453,8.033501,8.025674,8.024785,8.016828,7.9783382,7.9102435,7.910071,7.8841257,7.847554,7.838462,7.8285775,7.818971,7.808827,7.78718,7.7271976,7.7166643,7.6055503,7.513155,7.5033383,7.461367,7.4612994,7.4606166,7.4276605,7.417225,7.404644,7.3610864,7.3369446
2;0;214662742,214826927,214743335,214748334,214800262,214821300,214753515,214826619,214842450,214826908,214717562,214821305,214826837,214826998,214826934,214764281,214840775,214842575,214826876,214842577,214826615,214821315,214826872,214717331,214717286,214821401,214826932,214640017,214827015,214826621,214579288,214716902,214553604,214744775,214827017,214820415,214691681,214711297,214574672,214744530,214839313,214826617,214838831,214821339,214746427,214696897,214712137,214535621,214718396,214553936;12.520489,10.372793,10.250983,9.846413,9.7120285,9.472851,9.379809,9.174869,9.009209,8.981514,8.921778,8.831114,8.789791,8.749328,8.656418,8.5513735,8.499433,8.413776,8.387552,8.381504,8.36581,8.279624,8.269216,8.257668,8.189067,8.175528,8.140375,8.126607,8.036753,8.00045,7.9991217,7.996579,7.9673014,7.807157,7.7952094,7.7836113,7.75673,7.696714,7.6947045,7.6878877,7.6762424,7.629404,7.6241665,7.621685,7.589491,7.563718,7.536106,7.5227604,7.5007563,7.479213
2;0;214825110,214821300,214826619,214826615,214662742,214842450,214826927,214842575,214748334,214826998,214826908,214840775,214743335,214842577,214821305,214821401,214821339,214800262,214826612,214826617,214718210,214826621,214827015,214826837,214753515,214711280,214712126,214717562,214821309,214827002,214821315,214764281,214717877,214838831,214746427,214711297,214839313,214744775,214712124,214690110,214829310,214769006,214826872,214826876,214826934,214716902,214691426,214757390,214757379,214821341;10.479912,9.917917,9.899727,9.897407,9.877224,9.877208,9.395409,9.16472,9.123517,9.091739,9.058252,8.922038,8.882135,8.8292885,8.783066,8.729039,8.691589,8.659943,8.653332,8.626625,8.576434,8.525824,8.50969,8.477069,8.47508,8.409018,8.380024,8.367941,8.367609,8.36047,8.33603,8.264311,8.244209,8.166645,8.116771,8.085776,8.063452,7.973761,7.9737425,7.9610605,7.942168,7.9281483,7.926303,7.7614093,7.738867,7.736879,7.71518,7.7115955,7.7080536,7.7014403
2;0;214825110,214757390,214826615,214826619,214826612,214821300,214842450,214826617,214757379,214826998,214826621,214842575,214821401,214717877,214827015,214827002,214826908,214826837,214842577,214746427,214840775,214711280,214712126,214769006,214690110,214718210,214662742,214712124,214554982,214753515,214821339,214821309,214640017,214716902,214764281,214827009,214711297,214717562,214826872,214826927,214821305,214757407,214691426,214826876,214759040,214821315,214717286,214827007,214826036,214749941;11.432084,10.920239,10.129743,10.08975,9.55217,9.281374,9.231401,9.119485,8.848528,8.8149,8.763291,8.749744,8.503563,8.277117,8.257954,8.204919,8.191667,8.095869,8.083035,8.018766,7.9955263,7.936922,7.8839397,7.8655763,7.858105,7.80395,7.794421,7.7098026,7.663733,7.6230445,7.611223,7.5530977,7.4954743,7.479952,7.4491324,7.4243474,7.3801413,7.318305,7.316903,7.257751,7.2528696,7.2455883,7.242955,7.2130346,7.150016,7.118332,7.1111035,7.103344,7.077138,7.076775
2;0;214757407,214757379,214825110,214757390,214821300,214826615,214746427,214826612,214842450,214842575,214760897,214826998,214826619,214842577,214753515,214826912,214821401,214601407,214826617,214558192,214840775,214821339,214684845,214826621,214827002,214577518,214718210,214826925,214827009,214827007,214828987,214711438,214827005,214837487,214651427,214826837,214711310,214834865,214838831,214662742,214744775,214684841,214821309,214718396,214827015,214826908,214662759,214711280,214769006,214676070;11.263523,10.349729,10.344788,9.399921,8.855396,8.773289,8.640998,8.529765,8.527279,8.478254,8.386814,8.295723,8.194972,8.055923,8.0291195,7.9852586,7.9043427,7.900202,7.860039,7.595305,7.589298,7.504923,7.475706,7.4423566,7.428029,7.413785,7.3861485,7.320897,7.316459,7.3032513,7.27348,7.255842,7.2523446,7.218297,7.206106,7.1810293,7.127262,7.122306,7.1222963,7.1168633,7.075683,7.0559015,7.039828,7.034822,7.020725,7.000614,6.977182,6.9683,6.9629693,6.890674
4;0;214836765,214836761,214684513,214836073,214840378,214841060,214839373,214535621,214836770,214839313,214662819,214826705,214826801,214836080,214836752,214710309,214833800,214691390,214833802,214826810,214717003,214536317,214691426,214691293,214826715,214826955,214826835,214826803,214550863,214587915,214820842,214838503,214712235,214716924,214820261,214826627,214585395,214838100,214576500,214826606,214586923,214691267,214508942,214737337,214744530,214594678,214716982,214717007,214826702,214826700;11.364799,11.164627,9.491224,9.490882,8.729275,8.72567,8.656065,8.536427,8.535994,8.51698,8.426068,8.336893,8.207802,8.148176,8.0921335,8.078919,7.9542317,7.921938,7.8854322,7.7919116,7.7349787,7.625003,7.6097436,7.532688,7.305172,7.267684,7.232518,7.2044063,7.143056,7.1324735,7.129278,7.1113753,7.059964,7.033055,6.9929485,6.9567204,6.950977,6.9409766,6.909947,6.907075,6.882847,6.8612576,6.849858,6.834088,6.79665,6.7663174,6.7278976,6.7087917,6.651787,6.6453133
21;0;214838503,214712107,214840762,214828867,214601197,214508563,214696434,214509013,214832557,214819427,214509000,214587915,214709792,214684513,214820842,214640893,214571904,214829312,214587384,214718203,214537967,214829282,214509041,214717003,214819528,214821011,214717007,214705115,214832672,214821024,214684093,214712272,214508942,214718160,214708372,214581761,214717046,214601040,214587013,214572264,214821390,214561475,214559660,214819552,214695075,214840483,214716984,214839313,214832559,214716982;12.551505,11.24315,8.86361,8.654562,8.412119,8.293556,8.264354,8.051391,8.0091095,7.9584656,7.834342,7.772199,7.6214247,7.621276,7.567259,7.459485,7.4148636,7.3948884,7.3747993,7.274932,7.155918,7.1474123,7.139887,7.1325135,7.096301,7.070981,7.066112,7.062141,7.052032,7.0423684,6.989853,6.9773855,6.965847,6.946296,6.9134045,6.9072027,6.9050384,6.9029245,6.8890295,6.870692,6.8407273,6.8342357,6.833062,6.8268294,6.79166,6.7834845,6.743454,6.721155,6.7158356,6.7023845
