SessionId;Position;Recommendations;Scores
11255731;0;214696432,214595855,214545879,214691231,214602240,214691372,214684721,214601244,214696430,214535649,214838977,214596602,214691321,214829803,214587911,214587937,214596135,214512482,214838975,214596152,214516194,214516196,214696708,214853094,214691426,214836827,214602249,214534340,214691531,214555237,214601250,214516181,214532038,214601570,214545932,214852978,214587915,214583610,214700621,214602225,214840740,214820844,214684712,214531153,214554317,214596382,214853282,214586846,214691462,214679010;13.31934,12.574274,10.033886,9.60965,8.272844,8.047215,8.032151,8.0124445,7.964575,7.9371166,7.9319773,7.8980722,7.836834,7.8005853,7.796438,7.781678,7.7463284,7.6578674,7.657522,7.6367083,7.530386,7.5296965,7.471781,7.3567853,7.356743,7.324461,7.298852,7.2659717,7.227825,7.2128325,7.182396,7.178078,7.083821,7.060478,7.003093,6.969555,6.9411464,6.9374123,6.8759956,6.845628,6.8169584,6.798851,6.765428,6.7426004,6.7188125,6.715567,6.6529975,6.6496615,6.6433434,6.62151
11255731;0;214696432,214595855,214545879,214691231,214691372,214684721,214696430,214602240,214601244,214596135,214535649,214691321,214838977,214838975,214829803,214596602,214516196,214512482,214691426,214587911,214516194,214596152,214684712,214602249,214691462,214696708,214691531,214679010,214601570,214516181,214545932,214700621,214532038,214587937,214601250,214836827,214596133,214602225,214587954,214534340,214602253,214840740,214586814,214596382,214554317,214555237,214584977,214538439,214587915,214691510;13.910988,13.178298,10.623747,10.373096,8.874829,8.860968,8.744491,8.658067,8.6526575,8.627992,8.619328,8.523994,8.308244,8.277133,8.229158,8.228188,8.155333,8.10933,8.084784,8.064896,8.042053,7.868185,7.737379,7.6921835,7.619609,7.6065598,7.573406,7.517462,7.4964275,7.462708,7.419963,7.4192524,7.3987646,7.335568,7.3202953,7.2963037,7.274292,7.2388015,7.182011,7.1339087,7.1310387,7.1243634,7.0972624,7.082074,7.033327,7.030288,7.027237,7.0221143,7.010383,6.992162
11255758;0;214820345,214853730,214555500,214854540,214853707,214835111,214851137,214854527,214680467,214848849,214748334,214853698,214800262,214838225,214853700,214853767,214836330,214687905,214853702,214577355,214543922,214848997,214853709,214852978,214706102,214572452,214849312,214662731,214695525,214851013,214853722,214586432,214716110,214854298,214844347,214684785,214563337,214854538,214844413,214854118,214851236,214854352,214572448,214800268,214851122,214845806,214845986,214850788,214708307,214848159;13.703392,12.66824,12.050638,10.861964,10.594678,10.483002,10.319618,10.304995,10.089353,9.778675,9.753618,9.687627,9.686594,9.578148,9.455528,9.367567,9.354059,9.286785,9.283285,9.27779,9.269014,9.254199,9.24725,9.190599,9.187528,9.173078,9.13449,9.111588,9.081264,9.026304,8.992149,8.951963,8.92037,8.869143,8.858412,8.834801,8.828501,8.747236,8.715726,8.714327,8.704191,8.6690445,8.659354,8.658155,8.657596,8.654334,8.643221,8.6366005,8.631268,8.620168
11255758;0;214820345,214854540,214853730,214555500,214835111,214854527,214800262,214748334,214851137,214848849,214680467,214662731,214577355,214543922,214836330,214838225,214853707,214848997,214854298,214854352,214586432,214851099,214854538,214853698,214800268,214853732,214563337,214853700,214743335,214716110,214850788,214845806,214853767,214854515,214844413,214845583,214853702,214853724,214851122,214706102,214753515,214854495,214744775,214743495,214854517,214845131,214853709,214846007,214820400,214820199;13.752792,13.381632,13.241032,13.087244,11.229409,10.932856,10.785744,10.70309,10.55724,10.305961,10.033682,10.031331,9.987661,9.938762,9.931535,9.823894,9.744435,9.678615,9.672634,9.64051,9.586283,9.521755,9.503577,9.479919,9.460194,9.42808,9.370335,9.343945,9.317966,9.317416,9.286218,9.2830305,9.254895,9.228033,9.137372,9.134691,9.127804,9.117598,9.0612755,9.023377,8.982986,8.871155,8.864084,8.839214,8.836103,8.789232,8.789105,8.728756,8.711444,8.660179
11255819;0;214546027,214546025,214546022,214546018,214546029,214645177,214686069,214686527,214686067,214686071,214837877,214546031,214686073,214555237,214546121,214645207,214545836,214546119,214545825,214712323,214546117,214546123,214577415,214702708,214702796,214865462,214686062,214545838,214712375,214829822,214695071,214865460,214552106,214546012,214545879,214712349,214601435,214684044,214829312,214540691,214541355,214854553,214645211,214546097,214840571,214702721,214545823,214712334,214829760,214587937;14.540087,13.636824,13.535662,12.798418,12.616751,12.352329,11.736759,11.556833,11.461243,11.382088,11.371181,11.209925,10.001605,9.331284,9.216114,8.936673,8.753878,8.738997,8.696545,8.532532,8.506174,8.501087,8.470108,8.444903,8.311327,8.307859,8.292503,8.287549,8.263584,8.233379,8.155775,8.149643,8.100661,8.098758,8.081695,8.057598,8.019464,7.992924,7.984906,7.957974,7.92141,7.866638,7.8074684,7.7971478,7.794507,7.683281,7.6298523,7.617424,7.5930634,7.564536
11255819;0;214545879,214546022,214546027,214546025,214546018,214546029,214686527,214686069,214545881,214837877,214535649,214545838,214645177,214555237,214686067,214829822,214696772,214851146,214696432,214546031,214545932,214546117,214570547,214686071,214865460,214853218,214541355,214686062,214695797,214546121,214546123,214545825,214546097,214546119,214595855,214545806,214545851,214583610,214574777,214686005,214587937,214552106,214827020,214545821,214577415,214684721,214677997,214829760,214535653,214677875;12.270262,11.637783,11.1744995,10.897984,9.711263,9.653919,9.640354,9.638808,9.632374,9.584235,9.560509,9.476549,9.345396,9.336374,9.10314,9.093164,8.957192,8.955567,8.883711,8.819009,8.79228,8.781134,8.749554,8.738719,8.640581,8.61668,8.562503,8.561796,8.52233,8.458745,8.457366,8.446755,8.432125,8.418108,8.412716,8.378812,8.363179,8.328012,8.266838,8.260801,8.25521,8.254885,8.240865,8.227066,8.173477,8.170496,8.167031,8.163323,8.103125,8.077545
11255819;0;214545883,214545808,214545879,214546022,214853293,214545902,214540612,214550563,214686002,214829822,214685882,214545825,214545894,214546025,214569716,214774682,214546027,214545896,214677875,214678880,214545838,214686527,214851294,214574777,214686097,214836326,214546097,214677877,214545881,214853297,214550565,214850932,214540597,214827020,214696772,214686069,214540610,214540605,214545958,214686062,214712278,214695797,214685885,214853218,214545836,214540601,214837877,214700992,214545806,214545851;12.810931,11.486155,11.476033,11.046812,10.834179,10.206844,10.197936,10.162952,10.161497,10.136021,9.996947,9.957004,9.936621,9.874527,9.865359,9.793862,9.680321,9.674082,9.630562,9.532318,9.513374,9.484066,9.414734,9.38491,9.383594,9.351152,9.264368,9.247772,9.158593,9.14018,9.0877495,9.077934,9.067016,9.055206,9.040232,9.023729,9.013756,8.9842825,8.95975,8.941238,8.917915,8.901403,8.895525,8.884132,8.873027,8.816371,8.807508,8.787465,8.777848,8.742051
11255819;0;214545851,214853218,214582498,214712300,214545879,214545883,214509864,214820246,214535649,214684712,214584832,214864487,214546022,214537475,214545847,214545808,214686002,214545864,214550563,214545896,214684721,214685882,214853293,214827020,214538439,214545894,214540612,214829822,214677875,214577415,214545881,214834989,214582554,214545834,214545902,214696772,214545825,214546025,214677877,214545838,214677997,214550565,214851294,214545917,214545932,214546027,214686062,214569716,214686065,214696432;12.659731,12.495974,11.841423,11.579654,10.496773,9.889248,9.660987,9.538773,9.416782,9.300666,9.12535,9.051693,8.955908,8.933122,8.822945,8.733078,8.731262,8.648943,8.625235,8.477885,8.455122,8.228845,8.206714,8.203861,8.1537075,8.107546,8.082861,8.082665,8.056439,8.04777,7.9933233,7.987237,7.982061,7.9564724,7.936387,7.9266024,7.910429,7.856538,7.8221083,7.794457,7.7769394,7.7739906,7.752778,7.734998,7.6721306,7.6372604,7.6245403,7.613747,7.6124153,7.601053
11255819;0;214853218,214545851,214582498,214712300,214820246,214509864,214584832,214545879,214684712,214535649,214864487,214545847,214545864,214684721,214537475,214538439,214582554,214545883,214853282,214550563,214828989,214853259,214827020,214584834,214534642,214834989,214545932,214577415,214829822,214546022,214854022,214545834,214864485,214706473,214550565,214696432,214545917,214850321,214535653,214851294,214717320,214584836,214537483,214851062,214545881,214677875,214850932,214545808,214582513,214545896;13.634556,13.174812,12.273518,12.195892,10.756605,10.724846,10.131344,9.810324,9.620406,9.330853,9.3149,9.24996,9.204559,9.028245,8.673913,8.466987,8.349121,8.231694,8.073954,8.04474,7.998124,7.929971,7.913269,7.718189,7.7008657,7.674397,7.6503754,7.5922365,7.5613766,7.492195,7.480936,7.462365,7.421609,7.405959,7.372413,7.3329945,7.317203,7.3126802,7.303261,7.2806034,7.275782,7.2209406,7.2190933,7.2034945,7.202141,7.16475,7.150285,7.1373158,7.133478,7.106496
11255846;0;214851135,214687685,214836830,214840412,214846391,214854583,214642016,214846389,214848315,214687475,214716579,214642055,214556840,214840415,214642057,214840410,214848322,214702877,214774665,214557519,214850422,214642095,214827020,214642033,214851071,214849295,214642089,214545917,214829822,214836827,214554234,214827022,214839339,214642031,214709634,214667915,214717061,214574777,214583610,214854350,214829760,214850771,214848986,214717427,214551913,214725542,214849297,214774676,214851148,214545879;13.08655,12.823473,12.73059,11.511408,11.424194,10.806474,10.603195,9.839483,9.273958,9.2609005,9.239192,9.102749,9.052088,8.996423,8.783225,8.260269,8.216255,8.208047,8.199532,8.037338,7.9536824,7.7893353,7.762306,7.7241116,7.719729,7.4414306,7.3727236,7.360324,7.3534136,7.3133497,7.2928343,7.292427,7.2473927,7.2295313,7.1060486,7.060892,7.0163193,6.9566164,6.9507227,6.9110746,6.8688493,6.8528423,6.813698,6.808908,6.806404,6.781167,6.773878,6.747345,6.683803,6.6824293
