SessionId;Position;Recommendations;Scores
11255731;0;214696432,214595855,214545879,214691231,214535649,214684721,214679010,214691372,214691321,214691426,214684712,214691462,214691531,214564305,214840740,214538439,214691510,214677733,214853212,214696708,214691492,214584836,214587315,214848729,214691342,214601244,214516033,214516181,214537496,214584977,214691522,214545842,214545932,214652882,214691471,214838977,214512482,214602240,214601040,214582817,214601250,214680356,214828989,214853216,214516194,214557189,214820844,214516196,214746386,214687753;12.260578,11.432404,10.150359,9.241998,9.10235,8.737402,8.218788,8.200174,8.179756,7.7992406,7.781483,7.652888,7.4767046,7.353688,7.2413597,7.183649,6.9684815,6.956246,6.9422383,6.9342384,6.8511977,6.712875,6.678847,6.6524224,6.636378,6.539958,6.500665,6.494412,6.479785,6.4662147,6.417643,6.4171276,6.416735,6.3400826,6.3318734,6.2964926,6.279999,6.269985,6.2678246,6.2050004,6.195484,6.1775985,6.162373,6.1175895,6.095412,6.0864396,6.0838456,6.068341,6.046197,6.0286584
11255731;0;214696432,214595855,214545879,214691231,214535649,214684721,214691372,214691321,214679010,214691426,214691462,214684712,214564305,214691531,214538439,214840740,214677733,214691510,214696708,214853212,214587315,214691492,214848729,214584836,214516033,214545842,214584977,214691342,214652882,214537496,214582817,214545932,214601244,214691522,214516181,214601040,214838977,214567100,214848307,214691471,214828989,214512482,214557189,214602240,214853216,214687753,214820844,214531436,214850630,214516194;12.006305,11.163676,9.843878,9.1433,8.711665,8.581304,8.080228,8.070604,8.069793,7.6262345,7.53532,7.5008383,7.2982974,7.1909766,7.1108027,6.9118857,6.8541093,6.802195,6.785513,6.7718215,6.679212,6.6607676,6.5611534,6.518197,6.514602,6.4732366,6.4289374,6.395606,6.3302116,6.308633,6.294233,6.2826447,6.2554946,6.1950216,6.1587353,6.1533184,6.135398,6.0687447,6.05326,6.0514107,6.038908,6.0355678,6.0285177,6.0210752,6.011992,5.988088,5.9822054,5.9629836,5.929404,5.928367
11255758;0;214820345,214853730,214555500,214851137,214854540,214680467,214853707,214849312,214835111,214848849,214800262,214845986,214716110,214748334,214543922,214838225,214829366,214753515,214851581,214819760,214563337,214743335,214848997,214851122,214845583,214844413,214836330,214832780,214687847,214662731,214706102,214844347,214851133,214743495,214853767,214851077,214662692,214586432,214557701,214819380,214846007,214686547,214851236,214854152,214577355,214849395,214850788,214835469,214717562,214853724;11.67083,9.830508,9.406319,9.225486,8.994767,8.937003,8.791463,8.775982,8.692035,8.5684,8.406552,8.151912,8.149905,8.117141,8.079496,8.036828,7.915225,7.9001865,7.802082,7.796777,7.786609,7.7366242,7.7276917,7.717743,7.7082667,7.7068872,7.7043567,7.67792,7.6652746,7.6604843,7.657584,7.6192036,7.5519643,7.4819355,7.4555144,7.4512296,7.445604,7.4431887,7.4371963,7.4136734,7.400302,7.3995223,7.3614435,7.3379335,7.324864,7.3236337,7.321962,7.3075137,7.279716,7.2743196
11255758;0;214820345,214854540,214555500,214853730,214680467,214835111,214851137,214848849,214853707,214800262,214845583,214662731,214838225,214716110,214853724,214543922,214832780,214577355,214748334,214853732,214849312,214753515,214743335,214662692,214819760,214844413,214848997,214836330,214687847,214854527,214851122,214845986,214563337,214851581,214846007,214851099,214585644,214820199,214586432,214835469,214853698,214850735,214853767,214854352,214854152,214850788,214706102,214851133,214743495,214718385;11.102068,10.414583,9.737765,9.5286045,8.676613,8.645041,8.621827,8.387494,8.33473,8.219692,8.082753,7.942646,7.8978367,7.885026,7.882932,7.836056,7.8302298,7.792297,7.7619143,7.7066255,7.6009083,7.5756717,7.4961395,7.465383,7.458034,7.442889,7.4122066,7.409984,7.4054427,7.395566,7.3874917,7.317089,7.311501,7.2420683,7.206667,7.177423,7.1403437,7.104818,7.10069,7.09866,7.0767903,7.057708,7.040669,7.0322127,7.0288,6.980602,6.8742294,6.851063,6.8347487,6.820321
11255819;0;214546027,214546025,214546022,214546029,214546018,214546031,214686069,214686067,214686527,214686071,214645177,214837877,214645207,214686073,214645211,214546117,214554234,214702708,214677875,214774682,214546119,214527028,214829760,214545825,214546097,214587937,214712349,214851157,214686047,214555237,214686099,214551909,214530450,214774667,214702721,214712375,214686013,214541355,214645179,214546123,214677922,214644392,214686062,214696772,214850625,214550531,214652207,214678020,214545838,214827030;13.162702,12.627009,12.372029,11.436708,11.313099,11.111582,10.882437,10.665769,10.627642,10.5340185,10.352923,10.010094,9.497732,8.938698,8.4793,8.271597,8.126025,8.094336,8.026837,7.9453926,7.920406,7.872728,7.8608418,7.8099837,7.7962847,7.736812,7.597467,7.5535398,7.541139,7.5250397,7.520626,7.490757,7.4451623,7.3942585,7.3560157,7.350398,7.3400974,7.304357,7.293535,7.2651057,7.254475,7.252048,7.251862,7.2489495,7.245894,7.24155,7.217698,7.1976614,7.1568365,7.1268353
11255819;0;214545879,214545881,214546022,214570547,214851146,214696772,214587937,214686527,214546025,214546031,214546027,214837877,214853308,214686062,214686069,214774682,214554234,214545838,214535649,214834989,214541355,214546018,214540597,214527028,214686067,214677875,214535653,214839339,214546029,214829312,214574777,214546123,214601250,214546117,214537535,214686071,214716660,214853282,214584832,214850932,214686099,214582498,214583610,214849087,214851157,214838122,214702708,214509870,214695234,214829760;9.066205,8.824995,8.516492,8.203454,8.201063,7.9331326,7.746744,7.713175,7.709049,7.67762,7.6544714,7.637154,7.511366,7.4304404,7.329378,7.277817,7.2493687,7.103729,7.101031,7.0878396,7.066049,7.0539412,7.051681,6.9982457,6.9937334,6.9654617,6.9587526,6.9478674,6.9408703,6.935119,6.9274387,6.921963,6.913334,6.9116654,6.84124,6.783638,6.7767735,6.7461843,6.7380915,6.722722,6.7162924,6.705773,6.69197,6.6659884,6.6562552,6.6374617,6.631264,6.629967,6.6246285,6.624488
11255819;0;214545883,214545808,214695234,214545879,214545881,214853293,214545902,214696772,214851146,214545838,214540597,214570547,214774682,214836326,214678880,214851294,214685882,214545885,214686002,214540612,214545896,214550565,214686062,214540601,214569716,214545894,214550563,214695797,214850747,214836825,214714717,214677875,214546022,214545825,214545806,214686097,214695800,214850932,214540610,214853308,214587937,214677877,214851157,214686527,214686069,214717318,214563195,214541355,214546097,214853218;9.597858,8.395494,8.245316,8.001732,7.9347363,7.917008,7.497149,7.3845096,7.378733,7.3617997,7.3159184,7.246704,7.1989202,7.177112,7.053868,6.9448524,6.9418473,6.938982,6.9188075,6.893357,6.848863,6.8044257,6.7621913,6.7131176,6.7082267,6.6474566,6.6168056,6.5905786,6.583667,6.571972,6.5718184,6.563921,6.5564637,6.556253,6.545266,6.5444665,6.518753,6.510884,6.4990788,6.48899,6.4571652,6.434597,6.39893,6.333875,6.2570667,6.224432,6.204653,6.2022657,6.1636133,6.1550913
11255819;0;214545851,214853218,214582498,214712300,214584832,214853255,214820246,214545838,214696772,214684712,214545883,214540597,214550563,214509864,214545881,214540601,214854022,214717318,214509870,214545864,214685882,214537535,214550565,214644992,214545806,214853293,214695797,214696719,214582513,214545808,214545847,214537475,214836825,214853250,214545879,214836326,214853336,214516187,214540768,214686062,214509830,214851058,214717316,214851060,214834989,214853308,214584810,214695800,214853302,214545825;11.2144,11.093012,10.970777,10.852101,9.137277,8.983891,8.679485,8.531148,8.334697,8.244984,8.15386,8.034449,7.910759,7.888705,7.8492613,7.840316,7.784745,7.7637296,7.7608647,7.7328343,7.7163806,7.659577,7.6576133,7.6402287,7.6327405,7.5494146,7.414119,7.4051175,7.324919,7.323432,7.317239,7.2254744,7.205829,7.1775737,7.1476817,7.1418557,7.129284,7.1269455,7.1237626,7.1117306,7.072512,7.066763,7.065028,7.0611215,7.0084205,7.003977,6.9845366,6.9808655,6.9608984,6.958798
11255819;0;214853218,214545851,214712300,214582498,214853255,214584832,214820246,214684712,214509864,214853250,214545864,214545847,214684721,214509870,214854022,214545879,214582513,214537475,214584834,214509842,214535649,214537535,214696719,214534667,214582554,214696772,214534659,214545838,214840605,214537483,214545881,214644992,214556992,214534693,214717318,214717329,214699884,214540597,214679010,214702830,214680356,214538439,214535653,214702843,214509830,214702841,214717322,214834989,214545862,214853336;12.931233,12.245299,11.91759,11.599564,10.669708,10.575385,9.91698,9.879969,9.235996,8.944317,8.603061,8.584838,8.373074,8.340806,8.23758,7.734646,7.5984097,7.5571113,7.462897,7.3865557,7.311877,7.3053904,7.26801,7.254341,7.2457995,7.2346015,7.216948,7.2029705,7.1716003,7.1408257,7.1392603,7.133308,7.122048,7.106922,7.105972,7.075619,7.054979,7.0136943,6.982685,6.9478636,6.947023,6.931107,6.8800497,6.8722944,6.862153,6.8582563,6.824558,6.763192,6.749634,6.7209373
11255846;0;214851135,214687685,214836830,214840412,214642016,214846389,214846391,214854583,214556840,214840415,214854350,214848315,214642055,214642057,214687475,214642089,214848322,214716579,214851071,214840410,214774665,214738466,214642031,214851148,214642033,214642027,214702877,214557519,214554234,214849295,214748259,214642095,214716660,214717427,214725542,214827020,214587937,214545917,214827030,214587399,214527028,214551930,214851324,214851287,214706473,214574777,214550582,214575279,214850415,214644992;12.777707,12.258178,11.721091,11.133281,10.745449,10.205227,10.029295,9.495147,9.180681,9.154489,8.806237,8.48261,8.17004,8.166201,8.096664,7.732172,7.390404,7.370804,7.364538,7.2219515,7.155138,7.1387424,7.1082973,7.0770717,7.017281,6.9830647,6.960679,6.6020184,6.596278,6.588891,6.5361676,6.485464,6.473772,6.4107137,6.399025,6.384536,6.3696046,6.3318925,6.3132844,6.29375,6.273188,6.247911,6.2322326,6.2296996,6.225627,6.1816654,6.1451116,6.1099014,6.1096325,6.1049175
