SessionId;Position;Recommendations;Scores
1;0;214820201,214536502,214681091,214709634,214712402,214706441,214699301,214829737,214705757,214709690,214820842,214705745,214820240,214703790,214709685,214820225,214820195,214709645,214709653,214509000,214820237,214714790,214820182,214835405,214576500,214601407,214821272,214587028,214546102,214709735,214839909,214577567,214711333,214687685,214820192,214836407,214540597,214708367,214826702,214642560,214668590,214819490,214840378,214717331,214827030,214706216,214753691,214760897,214685795,214821298;7.471644,7.4261866,6.9689183,6.9186387,6.907438,6.529228,6.350189,6.147948,6.012939,5.960737,5.880345,5.878828,5.8538523,5.84324,5.8084598,5.7624664,5.762073,5.6776395,5.587976,5.5628266,5.5332003,5.379481,5.378804,5.3534193,5.3280153,5.2905273,5.220506,5.2068152,5.176712,5.139376,5.0924516,5.0673523,5.0517983,5.024878,4.9700937,4.9315395,4.8691363,4.8561134,4.85002,4.841223,4.831925,4.8316145,4.82599,4.8234215,4.815125,4.8065014,4.784713,4.766228,4.740426,4.725406
1;0;214536502,214820201,214681091,214712402,214699301,214709634,214709690,214696305,214577572,214839909,214577567,214705757,214840419,214705745,214706441,214536489,214820195,214536500,214703790,214509000,214709645,214540597,214821272,214578247,214820225,214709685,214717331,214687685,214709653,214820240,214829737,214696312,214537775,214546102,214840415,214709735,214840417,214840412,214711333,214827030,214601407,214820842,214820237,214706216,214835405,214702796,214774685,214753691,214536607,214821298;6.2520614,5.797965,5.3116093,5.261582,5.1427307,4.9833198,4.980795,4.9776883,4.864248,4.8454723,4.7985387,4.777139,4.713627,4.669963,4.652173,4.6381164,4.5526166,4.475599,4.46966,4.4283357,4.394123,4.357084,4.353486,4.3473907,4.336557,4.279617,4.2748513,4.2624326,4.257095,4.2364516,4.2268353,4.167519,4.120153,4.11152,4.1105742,4.0967817,4.092845,4.084889,4.0825224,4.080121,3.981343,3.955567,3.9458466,3.9307847,3.851614,3.82405,3.8124752,3.8016536,3.7436626,3.742956
1;0;214696305,214577572,214578247,214696312,214536489,214577567,214536502,214820201,214839909,214696303,214561603,214709690,214536607,214536500,214536506,214509000,214712402,214703790,214705745,214705757,214699301,214709735,214709653,214591374,214681091,214716122,214709645,214709634,214578234,214536615,214711333,214537753,214820182,214601051,214536613,214709685,214839206,214601049,214820225,214706441,214550844,214578298,214829737,214820237,214820195,214702796,214642787,214699256,214711209,214696297;6.5110474,6.2376485,5.5420337,5.3211813,5.232325,5.086673,5.0786185,5.0251756,4.9927316,4.6849236,4.620743,4.6102686,4.539735,4.396169,4.378734,4.263667,4.212887,4.173736,4.1110816,4.072009,4.0606413,3.9730368,3.9214964,3.913795,3.9113379,3.9035587,3.8431463,3.76548,3.6903958,3.6623492,3.6288133,3.6014352,3.5857732,3.5249436,3.5134883,3.4922545,3.4778526,3.466739,3.4622087,3.3996048,3.3794637,3.3728976,3.352036,3.3280392,3.3048031,3.2920554,3.25691,3.1942406,3.1665175,3.1160285
2;0;214662742,214821300,214826934,214826927,214827015,214826998,214579288,214826932,214821401,214743335,214826619,214826908,214800262,214826612,214837442,214826837,214826615,214826627,214826617,214690110,214753515,214748334,214744530,214826702,214826925,214838831,214842575,214827002,214842450,214826876,214640017,214827009,214691681,214553604,214821309,214826872,214837485,214827026,214760897,214821315,214717562,214601407,214717877,214826799,214717331,214842577,214837487,214718396,214826623,214746427;9.629969,8.600504,8.367566,8.341046,7.6993647,7.3527093,7.255783,7.1370926,7.0827646,7.0812345,7.0606704,6.929174,6.8020973,6.724417,6.647968,6.6423993,6.55242,6.4796267,6.4441466,6.426487,6.2620335,6.2147064,6.1914773,6.1854615,6.149721,6.1453285,6.1176133,6.030018,6.027439,5.9687996,5.927838,5.924142,5.908307,5.87573,5.7848,5.7727647,5.7136354,5.6935654,5.6808496,5.675045,5.6666665,5.654604,5.647024,5.6320662,5.6234593,5.614479,5.575067,5.5643287,5.505516,5.5016127
2;0;214662742,214821300,214826934,214826927,214827015,214826998,214579288,214826932,214826619,214821401,214743335,214826908,214800262,214826612,214837442,214826837,214826615,214826617,214690110,214826627,214753515,214842575,214748334,214744530,214826925,214838831,214826702,214842450,214827002,214826876,214640017,214827009,214691681,214553604,214821309,214826872,214827026,214760897,214837485,214821315,214601407,214842577,214717331,214717562,214717877,214837487,214826621,214716902,214826799,214746427;9.590834,8.579427,8.366523,8.302752,7.677342,7.305897,7.2454753,7.1048265,7.091353,7.0820785,7.025088,6.941024,6.767716,6.7154217,6.6137156,6.6033573,6.5307527,6.4629025,6.405426,6.3494806,6.192286,6.166412,6.164991,6.125649,6.124699,6.058823,6.049449,6.0381722,6.0315404,5.9327135,5.914192,5.910082,5.909038,5.8385367,5.7645564,5.744065,5.7256947,5.7167954,5.689121,5.6746325,5.652216,5.6483536,5.6323943,5.629431,5.6201315,5.5399613,5.4936633,5.4843926,5.484254,5.4794073
2;0;214821300,214825110,214826619,214826612,214826615,214827009,214821401,214826908,214826998,214827015,214826927,214826837,214826617,214826621,214640017,214690110,214662742,214579288,214826934,214717877,214827002,214821305,214712124,214842575,214743335,214826876,214821341,214821309,214800262,214716902,214760897,214711280,214753515,214826872,214821339,214757379,214717562,214842450,214827026,214718210,214827013,214746427,214743354,214717286,214748334,214842577,214601407,214821315,214712126,214826912;8.608071,8.524539,7.991061,7.780961,7.69962,7.6948414,7.485909,7.4487925,7.4237103,7.2942376,7.204377,7.1028595,7.099536,7.074334,6.8858614,6.8531127,6.7450256,6.706793,6.6056128,6.5953207,6.568783,6.5092363,6.467587,6.250652,6.174183,6.1584897,6.112609,6.0751295,6.048647,5.9782524,5.967408,5.872378,5.7665696,5.7556267,5.6944637,5.6602902,5.6345935,5.5609894,5.5477824,5.5405273,5.516385,5.439334,5.4389668,5.435113,5.41878,5.375866,5.3366103,5.2771463,5.2640467,5.2571836
2;0;214825110,214826612,214826615,214826619,214827009,214821300,214826617,214826621,214717877,214827015,214826998,214640017,214821305,214690110,214712124,214821401,214711280,214826837,214826908,214821341,214826927,214579288,214821309,214842450,214757390,214707853,214821313,214743354,214842575,214718210,214826623,214826934,214757379,214826876,214821339,214712507,214668590,214821277,214826955,214712126,214554272,214821315,214662742,214586711,214760897,214827013,214554637,214587028,214827002,214826627;6.4473243,6.1036687,6.0205393,5.9912133,5.9335504,5.5972724,5.516717,5.5039916,5.460444,5.164419,5.0062504,4.969354,4.9042416,4.84837,4.82079,4.8140044,4.793483,4.692654,4.6349673,4.634828,4.62357,4.6085734,4.496029,4.4480796,4.426746,4.419428,4.392153,4.384329,4.3324842,4.3221364,4.250245,4.244663,4.2023697,4.174327,4.111646,4.109727,4.1057134,4.0686383,4.0684323,4.050917,4.048358,4.047247,4.026762,4.0134006,4.0055,4.0014267,3.9975045,3.9816244,3.9583225,3.8730047
2;0;214826619,214826612,214821300,214826615,214821401,214826617,214825110,214601407,214579288,214827015,214826934,214827009,214826927,214651427,214826908,214760897,214717877,214826621,214690110,214826837,214837487,214821339,214662742,214826998,214553604,214837442,214842575,214714794,214642235,214577518,214826932,214714697,214827000,214837485,214826872,214714790,214826876,214826702,214640017,214743354,214554982,214821309,214712507,214757379,214711280,214842450,214571188,214821305,214551617,214821277;4.9986014,4.7012105,4.4727197,4.229476,4.2148895,4.2106895,4.1879444,4.1577463,4.119119,4.0821357,4.056743,4.040325,4.002089,3.98668,3.9567442,3.8945327,3.6919873,3.6540337,3.6418247,3.6319082,3.5606163,3.5585222,3.5434737,3.5081239,3.4844291,3.4785564,3.4675505,3.4235234,3.4148335,3.3896112,3.3639793,3.3440628,3.3435178,3.314426,3.2980447,3.2917821,3.290775,3.2881138,3.2821326,3.2771478,3.2642114,3.2635636,3.2527313,3.250701,3.2439759,3.239889,3.221024,3.2065306,3.2021098,3.1976993
4;0;214836765,214836761,214662819,214836080,214836127,214836073,214841060,214691267,214836770,214839780,214836752,214829810,214587915,214691293,214587864,214753691,214585397,214550863,214613893,214833802,214644956,214696434,214601805,214832730,214833800,214587898,214639305,214536440,214684513,214585395,214821292,214691426,214820441,214819490,214586923,214536317,214706482,214645835,214691428,214636505,214509084,214839373,214839722,214821298,214821296,214702877,214534704,214632395,214826810,214550865;10.560303,8.867356,8.640877,8.186138,7.8283114,7.670597,7.3404183,7.29379,7.2906337,7.196192,7.0976877,7.039355,6.9340744,6.864699,6.8608603,6.709769,6.546493,6.4884615,6.4142404,6.4010324,6.3528423,6.332335,6.3272786,6.2753024,6.253466,6.186104,6.178802,6.178397,6.1650395,6.1582084,6.140711,6.136786,6.116555,6.104558,6.087217,6.06134,5.9710464,5.965647,5.9364543,5.9237165,5.841788,5.8376675,5.818121,5.799747,5.7972856,5.792656,5.7888546,5.7807446,5.7726965,5.7553806
21;0;214838503,214601197,214712107,214696434,214640893,214819528,214840762,214826900,214819547,214716924,214546102,214537967,214819427,214708044,214508942,214717888,214717104,214508563,214821011,214581761,214594678,214512425,214746386,214572182,214601040,214684513,214832557,214684093,214583190,214559660,214832672,214836407,214571904,214820387,214832670,214840760,214839373,214836761,214826702,214840483,214841006,214737337,214675974,214836137,214691255,214535621,214710309,214828867,214509013,214826803;11.903142,9.233169,9.019111,8.605859,8.047565,8.015795,7.867672,7.7710485,7.6948266,7.449543,7.4271374,7.333038,7.2601953,7.189746,7.1449957,7.1247425,7.1084723,7.0812163,7.036228,6.9273677,6.893731,6.853966,6.850209,6.8387647,6.827046,6.817837,6.723029,6.713847,6.701138,6.6938667,6.6617236,6.617832,6.607415,6.5317006,6.5244493,6.491892,6.4868755,6.4610395,6.4530644,6.4393005,6.438031,6.4048104,6.399631,6.3951654,6.371344,6.2881575,6.281177,6.2778797,6.2719507,6.2393417
