SessionId;Position;Recommendations;Scores
1;0;214709634,214829737,214840419,214820201,214709685,214703790,214840412,214706216,214705757,214820237,214706441,214699301,214820842,214820225,214681091,214819745,214840415,214774685,214821298,214827022,214687685,214826900,214536502,214642560,214709690,214551594,214821272,214546102,214638480,214712402,214820195,214711333,214819490,214705745,214709653,214827024,214827020,214551570,214685795,214827030,214509013,214586692,214587915,214737337,214537775,214829312,214531151,214840762,214829810,214840410;6.870684,6.632543,6.6312847,6.513072,6.496813,6.3825355,6.3726788,6.193825,6.1236753,6.115945,6.0845904,6.018202,5.9661474,5.939997,5.90456,5.903905,5.8461633,5.8232307,5.8071775,5.793137,5.7787924,5.7396193,5.7088327,5.636678,5.6228013,5.621544,5.611857,5.5947733,5.5939445,5.58441,5.5635257,5.548579,5.5099926,5.491643,5.405649,5.392997,5.384424,5.354311,5.3469706,5.274441,5.267076,5.225035,5.2006025,5.120247,5.105265,5.098091,5.0219,5.006829,4.994672,4.990972
1;0;214696303,214536607,214577572,214536613,214536500,214582391,214578247,214551748,214537925,214536489,214538820,214836960,214819417,214560615,214537888,214537826,214545950,214840783,214840792,214537850,214581954,214531937,214718379,214554585,214712812,214821388,214512152,214538484,214843470,214652934,214582417,214842577,214844040,214836958,214748265,214536860,214547042,214602727,214553555,214572463,214582380,214834854,214601064,214582404,214531475,214744265,214551315,214690847,214609325,214560140;7.144471,7.0697556,6.5484467,6.4178724,6.2202373,6.1575303,5.9720993,5.826786,5.554223,5.5095425,5.2590294,5.221184,5.192708,5.144297,5.088623,5.0858507,5.069307,5.069067,5.0674973,5.0588226,5.0287213,4.9871864,4.9790006,4.973748,4.962031,4.9111595,4.8663282,4.8616424,4.8328896,4.8203187,4.818843,4.7778587,4.767849,4.734126,4.729657,4.7290792,4.7137527,4.7125726,4.7124577,4.681802,4.6675982,4.6586413,4.641698,4.633399,4.615372,4.60773,4.5900383,4.5868435,4.583111,4.580353
1;0;214696303,214536607,214577572,214536613,214582391,214578247,214536500,214551748,214537925,214536489,214836960,214840792,214560140,214560615,214840783,214561775,214537826,214652934,214538820,214531937,214537888,214819417,214534464,214537850,214601201,214512152,214710159,214554585,214834854,214844040,214581954,214717410,214545950,214843470,214531475,214602727,214645241,214838833,214712812,214718182,214690847,214819777,214718379,214582417,214836958,214571010,214536860,214538484,214748265,214547042;7.245484,7.1953454,6.781685,6.669705,6.361683,6.282693,6.2590036,5.816035,5.7217994,5.669936,5.612351,5.5173664,5.470887,5.46964,5.4352713,5.3876286,5.336237,5.284854,5.2782516,5.2600594,5.2300234,5.2286754,5.180926,5.159957,5.154017,5.1404095,5.11232,5.10217,5.0920167,5.08988,5.0855446,5.08529,5.0814543,5.0798345,5.0756927,5.065093,5.0429564,5.038455,5.017808,5.0062723,4.9852896,4.971779,4.9524765,4.9278116,4.9271026,4.9262314,4.924572,4.9167933,4.915307,4.900956
2;0;214826927,214821300,214826934,214826998,214826837,214827000,214748334,214826908,214800262,214826932,214753515,214744775,214827005,214827007,214743335,214826925,214826872,214717562,214717286,214826876,214827002,214821401,214828987,214746427,214577518,214834865,214820392,214826619,214826799,214714794,214826621,214601407,214827026,214819382,214716902,214651427,214826829,214826623,214640017,214826617,214826625,214821279,214819430,214826912,214684841,214690110,214760897,214662742,214708370,214819376;7.9399643,7.77841,7.54296,7.3764715,7.310839,7.283407,7.101185,7.095427,7.0222936,6.8955765,6.8735895,6.816719,6.79797,6.7882757,6.787582,6.7752233,6.739326,6.6933956,6.6235642,6.550722,6.435083,6.429866,6.4181185,6.28158,6.2477255,6.222013,6.1761937,6.1739836,6.165288,6.1443763,6.0929275,6.0520077,6.0328054,6.0246572,6.021164,6.0141373,6.0106297,6.0097356,5.97215,5.932067,5.9313526,5.9294496,5.925474,5.9111786,5.8966937,5.8552427,5.8224297,5.7940245,5.7710266,5.768489
2;0;214826927,214826934,214826908,214821300,214826837,214800262,214826932,214717286,214827002,214819382,214716902,214744775,214827000,214748334,214820392,214826623,214826872,214821401,214826876,214819691,214753515,214826799,214826625,214717562,214819376,214716752,214826998,214826619,214640017,214826829,214690110,214819430,214826891,214667970,214746427,214586694,214827007,214558807,214567875,214827005,214743335,214826889,214837485,214601229,214601233,214662742,214837487,214826900,214694156,214705655;8.638634,8.442918,8.340613,8.264241,8.10841,7.751586,7.685658,7.502568,7.2922115,7.2889175,7.27932,7.2400894,7.2369967,7.229146,7.1479115,7.0022182,7.00021,6.9482317,6.944995,6.9258957,6.9128876,6.894948,6.892202,6.8751955,6.8710837,6.7988396,6.7800126,6.696438,6.6897078,6.6597815,6.511935,6.475072,6.4126134,6.408472,6.3922553,6.344388,6.3325076,6.2756796,6.2679315,6.235505,6.2254333,6.191898,6.1819386,6.126808,6.1122875,6.08922,6.0552945,6.048218,6.0365267,6.003442
2;0;214821300,214826619,214826615,214826934,214826927,214826617,214826621,214826908,214826932,214826998,214717877,214826625,214826623,214826837,214821401,214826612,214664919,214800262,214826829,214717286,214821305,214819745,214716707,214826893,214746427,214748334,214716902,214716710,214821307,214640017,214827002,214826876,214842450,214717562,214821315,214753515,214826844,214821341,214744775,214826799,214743335,214819577,214837487,214826872,214828987,214821339,214826955,214554982,214760897,214827009;7.6870346,7.5832195,7.4576826,7.2623887,7.1834164,7.083081,7.008332,6.9234056,6.8900633,6.859082,6.807795,6.7779727,6.7693152,6.7090797,6.580325,6.494092,6.373706,6.343788,6.28468,6.2584753,6.240626,6.134526,6.116503,6.0698338,5.993316,5.9901457,5.946873,5.943199,5.9362073,5.9339066,5.9265547,5.9216585,5.9138145,5.8326497,5.8261137,5.782345,5.7555223,5.731429,5.7044024,5.7003965,5.670446,5.658537,5.5841293,5.574899,5.558736,5.547347,5.518664,5.51503,5.4941955,5.493763
2;0;214826619,214826615,214826617,214821300,214826621,214717877,214826934,214826932,214826927,214716707,214826612,214826623,214826998,214716710,214826908,214821401,214826625,214826837,214664919,214842450,214554982,214819745,214837487,214826893,214800262,214826829,214826844,214746427,214821305,214821307,214717286,214717562,214827002,214821315,214748334,214718396,214753515,214826876,214554272,214819562,214826955,214842577,214640017,214716902,214821339,214690110,214828987,214826889,214571188,214840775;8.47479,8.314885,7.8790216,7.6958513,7.5568633,7.551492,7.2609887,7.106263,7.033345,7.0290375,6.963747,6.9085307,6.7872744,6.6589484,6.597103,6.515664,6.4967656,6.4393883,6.254991,6.219786,6.157685,6.0944047,6.0913095,6.038,6.0272293,6.022094,6.001826,5.998354,5.9927034,5.981001,5.939639,5.8201933,5.8057413,5.756797,5.740505,5.726852,5.71223,5.7038093,5.691551,5.66337,5.652438,5.651251,5.632418,5.6301165,5.584326,5.5617886,5.5390024,5.5286446,5.512617,5.4771905
2;0;214826619,214826615,214821300,214826617,214826621,214717877,214826934,214826927,214826612,214826908,214826932,214826998,214826623,214826837,214828987,214821401,214826829,214716707,214554982,214717286,214718396,214571188,214684845,214716710,214821305,214714794,214826625,214826844,214819745,214826893,214684841,214800262,214651427,214827009,214842450,214826876,214716902,214640017,214826889,214826925,214760897,214664919,214746427,214827002,214827026,214717562,214826955,214826912,214753515,214821307;7.901243,7.751386,7.480419,7.420015,7.1975536,7.0061836,6.942178,6.936391,6.701439,6.697721,6.6792893,6.5989456,6.522455,6.4690933,6.454664,6.4163933,6.338047,6.2511206,6.2308664,6.1943393,6.1853285,6.1347017,6.122233,6.074353,6.0566454,6.0028124,5.989606,5.933304,5.9263296,5.911255,5.9021235,5.855414,5.845639,5.840139,5.810656,5.7895947,5.7654567,5.7440166,5.740103,5.7327385,5.6610756,5.654212,5.6524534,5.63546,5.6349654,5.6348057,5.63439,5.619149,5.6157813,5.5946226
4;0;214836765,214836761,214691293,214841060,214839313,214691390,214826705,214829285,214836073,214662819,214836752,214833802,214691426,214833800,214826955,214691267,214716937,214836080,214691428,214710309,214717007,214826799,214826829,214840378,214839997,214717095,214684513,214821275,214716982,214717003,214716971,214716935,214840001,214685784,214820938,214537037,214836770,214586923,214826702,214826816,214717005,214535621,214553730,214561991,214819468,214839999,214716973,214744775,214819745,214826627;8.681142,8.224691,6.659371,6.398003,6.3115635,6.283117,6.0986996,6.0892553,6.033884,6.013633,5.9242616,5.864995,5.7792807,5.7772818,5.7579017,5.7518744,5.7486267,5.7175446,5.612274,5.59062,5.568536,5.533896,5.522771,5.515728,5.5067086,5.4885283,5.4024262,5.372191,5.331481,5.328952,5.32136,5.3088007,5.259641,5.2178555,5.2050757,5.188548,5.169477,5.1317897,5.127762,5.1229877,5.118219,5.0908747,5.083577,5.0458355,5.0419474,5.0157948,4.989259,4.979079,4.975271,4.963516
21;0;214838503,214712107,214583190,214840412,214828867,214746339,214840410,214840419,214836407,214530665,214586722,214509013,214708044,214840762,214709792,214687685,214546102,214601197,214840378,214508563,214537775,214819528,214556840,214821380,214508942,214820842,214587013,214644317,214539262,214829282,214712272,214581761,214572264,214744530,214840415,214710309,214712235,214717046,214819427,214718203,214602605,214821020,214819552,214545935,214559660,214702749,214832557,214821037,214819547,214587005;9.082835,8.292849,7.140168,6.74946,6.436721,6.4134946,6.219042,6.115712,6.0794754,5.9155617,5.8505864,5.815816,5.792965,5.7794137,5.7789674,5.704102,5.6990786,5.655307,5.6518726,5.6058874,5.604497,5.5260296,5.50314,5.5022335,5.4422235,5.375796,5.3752337,5.3508124,5.3454065,5.2688427,5.2604675,5.2447443,5.2279787,5.2233915,5.2102213,5.2047315,5.191607,5.1796455,5.1774483,5.139387,5.110691,5.1010313,5.09798,5.067793,5.0462656,5.022195,5.001507,4.987502,4.9534216,4.937593
