SessionId;Position;Recommendations;Scores
1;0;214536502,214839909,214820201,214577567,214536500,214705745,214536489,214709653,214696303,214546102,214709634,214536506,214829737,214821275,214642560,214578247,214712537,214709685,214819490,214839902,214827020,214819419,214837430,214701825,214832655,214696897,214699301,214826705,214702749,214737337,214827022,214709690,214840415,214840419,214820240,214705757,214696130,214630042,214826900,214536523,214578144,214664747,214839313,214708170,214536557,214584920,214578242,214826036,214716065,214536532;1.0,0.10615176513407996,0.07945610957689815,0.07653340992935957,0.07426138557265524,0.055467076599485944,0.05516751762230367,0.05348814762891849,0.05342008892771654,0.05013718553055814,0.041739784453723186,0.03958520582323328,0.03919695412767036,0.038689433166259404,0.037124726746542,0.035874737750346976,0.032561035861317304,0.031748857777778014,0.03106086313092094,0.029936887798815502,0.029749614117984918,0.029303773130811225,0.028898490762801057,0.02875639042579466,0.02858207890539521,0.02848632743464327,0.02791847655968857,0.026886236939712416,0.024596990483583166,0.02443368431923486,0.024417710160166927,0.024370162325365666,0.024276709468536606,0.023394715691142046,0.02321309583183491,0.022229763228083954,0.022016987421785088,0.021823596412309545,0.021378504010021074,0.020613557050936343,0.020613557050936343,0.020613557050936343,0.02022061700655331,0.01979260291161664,0.01979260291161664,0.019711583644001843,0.019480490633266477,0.019210126680087595,0.019210126680087595,0.01897164877229694
1;0;214536500,214536502,214578247,214536489,214696303,214577572,214536506,214578242,214839909,214696305,214696130,214536523,214537766,214536557,214708170,214536532,214826750,214696262,214577567,214576631,214579376,214576558,214576622,214577600,214696280,214838000,214748276,214828824,214716167,214696307,214543040,214827022,214595150,214695480,214680727,214676030,214699074,214696310,214696273,214536615,214674581,214546260,214663925,214561603,214712017,214589546,214712786,214580162,214645320,214540618;1.0,0.8854379834593731,0.5198605961704551,0.4676259986382096,0.30679263938211176,0.2486932157351227,0.21649993679951668,0.2024181441916529,0.14522036038481953,0.14501474841880319,0.13850079385161154,0.12967232805135023,0.12522113863075568,0.12450800661929817,0.12450800661929817,0.11934368518724614,0.11487827065080003,0.11466005415433561,0.10467086542859946,0.09602793268097695,0.09602793268097695,0.09602793268097695,0.09602793268097695,0.0902736152999826,0.0902736152999826,0.0902736152999826,0.08690755541485295,0.08451929791898827,0.08451929791898827,0.08451929791898827,0.08451929791898827,0.0834871612478918,0.08266682148714753,0.08266682148714753,0.08266682148714753,0.08266682148714753,0.0811532380338586,0.0811532380338586,0.07987352145836087,0.07987352145836087,0.07987352145836087,0.07987352145836087,0.07876498053799393,0.07876498053799393,0.07778717814872894,0.07778717814872894,0.07778717814872894,0.07778717814872894,0.07691250410615318,0.07691250410615318
1;0;214536506,214536502,214536500,214578247,214696130,214561603,214708170,214536557,214696303,214838000,214577572,214695480,214680727,214663925,214712017,214540618,214683872,214582567,214702856,214582100,214820201,214543005,214571010,214652207,214540963,214545832,214839984,214540601,214676390,214537766,214550548,214711205,214551581,214718207,214712278,214838960,214839257,214664722,214636648,214536697,214636650,214664675,214716125,214712347,214537755,214829679,214712349,214536489,214645963,214685795;1.0,0.7440416291202928,0.6790267793151294,0.6731073335638338,0.47534592963181843,0.35752759332929135,0.28196465537514154,0.28196465537514154,0.26272682762204097,0.2480744580653982,0.23981639656422757,0.22717077268109687,0.22717077268109687,0.21644840296429604,0.2137613742349614,0.2113577451305458,0.20368167733872616,0.20368167733872616,0.200635375413745,0.200635375413745,0.1984734328931028,0.1979483466844103,0.1979483466844103,0.1979483466844103,0.19671489081312196,0.19337037057063913,0.18955930285327968,0.18955930285327968,0.18786864978817508,0.18703343749721676,0.18343929554485283,0.1786186216482322,0.17254983975456784,0.1697336153184121,0.16508883571201985,0.15877817623257787,0.15138598447157553,0.14806793788044786,0.14806793788044786,0.14593127490646088,0.14306474351899368,0.1410791903649953,0.1410791903649953,0.12987093476167133,0.1267288613574102,0.12602652701914324,0.12413630307615973,0.12365776973151672,0.12142526161228419,0.12098981142345218
2;0;214662742,214826927,214827015,214800262,214717286,214821300,214826621,214826799,214668590,214574672,214826837,214691681,214826925,214577518,214577355,214717562,214748334,214690110,214743335,214820392,214744775,214842369,214826619,214586694,214714755,214712137,214746427,214827002,214826623,214577450,214579288,214842577,214716902,214819781,214819464,214821401,214684845,214829310,214711297,214717877,214558192,214841640,214821388,214826612,214826872,214821315,214825991,214720157,214724728,214750042;1.0,0.13872599061026544,0.12717994223969503,0.1176938513416637,0.0973995795298995,0.07911369368173848,0.07622899333034093,0.07251517307241662,0.0712382072690104,0.0710301136306122,0.0692814852804897,0.06915597901611673,0.06851919303946606,0.06135108871067972,0.05934287822182585,0.05918556730485707,0.05893047369068582,0.058888608867407675,0.05633574301661988,0.053963920832508394,0.053790352932583545,0.05030507231498702,0.050101646617604315,0.04786610726904952,0.0473534090870748,0.046698281574242766,0.04556017893893065,0.044220881609495714,0.04315336596056379,0.04291358802600543,0.04271947293367578,0.04208296164934795,0.041704833707422145,0.041046307251646354,0.040584783572187935,0.04038249388153764,0.039661331682535814,0.03914863350056109,0.03872498770588667,0.03864858153755556,0.03823202854670496,0.03795349301882898,0.037818639452104036,0.0374303200874598,0.03738859155012279,0.03718393171778875,0.037045822270432405,0.037045822270432405,0.037045822270432405,0.037045822270432405
2;0;214662742,214826927,214827015,214800262,214717286,214821300,214826621,214826799,214668590,214574672,214826837,214691681,214826925,214577518,214577355,214717562,214748334,214690110,214743335,214820392,214744775,214842369,214826619,214586694,214714755,214712137,214746427,214827002,214826623,214577450,214579288,214842577,214716902,214819781,214819464,214821401,214684845,214829310,214711297,214717877,214558192,214841640,214821388,214826612,214826872,214821315,214825991,214720157,214724728,214750042;1.0,0.13872599061026544,0.12717994223969503,0.1176938513416637,0.0973995795298995,0.07911369368173848,0.07622899333034093,0.07251517307241662,0.0712382072690104,0.0710301136306122,0.0692814852804897,0.06915597901611673,0.06851919303946606,0.06135108871067972,0.05934287822182585,0.05918556730485707,0.05893047369068582,0.058888608867407675,0.05633574301661988,0.053963920832508394,0.053790352932583545,0.05030507231498702,0.050101646617604315,0.04786610726904952,0.0473534090870748,0.046698281574242766,0.04556017893893065,0.044220881609495714,0.04315336596056379,0.04291358802600543,0.04271947293367578,0.04208296164934795,0.041704833707422145,0.041046307251646354,0.040584783572187935,0.04038249388153764,0.039661331682535814,0.03914863350056109,0.03872498770588667,0.03864858153755556,0.03823202854670496,0.03795349301882898,0.037818639452104036,0.0374303200874598,0.03738859155012279,0.03718393171778875,0.037045822270432405,0.037045822270432405,0.037045822270432405,0.037045822270432405
2;0;214825110,214662742,214826615,214757390,214826612,214826617,214821300,214757379,214800262,214827002,214718210,214717877,214840775,214744775,214826619,214841060,214826927,214827000,214821819,214569913,214714755,214587315,214757407,214826621,214685857,214746427,214709666,214668755,214748334,214690110,214769117,214644731,214514291,214826925,214676070,214826801,214821401,214836341,214819382,214651427,214691484,214711280,214706102,214712126,214586923,214826908,214753515,214714794,214612721,214753505;1.0,0.2016705791312001,0.15659429458740837,0.14770333873014171,0.12058674766692459,0.11285462964708087,0.08763101472473599,0.08706906642856344,0.0829738850045678,0.07569074716912436,0.06668187979292155,0.06615291027974976,0.06557287231046587,0.06499620989220709,0.06053905509012603,0.05755528073620232,0.05416115421113428,0.05230686738925119,0.04923444624338057,0.048155335868043415,0.045301166292453225,0.04480331287758424,0.04480331287758424,0.04414923042371258,0.044078642741850936,0.04358565269569528,0.043187741921195094,0.043176150992723934,0.041545843657379906,0.04151632905663553,0.04145128988712507,0.041215343241750135,0.04099037491424613,0.03968397731342178,0.03902956716327234,0.038922805742467356,0.03863236260915464,0.037863320251290966,0.037074727509272036,0.03620408392872142,0.03576235555950623,0.035604821795708605,0.034532052221634524,0.03381543264226094,0.03345775839903645,0.03344490517640858,0.03307645513987487,0.03251226048116867,0.03225279880524943,0.03183803500556514
2;0;214825110,214757390,214826612,214826615,214826617,214757407,214662742,214644731,214676070,214827002,214800262,214746427,214717877,214651427,214714794,214691484,214748334,214744775,214821300,214716710,214753515,214826619,214826925,214827000,214834865,214827007,214827005,214826747,214744530,214841060,214826889,214826927,214757379,214826621,214718210,214840775,214827015,214714755,214690110,214685857,214821401,214709666,214717286,214821819,214569913,214587315,214826908,214819382,214668755,214826801;1.0,0.9144889077888165,0.3209429527608407,0.3087466024349712,0.3059899722144007,0.22788385653527324,0.22558652056294431,0.2096343052134911,0.19851675496342294,0.19457182690045394,0.19031769995146136,0.18523438032671039,0.17005371315931794,0.16722053220429406,0.16536766652438586,0.1651802636772592,0.16416070256181858,0.16182978580591517,0.1605270484296412,0.158929153677628,0.15277454451853795,0.15073220937613835,0.147018016064579,0.1446047421385337,0.13769263234711493,0.13468887510163746,0.13405099032707557,0.13392497656740085,0.13024367787003016,0.11735086537589434,0.09699126738226128,0.042888422613186886,0.038552000713934303,0.02993756278239762,0.029525065362821613,0.029034024640678713,0.028690080655249015,0.026512104556577584,0.02640842709882256,0.023026720915898472,0.022609246529093286,0.022561313560206252,0.021972032250443786,0.02179977900971603,0.021321975977400934,0.019837784196990244,0.019573333216135816,0.01936786956868859,0.01911731769011333,0.01888068033590911
2;0;214757407,214825110,214757390,214826617,214644731,214826612,214826615,214717877,214757379,214746427,214651427,214826810,214753515,214718255,214753693,214826925,214842575,214827000,214842577,214834865,214577518,214662742,214827005,214827007,214820195,214826932,214842450,214718396,214840417,214601407,214737337,214708367,214709645,214701242,214826908,214537037,214826912,214705757,214630042,214820237,214820413,214691428,214828987,214820441,214821275,214684513,214800262,214827002,214821300,214744775;1.0,0.3054878749080572,0.2811730756351229,0.2014730315345956,0.17952699958002344,0.1464419696998819,0.13623963986821896,0.13286106419619942,0.10656711243451375,0.09869742779000866,0.0901046743258129,0.08405178267391551,0.08232063609449376,0.07932071060067963,0.07711383726202317,0.07670623421566175,0.07519944620119826,0.07517198848663971,0.07440217806194273,0.07419393797612904,0.07379795711684081,0.07266169489964473,0.07223168511219265,0.07176554104597001,0.07119923101917246,0.0708885302260579,0.06983943941379128,0.06878301541612157,0.06713882089541989,0.0661229132624352,0.06552196323690918,0.06530944984220155,0.06493710177941989,0.06485606343394744,0.06447980746086156,0.06434356127340773,0.059870754974473465,0.05961187473675781,0.05852268790666224,0.05632438699161322,0.056054587237964276,0.05582372303551624,0.053896633941379966,0.052949583160082726,0.05187526335479574,0.04020909905808945,0.027175672682453557,0.024205659338838184,0.02318890285716526,0.020932035223304654
4;0;214836765,214836761,214836073,214662819,214836080,214836770,214836127,214841060,214684513,214839373,214585395,214836752,214535621,214550863,214826801,214833800,214691681,214821275,214691390,214536317,214839313,214829285,214840378,214839787,214839780,214826705,214691426,214839733,214691267,214820938,214691293,214826810,214843584,214716924,214636374,214632380,214636372,214821290,214826891,214839757,214826835,214839793,214839729,214600989,214838100,214659294,214839731,214820413,214744530,214691428;1.0,0.3110604048548023,0.10597438638223511,0.09822321881946447,0.07327049454762727,0.05714675246661943,0.05627560421690221,0.05134609557905713,0.05112467408428015,0.041357596470069265,0.04020184382277798,0.03431663738917572,0.032139510128298174,0.031398488333773504,0.027778985049421865,0.02676054978976169,0.026501274450492343,0.026383142066612117,0.02541674482600732,0.024611172194076474,0.024513539629670192,0.02285518161723523,0.022830236646624244,0.022124012210808005,0.021896919804092137,0.02139000865508269,0.021215520084466033,0.020545080606999354,0.020529222034949342,0.01926410888143218,0.01901188843177471,0.017238431128825407,0.01657260044287096,0.016441655336000935,0.01643617253322802,0.01630916118797485,0.01630916118797485,0.016195237931395906,0.015886606939615563,0.01577955738630918,0.015459748626846778,0.015443915374345203,0.015227084541183716,0.015165286071660563,0.015158945307711585,0.01497275884115907,0.014857662970023899,0.014254348247542861,0.014204591919663835,0.014195640853523254
21;0;214838503,214712107,214601197,214832557,214819427,214581761,214696434,214828867,214587013,214820842,214840762,214718160,214829282,214640893,214559660,214508563,214509000,214819528,214821024,214717888,214509013,214695075,214508942,214583190,214684093,214587005,214684513,214675974,214587384,214553257,214586722,214836407,214821020,214584920,214821390,214537967,214718203,214819640,214716930,214551594,214829312,214839313,214821013,214706169,214711592,214821022,214819552,214819547,214561475,214717007;1.0,0.21354597135419598,0.044434006222552135,0.033898521143442974,0.028991496134263113,0.027136432607470087,0.026950691798892285,0.025983342676740833,0.025713070929001332,0.02563887083258248,0.025287842613994048,0.02511690476159688,0.02389697246319475,0.021106114250254514,0.02059836185306557,0.020476995135654832,0.02046666496540899,0.02014307945263437,0.02000138344629695,0.01916929308192526,0.018873172336446017,0.017312188819280754,0.01708730755638163,0.016938795029456687,0.015383596968965194,0.015022739036110348,0.014910559245603451,0.014738224524621325,0.014211411499412126,0.014012563315370838,0.013893983695713978,0.013616462297311158,0.013115445394978383,0.013067658963753183,0.012954369954447915,0.012857871350738148,0.012344575014571228,0.012209864842726278,0.011965975225890046,0.011963119168204818,0.01196159228429715,0.01191566145292497,0.011848350909267022,0.011153141713634813,0.010874432468030399,0.010678850112923525,0.010448568009399459,0.010444048561516716,0.010233332482704497,0.00996211859008386
